START-OF-LOG: 3.0
CALLSIGN: JK1OXU
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
CLUB:
LOCATION: DX
CREATED-BY: WriteLog V10.72C
NAME: Takashi Nukui
OPERATORS:
SOAPBOX: My antenna for 10m-40m band is a small ferrite rods antenna
SOAPBOX: putting a window side. But I could work with several DX stations.
SOAPBOX: Thank  you for picking up my very weak signal.
QSO: 21020 CW 2014-11-29 0103 JK1OXU 599 25 HD2A 599 10
QSO: 28020 CW 2014-11-29 0211 JK1OXU 599 25 N6RO 599 03
QSO: 28020 CW 2014-11-29 0220 JK1OXU 599 25 AH0K 599 27
QSO: 28020 CW 2014-11-29 0429 JK1OXU 599 25 5W1SA 599 32
QSO: 21010 CW 2014-11-29 0446 JK1OXU 599 25 RT0F 599 19
QSO: 14010 CW 2014-11-29 0500 JK1OXU 599 25 RT0F 599 19
QSO: 21010 CW 2014-11-29 0507 JK1OXU 599 25 VK4KW 599 30
QSO: 21010 CW 2014-11-29 0514 JK1OXU 599 25 KH7XX 599 31
QSO: 28010 CW 2014-11-29 0640 JK1OXU 599 25 VK4KW 599 30
QSO: 7010 CW 2014-11-29 1042 JK1OXU 599 25 K9CT 599 04
QSO: 7010 CW 2014-11-29 1115 JK1OXU 599 25 K6XX 599 03
QSO: 7010 CW 2014-11-29 1126 JK1OXU 599 25 W6XB 599 03
QSO: 7010 CW 2014-11-29 1130 JK1OXU 599 25 K0RF 599 04
QSO: 7010 CW 2014-11-29 1328 JK1OXU 599 25 K5TR 599 04
QSO: 3510 CW 2014-11-29 1857 JK1OXU 599 25 BA2BI 599 24
QSO: 3510 CW 2014-11-29 1902 JK1OXU 599 25 R9IR 599 18
QSO: 3510 CW 2014-11-29 2044 JK1OXU 599 25 YL2KO 599 15
QSO: 3510 CW 2014-11-29 2047 JK1OXU 599 25 LY7M 599 15
QSO: 3510 CW 2014-11-29 2134 JK1OXU 599 25 BG2AUE 599 24
QSO: 28020 CW 2014-11-29 2207 JK1OXU 599 25 W7RN 599 03
QSO: 21010 CW 2014-11-30 0051 JK1OXU 599 25 K6XX 599 03
QSO: 28010 CW 2014-11-30 0104 JK1OXU 599 25 W7LT 599 03
QSO: 28010 CW 2014-11-30 0132 JK1OXU 599 25 BY5CD 599 24
QSO: 21010 CW 2014-11-30 0209 JK1OXU 599 25 W7WA 599 03
QSO: 21010 CW 2014-11-30 0211 JK1OXU 599 25 W2VJN 599 03
QSO: 28010 CW 2014-11-30 0401 JK1OXU 599 25 ZM4T 599 32
QSO: 7010 CW 2014-11-30 0741 JK1OXU 599 25 KH6LC 599 31
QSO: 7010 CW 2014-11-30 0744 JK1OXU 599 25 VE7GL 599 03
QSO: 7010 CW 2014-11-30 0752 JK1OXU 599 25 UA0DM 599 19
QSO: 7010 CW 2014-11-30 0911 JK1OXU 599 25 AH0K 599 27
QSO: 7010 CW 2014-11-30 0913 JK1OXU 599 25 K7RL 599 03
QSO: 7010 CW 2014-11-30 0926 JK1OXU 599 25 N2IC 599 04
QSO: 7010 CW 2014-11-30 0928 JK1OXU 599 25 BY4AE 599 24
QSO: 7010 CW 2014-11-30 1108 JK1OXU 599 25 VC7M 599 03
QSO: 7010 CW 2014-11-30 1110 JK1OXU 599 25 DS4EOI/2 599 25
QSO: 7010 CW 2014-11-30 1113 JK1OXU 599 25 NQ4I 599 05
QSO: 7010 CW 2014-11-30 1115 JK1OXU 599 25 N4WW 599 05
QSO: 7010 CW 2014-11-30 1118 JK1OXU 599 25 K3LR 599 05
QSO: 7010 CW 2014-11-30 1125 JK1OXU 599 25 N8AA 599 04
QSO: 7010 CW 2014-11-30 1128 JK1OXU 599 25 HK1NA 599 09
QSO: 7010 CW 2014-11-30 1133 JK1OXU 599 25 N9RV 599 04
QSO: 7010 CW 2014-11-30 1135 JK1OXU 599 25 KN5O 599 04
QSO: 7010 CW 2014-11-30 1140 JK1OXU 599 25 K6NA 599 03
END-OF-LOG:
