START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: OP6AT
CLUB: UBA ZLZ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 96216
OPERATORS: ON6AT
SOAPBOX: TRX: Yaesu FT950 20W - Ant: R8 (10-40m) W8010 (40-80m)
SOAPBOX: Home Call ON6AT - Special call OP6AT 1914-1918
NAME: Patrick Elyn
CREATED-BY: N1MM Logger+ 0.19.4323.0
QSO: 21001 CW 2014-11-29 1853 OP6AT         599 14     W2FU          599 05
QSO: 21001 CW 2014-11-29 1855 OP6AT         599 14     VE3JM         599 04
QSO: 21003 CW 2014-11-29 1856 OP6AT         599 14     W3LPL         599 05
QSO: 21003 CW 2014-11-29 1857 OP6AT         599 14     WE3C          599 05
QSO: 21004 CW 2014-11-29 1906 OP6AT         599 14     PJ4A          599 09
QSO: 21004 CW 2014-11-29 1907 OP6AT         599 14     K3LR          599 05
QSO: 21005 CW 2014-11-29 1912 OP6AT         599 14     P40C          599 09
QSO: 21032 CW 2014-11-29 1915 OP6AT         599 14     K1ZZ          599 05
QSO: 21043 CW 2014-11-29 1917 OP6AT         599 14     VY2TT         599 05
QSO: 21048 CW 2014-11-29 1918 OP6AT         599 14     II9P          599 15
QSO: 21052 CW 2014-11-29 1920 OP6AT         599 14     K9CT          599 04
QSO: 21056 CW 2014-11-29 1921 OP6AT         599 14     WX0B          599 04
QSO: 21060 CW 2014-11-29 1923 OP6AT         599 14     N0NI          599 04
QSO: 21068 CW 2014-11-29 1926 OP6AT         599 14     IB9T          599 15
QSO: 21071 CW 2014-11-29 1927 OP6AT         599 14     W0AIH         599 04
QSO: 14000 CW 2014-11-29 1929 OP6AT         599 14     K4XS          599 05
QSO: 14001 CW 2014-11-29 1931 OP6AT         599 14     K8AZ          599 04
QSO: 14002 CW 2014-11-29 1932 OP6AT         599 14     K3CR          599 05
QSO: 14003 CW 2014-11-29 1933 OP6AT         599 14     K3LR          599 05
QSO: 14003 CW 2014-11-29 1936 OP6AT         599 14     W1FJ          599 05
QSO: 14004 CW 2014-11-29 1937 OP6AT         599 14     W2FU          599 05
