START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.243 [RUS]
CALLSIGN: UA0SBQ/P
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 1386
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: PORTABLE
CATEGORY-TRANSMITTER: ONE
OPERATORS: UA0SBQ
CLUB: RU-QRP CLUB
LOCATION: DX
NAME: VICTOR ANDRUSSHENKO
SOAPBOX: RIG: FT-817 POWER 5W; ANTENNAS 10/15/40M RAIN TUBE(HI!) RDA: IR-01
QSO: 28045 CW 2014-11-30 0647 UA0SBQ/P      599 18     RT0C          599 19
QSO: 28042 CW 2014-11-30 0655 UA0SBQ/P      599 18     DS4EOI/2      599 25
QSO: 28026 CW 2014-11-30 0700 UA0SBQ/P      599 18     UP0L          599 17
QSO: 28048 CW 2014-11-30 0704 UA0SBQ/P      599 18     RT6A          599 16
QSO: 28010 CW 2014-11-30 0711 UA0SBQ/P      599 18     UW1M          599 16
QSO: 28035 CW 2014-11-30 0716 UA0SBQ/P      599 18     JA3YBK        599 25
QSO: 28033 CW 2014-11-30 0725 UA0SBQ/P      599 18     VK4KW         599 30
QSO: 28026 CW 2014-11-30 0824 UA0SBQ/P      599 18     BI4SSB        599 24
QSO: 21043 CW 2014-11-30 0901 UA0SBQ/P      599 18     RM3F          599 16
QSO: 21041 CW 2014-11-30 0904 UA0SBQ/P      599 18     B4W           599 24
QSO: 21056 CW 2014-11-30 0914 UA0SBQ/P      599 18     JA3YBK        599 25
QSO: 21017 CW 2014-11-30 0922 UA0SBQ/P      599 18     JN4MMO        599 25
QSO: 21022 CW 2014-11-30 0924 UA0SBQ/P      599 18     BY5CD         599 24
QSO: 21006 CW 2014-11-30 0927 UA0SBQ/P      599 18     DS4EOI/2      599 25
QSO: 21069 CW 2014-11-30 0933 UA0SBQ/P      599 18     JA5FDJ        599 25
QSO: 21073 CW 2014-11-30 0934 UA0SBQ/P      599 18     JA5DQH        599 25
QSO: 21082 CW 2014-11-30 0944 UA0SBQ/P      599 18     AH0K          599 27
QSO: 21084 CW 2014-11-30 0953 UA0SBQ/P      599 18     JH4UYB        599 25
QSO: 21006 CW 2014-11-30 1000 UA0SBQ/P      599 18     BY4AA         599 24
QSO: 21013 CW 2014-11-30 1029 UA0SBQ/P      599 18     RM5A          599 16
QSO: 21017 CW 2014-11-30 1035 UA0SBQ/P      599 18     RA3SI         599 16
QSO:  7014 CW 2014-11-30 1654 UA0SBQ/P      599 18     RX1A          599 16
QSO:  7013 CW 2014-11-30 1657 UA0SBQ/P      599 18     ES5OW         599 15
QSO:  7050 CW 2014-11-30 1801 UA0SBQ/P      599 18     JH5RXS        599 25
QSO:  7021 CW 2014-11-30 1951 UA0SBQ/P      599 18     BG3UPA        599 24
QSO:  7007 CW 2014-11-30 2359 UA0SBQ/P      599 18     UA0BA         599 18
END-OF-LOG:
