START-OF-LOG: 3.0
CREATED-BY: DXKEEPER 10.8.3
CONTEST: REF-CW
CALLSIGN: G6CSY
CATEGORY: SINGLE-OP ALL
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
OPERATORS: G6CSY
SOAPBOX: Running QRP 5W from an IC-7400 to a ground-mounted trap vertical.
SOAPBOX: Now French Departments worked or confirmed = 89. My thanks to
SOAPBOX: F6KCZ, F8KHP, F5JFU, F5KHP and F5KED for the new ones!
QSO:  3511 CW 2013-01-26 0738 G6CSY         599      1 F8GGZ         599     39
QSO:  3513 CW 2013-01-26 0742 G6CSY         599      2 F8UFT         599     77
QSO:  3514 CW 2013-01-26 0743 G6CSY         599      3 F6KNB         599     33
QSO:  3519 CW 2013-01-26 0746 G6CSY         599      4 F6DYX         599     49
QSO:  3520 CW 2013-01-26 0748 G6CSY         599      5 F8KHO         599     51
QSO:  3520 CW 2013-01-26 0750 G6CSY         599      6 F6HLC         599     71
QSO:  3521 CW 2013-01-26 0751 G6CSY         599      7 F6FTB         599     21
QSO:  3523 CW 2013-01-26 0753 G6CSY         599      8 F5JFU         599     58
QSO:  3522 CW 2013-01-26 0754 G6CSY         599      9 F8DRE         599     28
QSO:  3524 CW 2013-01-26 0756 G6CSY         599     10 F8DFP         599     63
QSO:  3525 CW 2013-01-26 0757 G6CSY         599     11 F5KMB/P       599     60
QSO:  3526 CW 2013-01-26 0759 G6CSY         599     12 F6KUQ         599     33
QSO:  3529 CW 2013-01-26 0802 G6CSY         599     13 F8KGW         599     35
QSO:  3535 CW 2013-01-26 0809 G6CSY         599     14 F6KRK         599     78
QSO:  3544 CW 2013-01-26 0812 G6CSY         599     15 F5KEQ         599     44
QSO:  3540 CW 2013-01-26 0815 G6CSY         599     16 F8EEQ         599     59
QSO:  7003 CW 2013-01-26 0819 G6CSY         599     17 F8KHP         599     88
QSO:  7007 CW 2013-01-26 1318 G6CSY         599     18 F4GBW         599     59
QSO:  7010 CW 2013-01-26 1321 G6CSY         599     19 F5IHZ         599     76
QSO: 14020 CW 2013-01-26 1325 G6CSY         599     20 TK5EP         599     2A
QSO:  3510 CW 2013-01-26 2215 G6CSY         599     21 F5PYJ         599     44
QSO:  3523 CW 2013-01-27 0432 G6CSY         599     22 F6KPQ/P       599     56
QSO:  3521 CW 2013-01-27 0437 G6CSY         599     23 F6KDL         599     68
QSO:  3521 CW 2013-01-27 0439 G6CSY         599     24 F8KGH         599     83
QSO:  3520 CW 2013-01-27 0441 G6CSY         599     25 F5JVP         599     51
QSO:  3518 CW 2013-01-27 0445 G6CSY         599     26 F5KHP         599     32
QSO:  3515 CW 2013-01-27 0456 G6CSY         599     27 F6KBR         599     66
QSO:  3511 CW 2013-01-27 0458 G6CSY         599     28 F8AEE         599     10
QSO:  3510 CW 2013-01-27 0500 G6CSY         599     29 TM55M         599     55
QSO:  3519 CW 2013-01-27 0506 G6CSY         599     30 F6BCW         599     71
QSO:  3509 CW 2013-01-27 0759 G6CSY         599     31 F6EJN         599     81
QSO:  3512 CW 2013-01-27 0801 G6CSY         599     32 F6BYJ         599     16
QSO:  3516 CW 2013-01-27 0805 G6CSY         599     33 F8BPN         599     19
QSO:  3520 CW 2013-01-27 0807 G6CSY         599     34 F8CRS         599     67
QSO:  3531 CW 2013-01-27 0813 G6CSY         599     35 F6KQL         599     21
QSO:  3545 CW 2013-01-27 0815 G6CSY         599     36 F6DEO         599     95
QSO:  7005 CW 2013-01-27 0820 G6CSY         599     37 F8EEQ         599     59
QSO:  7005 CW 2013-01-27 0823 G6CSY         599     38 F5OEV         599     85
QSO:  7006 CW 2013-01-27 0824 G6CSY         599     39 F6HJO/P       599     21
QSO:  7007 CW 2013-01-27 0826 G6CSY         599     40 F5KED         599     36
QSO:  7008 CW 2013-01-27 0828 G6CSY         599     41 F6KCZ         599     14
QSO:  7009 CW 2013-01-27 0831 G6CSY         599     42 F6KPQ/P       599     56
QSO:  7010 CW 2013-01-27 0833 G6CSY         599     43 F8BUO         599     68
QSO:  7011 CW 2013-01-27 0834 G6CSY         599     44 F5AIB         599     54
QSO:  7012 CW 2013-01-27 0837 G6CSY         599     45 F8BPN         599     19
QSO:  7018 CW 2013-01-27 0840 G6CSY         599     46 F8UFT         599     77
QSO:  7019 CW 2013-01-27 0841 G6CSY         599     47 F8KCF         599     74
QSO:  7026 CW 2013-01-27 0844 G6CSY         599     48 F5PAL         599     63
QSO:  7027 CW 2013-01-27 0846 G6CSY         599     49 F8KHO         599     51
QSO:  7033 CW 2013-01-27 0849 G6CSY         599     50 F5ROX         599     41
QSO:  3504 CW 2013-01-27 0908 G6CSY         599     51 F5UPO         599     76
END-OF-LOG:
