START-OF-LOG: 2.0
CREATED-BY: QARTest 2.8.7
CONTEST: REF-CW
REF-SECTION: DX
CALLSIGN: IK7FMQ
CATEGORY: SINGLE-OP ALL HIGH
CLAIMED-SCORE: 3705
NAME: GABRIELE ALBANESE
SOAPBOX: TRX YAESU FT950 + YAESU FL2100B + ANT. WINDOM HOME MADE.
SOAPBOX: BELLA GARA, RINGRAZIAMENTI AGLI OM FRANCESI. PROPAGAZIONE CATTIVA. 10 METRI 
SOAPBOX: CHIUSI. WX FREDDO E PIOGGIA. 73 GABRIELE 
QSO: 21000 CW 2013-01-26 1036 IK7FMQ        599 001    F8UFT         599 77     
QSO: 21000 CW 2013-01-26 1048 IK7FMQ        599 002    F6KRK         599 78     
QSO: 21000 CW 2013-01-26 1112 IK7FMQ        599 003    F5PZR         599 77     
QSO: 21000 CW 2013-01-26 1129 IK7FMQ        599 004    F5KLP         599 49     
QSO: 21000 CW 2013-01-26 1206 IK7FMQ        599 005    F5VBU         599 66     
QSO: 21000 CW 2013-01-26 1210 IK7FMQ        599 006    F6KHM         599 29     
QSO: 21000 CW 2013-01-26 1211 IK7FMQ        599 007    F5IN          599 45     
QSO: 21000 CW 2013-01-26 1219 IK7FMQ        599 008    F8AEE         599 10     
QSO: 21000 CW 2013-01-26 1307 IK7FMQ        599 009    F6HKA         599 87     
QSO: 21000 CW 2013-01-26 1315 IK7FMQ        599 010    F6ICX         599 77     
QSO: 21000 CW 2013-01-26 1321 IK7FMQ        599 011    TM5HM         599 55     
QSO: 21000 CW 2013-01-26 1326 IK7FMQ        599 012    F6KPQ/P       599 56     
QSO: 21000 CW 2013-01-26 1342 IK7FMQ        599 013    F6KNB         599 33     
QSO: 21000 CW 2013-01-26 1343 IK7FMQ        599 014    F5JU          599 35     
QSO: 21000 CW 2013-01-26 1344 IK7FMQ        599 015    F9DK          599 79     
QSO: 21000 CW 2013-01-26 1351 IK7FMQ        599 016    F6KMB         599 59     
QSO: 21000 CW 2013-01-26 1407 IK7FMQ        599 017    F9CI          599 22     
QSO: 21000 CW 2013-01-26 1416 IK7FMQ        599 018    F8DGY         599 77     
QSO: 21000 CW 2013-01-26 1420 IK7FMQ        599 019    F5KOU         599 80     
QSO: 21000 CW 2013-01-26 1424 IK7FMQ        599 020    F8KGW         599 35     
QSO: 21000 CW 2013-01-26 1524 IK7FMQ        599 021    FH8PL         599 FH     
