START-OF-LOG: 2.0
REF-SECTION: DX
CONTEST: REF-CW
CALLSIGN: TF3SA
CATEGORY: SINGLE-OP ALL LOW CW
CATEGORY-ASSISTED: NON-ASSISTED
CLAIMED-SCORE: 2184
CREATED-BY: UcxLog 7.17
OPERATORS: TF3SA
NAME: Stefan Arndal
CLUB: ICELANDIC RADIO AMATEURS (IRA)
SOAPBOX: Very interesting and comfortable contest.  Hope to be able to 
SOAPBOX: participate full-time next year. Txcvr K3, ant dipole 6m up.
QSO: 14000 CW 2013-01-26 1450 TF3SA         599 001    TK5EP         599 21
QSO: 14000 CW 2013-01-26 1453 TF3SA         599 002    F6KMB         599 59
QSO: 14000 CW 2013-01-26 1512 TF3SA         599 003    F6KHM         599 29
QSO: 14000 CW 2013-01-26 1514 TF3SA         599 004    F5JFU         599 58
QSO: 14000 CW 2013-01-26 1516 TF3SA         599 005    F8UFT         599 77
QSO: 14000 CW 2013-01-26 1518 TF3SA         599 006    F5ROX         599 41
QSO: 14000 CW 2013-01-26 1527 TF3SA         599 007    F8KHP         599 88
QSO: 14000 CW 2013-01-26 1531 TF3SA         599 008    F8DGY         599 77
QSO: 14000 CW 2013-01-26 1533 TF3SA         599 009    TM55M         599 55
QSO: 14000 CW 2013-01-26 1540 TF3SA         599 010    F2GL          599 89
QSO: 14000 CW 2013-01-26 1543 TF3SA         599 011    F5JVP         599 51
QSO: 14000 CW 2013-01-26 1549 TF3SA         599 012    F5JLQ         599 62
QSO: 14000 CW 2013-01-26 1552 TF3SA         599 013    F5TGR         599 95
QSO: 14000 CW 2013-01-26 1759 TF3SA         599 014    F5NKX         599 50
QSO: 14000 CW 2013-01-26 1805 TF3SA         599 015    F6HKA         599 87
QSO: 14000 CW 2013-01-26 1807 TF3SA         599 016    F6IPQ         599 47
QSO: 14000 CW 2013-01-26 1810 TF3SA         599 017    F2GL          599 89
QSO: 14000 CW 2013-01-26 1811 TF3SA         599 018    F8EEQ         599 59
QSO: 14000 CW 2013-01-26 1820 TF3SA         599 019    F8BPN         599 19
QSO: 14000 CW 2013-01-26 1823 TF3SA         599 020    F6EYB         599 40
QSO: 14000 CW 2013-01-26 1833 TF3SA         599 021    F6EPQ         599 70
QSO: 14000 CW 2013-01-26 1834 TF3SA         599 022    F4BDG         599 77
QSO: 14000 CW 2013-01-26 1836 TF3SA         599 023    F6HLC         599 71
QSO: 14000 CW 2013-01-26 1839 TF3SA         599 024    F6KUQ         599 33
QSO: 14000 CW 2013-01-27 1312 TF3SA         599 025    F8DFP         599 63
QSO: 14000 CW 2013-01-27 1334 TF3SA         599 026    F6KRK         599 78
QSO: 14000 CW 2013-01-27 1347 TF3SA         599 027    F5RLW         599 62
QSO: 14000 CW 2013-01-27 1358 TF3SA         599 028    F8KGH         599 83
QSO: 14000 CW 2013-01-27 1359 TF3SA         599 029    F5PTI         599 16
QSO: 14000 CW 2013-01-27 1408 TF3SA         599 030    F8KGZ         599 54
QSO: 14000 CW 2013-01-27 1412 TF3SA         599 031    F5KED         599 36
QSO: 14000 CW 2013-01-27 1426 TF3SA         599 032    F6AUS         599 79
QSO: 14000 CW 2013-01-27 1504 TF3SA         599 033    F8ATS         599 91
QSO: 14000 CW 2013-01-27 1504 TF3SA         599 034    F8EEQ         599 59
QSO: 14000 CW 2013-01-27 1506 TF3SA         599 035    F5OHM         599 36
QSO: 14000 CW 2013-01-27 1508 TF3SA         599 036    F9EW          599 77
QSO: 14000 CW 2013-01-27 1510 TF3SA         599 037    F8FSC         599 39
QSO: 14000 CW 2013-01-27 1518 TF3SA         599 038    F8KGW         599 35
QSO: 14000 CW 2013-01-27 1521 TF3SA         599 039    F5PZR         599 77
QSO: 14000 CW 2013-01-27 1528 TF3SA         599 040    F6KDL         599 68
QSO: 14000 CW 2013-01-27 1536 TF3SA         599 041    F5XX          599 81
QSO: 14000 CW 2013-01-27 1539 TF3SA         599 042    F5KEQ         599 44
QSO: 14000 CW 2013-01-27 1541 TF3SA         599 043    F6KLO         599 19
QSO: 14000 CW 2013-01-27 1543 TF3SA         599 044    F6KBF         599 78
QSO: 21000 CW 2013-01-27 1600 TF3SA         599 045    F6DEV         599 09
QSO: 21000 CW 2013-01-27 1602 TF3SA         599 046    F5IN          599 45
QSO: 21000 CW 2013-01-27 1606 TF3SA         599 047    F8KCF         599 74
QSO: 21000 CW 2013-01-27 1613 TF3SA         599 048    F6EAZ         599 21
QSO: 21000 CW 2013-01-27 1620 TF3SA         599 049    F5OWT         599 45
QSO: 21000 CW 2013-01-27 1654 TF3SA         599 050    F6HKA         599 87
QSO: 21000 CW 2013-01-27 1656 TF3SA         599 051    F5JFU         599 58
QSO:  7000 CW 2013-01-27 1708 TF3SA         599 052    F6FYA         599 37
QSO:  7000 CW 2013-01-27 1712 TF3SA         599 053    F5JVP         599 51
QSO:  7000 CW 2013-01-27 1715 TF3SA         599 054    F6KUQ         599 33
END-OF-LOG:
