START-OF-LOG: 2.0
REF-SECTION: DX
CONTEST: REF-CW
CALLSIGN: DL5OAB
CATEGORY: SINGLE-OP ALL LOW CW
CLAIMED-SCORE: 14157
CREATED-BY: UcxLog 7.18
OPERATORS: D L 5 O A B
NAME: Bernd Willeke
CLUB: DARC
SOAPBOX: C'etais tres, tres merveilleux encore une fois. A l'annee prochaine.
QSO:  7000 CW 2013-01-26 0910 DL5OAB        599 001    F8AEE         599 10
QSO:  7000 CW 2013-01-26 0911 DL5OAB        599 002    F6KQL         599 21
QSO:  7000 CW 2013-01-26 0913 DL5OAB        599 003    F5VJC         599 50
QSO:  7000 CW 2013-01-26 0915 DL5OAB        599 004    F6KRK         599 78
QSO:  7000 CW 2013-01-26 0926 DL5OAB        599 005    F6HLC         599 71
QSO:  7000 CW 2013-01-26 0929 DL5OAB        599 006    F5UL          599 74
QSO:  7000 CW 2013-01-26 0930 DL5OAB        599 007    F5JVP         599 51
QSO:  7000 CW 2013-01-26 0931 DL5OAB        599 008    F4EUN         599 83
QSO:  7000 CW 2013-01-26 0932 DL5OAB        599 009    F5ROX         599 41
QSO:  7000 CW 2013-01-26 0933 DL5OAB        599 010    F8DFP         599 63
QSO:  7000 CW 2013-01-26 0935 DL5OAB        599 011    F6IIT         599 86
QSO:  7000 CW 2013-01-26 0937 DL5OAB        599 012    F5VBT         599 38
QSO:  7000 CW 2013-01-26 0938 DL5OAB        599 013    F6ICX         599 77
QSO:  7000 CW 2013-01-26 0940 DL5OAB        599 014    F6EZV         599 94
QSO:  7000 CW 2013-01-26 0940 DL5OAB        599 015    F6EYB         599 40
QSO:  7000 CW 2013-01-26 0945 DL5OAB        599 016    F8UFT         599 77
QSO:  7000 CW 2013-01-26 0946 DL5OAB        599 017    F5JFU         599 58
QSO:  7000 CW 2013-01-26 0948 DL5OAB        599 018    F6KNB         599 33
QSO:  7000 CW 2013-01-26 0950 DL5OAB        599 019    TM2T          599 13
QSO:  7000 CW 2013-01-26 0953 DL5OAB        599 020    F8EZX         599 31
QSO:  7000 CW 2013-01-26 0957 DL5OAB        599 021    F5OEV         599 85
QSO:  7000 CW 2013-01-26 0959 DL5OAB        599 022    F5VV          599 01
QSO:  7000 CW 2013-01-26 1001 DL5OAB        599 023    F6KUQ         599 33
QSO:  7000 CW 2013-01-26 1002 DL5OAB        599 024    F8BUO         599 68
