START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: HA6NN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: 10M
CATEGORY-POWER: LOW
Category-Assisted: ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: TB-WIRES
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 114632
CREATED-BY: UcxLog 7.19
NAME: Andras Bato
CLUB: MUEGYETEMI RADIO CLUB
SOAPBOX: I have been using a multiband OCF wire dipole as usual.
QSO: 14000 RY 2013-02-09 1656 HA6NN         599 001    G3SNU         599 135    0
QSO: 14000 RY 2013-02-09 1701 HA6NN         599 002    VE3CX         599 209    0
QSO: 14000 RY 2013-02-09 1705 HA6NN         599 003    AD7JP         599 553    0
QSO: 14000 RY 2013-02-09 1708 HA6NN         599 004    K8AJS         599 339    0
QSO: 14000 RY 2013-02-09 1710 HA6NN         599 005    W3FV          599 714    0
QSO: 14000 RY 2013-02-09 1713 HA6NN         599 006    SZ1A          599 580    0
QSO: 14000 RY 2013-02-09 1714 HA6NN         599 007    MM0AMW        599 234    0
QSO: 14000 RY 2013-02-09 1716 HA6NN         599 008    K3MD          599 384    0
QSO: 14000 RY 2013-02-09 1719 HA6NN         599 009    W4TTY         599 215    0
QSO: 14000 RY 2013-02-09 1720 HA6NN         599 010    CT3BD         599 238    0
QSO: 14000 RY 2013-02-09 1723 HA6NN         599 011    WQ6K          599 537    0
QSO: 14000 RY 2013-02-09 1739 HA6NN         599 012    W7IJ          599 405    0
QSO: 14000 RY 2013-02-09 1741 HA6NN         599 013    EF5B          599 150    0
QSO: 14000 RY 2013-02-09 1742 HA6NN         599 014    WA1Z          599 038    0
QSO: 14000 RY 2013-02-09 1744 HA6NN         599 015    AA3B          599 1168   0
QSO: 14000 RY 2013-02-09 1745 HA6NN         599 016    K9CT          599 1794   0
QSO: 14000 RY 2013-02-09 1747 HA6NN         599 017    WM9Q          599 441    0
QSO: 14000 RY 2013-02-09 1750 HA6NN         599 018    EI7KD         599 628    0
QSO: 14000 RY 2013-02-09 1753 HA6NN         599 019    WX3SKY        599 712    0
QSO: 14000 RY 2013-02-09 1755 HA6NN         599 020    NV9L          599 1050   0
QSO: 14000 RY 2013-02-09 1801 HA6NN         599 021    HG7T          599 1032   0
QSO: 14000 RY 2013-02-09 1802 HA6NN         599 022    WI0WA         599 1172   0
QSO: 14000 RY 2013-02-09 1804 HA6NN         599 023    K3WW          599 252    0
QSO: 14000 RY 2013-02-09 1810 HA6NN         599 024    NC7J          599 399    0
QSO: 14000 RY 2013-02-09 1815 HA6NN         599 025    KQ7W          599 711    0
QSO: 14000 RY 2013-02-09 1819 HA6NN         599 026    KE9I          599 750    0
QSO: 14000 RY 2013-02-09 1827 HA6NN         599 027    KF2O          599 425    0
QSO: 14000 RY 2013-02-09 1827 HA6NN         599 028    WA5ZUP        599 530    0
QSO: 14000 RY 2013-02-09 1830 HA6NN         599 029    VY2LI         599 478    0
QSO: 14000 RY 2013-02-09 1836 HA6NN         599 030    5C5W          599 526    0
QSO:  7000 RY 2013-02-09 1856 HA6NN         599 031    OF3I          599 617    0
QSO:  7000 RY 2013-02-09 1858 HA6NN         599 032    R250GS        599 276    0
QSO:  7000 RY 2013-02-09 1901 HA6NN         599 033    UT7E          599 809    0
QSO:  7000 RY 2013-02-09 1901 HA6NN         599 034    EM2G          599 938    0
QSO:  7000 RY 2013-02-09 1902 HA6NN         599 035    YL3FP         599 398    0
QSO:  7000 RY 2013-02-09 1903 HA6NN         599 036    SM0BSO        599 355    0
QSO:  7000 RY 2013-02-09 1903 HA6NN         599 037    DL0CS         599 435    0
QSO:  7000 RY 2013-02-09 1904 HA6NN         599 038    PA3DBS        599 108    0
QSO:  7000 RY 2013-02-09 1909 HA6NN         599 039    EE1Z          599 519    0
QSO:  7000 RY 2013-02-09 1912 HA6NN         599 040    EA3EZD        599 361    0
QSO:  7000 RY 2013-02-09 2133 HA6NN         599 041    RK9AX         599 590    0
QSO:  7000 RY 2013-02-09 2135 HA6NN         599 042    VA2WMH        599 339    0
QSO:  7000 RY 2013-02-09 2139 HA6NN         599 043    W3FV          599 1020   0
QSO:  7000 RY 2013-02-09 2141 HA6NN         599 044    CT2IOV        599 135    0
QSO:  7000 RY 2013-02-09 2150 HA6NN         599 045    ED1R          599 1521   0
QSO:  7000 RY 2013-02-09 2155 HA6NN         599 046    WC2LX         599 046    0
QSO:  7000 RY 2013-02-09 2156 HA6NN         599 047    WT4O          599 539    0
QSO:  7000 RY 2013-02-09 2158 HA6NN         599 048    EA5ICU        599 255    0
