START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: DK4VY
CATEGORY-ASSISTED: NON-ASSISTED
CLAIMED-SCORE: 163170
CREATED-BY: RCKLog V3.25
OPERATORS: DK4VY
CLUB: RHEIN RUHR DX ASSOCIATION
NAME: Reiner Luedtke
SOAPBOX: Kenwood TS-870  CPA Eagle verical Dipol  FD4  LW  micro Keyer II
SOAPBOX:
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
QSO: 28081 RY 2013-02-09 0917 DK4VY         599 001    UA4FQI        599 320    0
QSO: 28082 RY 2013-02-09 0918 DK4VY         599 002    UA6GF         599 061    0
QSO: 28083 RY 2013-02-09 0920 DK4VY         599 003    RW9MZ         599 068    0
QSO: 28100 RY 2013-02-09 0925 DK4VY         599 004    UA9AL         599 277    0
QSO: 28106 RY 2013-02-09 0926 DK4VY         599 005    RL9P          599 070    0
QSO: 28110 RY 2013-02-09 0928 DK4VY         599 006    UA4HJ         599 381    0
QSO: 21080 RY 2013-02-09 0930 DK4VY         599 007    RW4W          599 578    0
QSO: 21076 RY 2013-02-09 0933 DK4VY         599 008    JH4UYB        599 344    0
QSO: 21077 RY 2013-02-09 0935 DK4VY         599 009    EA8MT         599 095    0
QSO: 21081 RY 2013-02-09 0944 DK4VY         599 010    RK2A          599 172    0
QSO: 21082 RY 2013-02-09 0945 DK4VY         599 011    SZ1A          599 181    0
QSO: 21084 RY 2013-02-09 0947 DK4VY         599 012    UX5IO         599 254    0
QSO: 21084 RY 2013-02-09 0948 DK4VY         599 013    UA3RF         599 238    0
QSO: 21085 RY 2013-02-09 0950 DK4VY         599 014    RV9MA         599 148    0
QSO: 21085 RY 2013-02-09 0951 DK4VY         599 015    UY8IF         599 152    0
QSO: 21087 RY 2013-02-09 0953 DK4VY         599 016    UT7E          599 437    0
QSO: 21091 RY 2013-02-09 1000 DK4VY         599 017    R7LV          599 321    0
QSO: 21091 RY 2013-02-09 1001 DK4VY         599 018    UA3PT         599 191    0
QSO: 21092 RY 2013-02-09 1003 DK4VY         599 019    UX0FF         599 291    0
QSO: 21099 RY 2013-02-09 1015 DK4VY         599 021    HZ1TT         599 034    0
QSO: 21101 RY 2013-02-09 1017 DK4VY         599 022    RA9SGV        599 213    0
QSO: 21101 RY 2013-02-09 1019 DK4VY         599 023    UA0AYA        599 486    0
QSO: 21106 RY 2013-02-09 1023 DK4VY         599 024    RW0A          599 486    0
QSO: 21106 RY 2013-02-09 1025 DK4VY         599 025    OH8A          599 516    0
QSO: 21107 RY 2013-02-09 1029 DK4VY         599 026    UX4E          599 067    0
QSO: 21109 RY 2013-02-09 1032 DK4VY         599 027    ED1R          599 752    0
QSO: 21109 RY 2013-02-09 1034 DK4VY         599 028    UX7FD         599 138    0
QSO: 21113 RY 2013-02-09 1039 DK4VY         599 029    OG8X          599 485    0
QSO: 21114 RY 2013-02-09 1043 DK4VY         599 030    OH8F          599 382    0
QSO: 21116 RY 2013-02-09 1043 DK4VY         599 031    UT6IS         599 046    0
QSO: 21117 RY 2013-02-09 1045 DK4VY         599 032    OH7MD         599 229    0
QSO: 21118 RY 2013-02-09 1046 DK4VY         599 033    TF3AO         599 095    0
QSO: 21124 RY 2013-02-09 1049 DK4VY         599 034    UX6IB         599 188    0
QSO: 21125 RY 2013-02-09 1051 DK4VY         599 035    UB0A          599 611    0
QSO: 21128 RY 2013-02-09 1052 DK4VY         599 036    R7MM          599 409    0
QSO: 21130 RY 2013-02-09 1054 DK4VY         599 037    ZC4LI         599 175    0
QSO: 21131 RY 2013-02-09 1059 DK4VY         599 038    4Z5CP         599 120    0
QSO: 14076 RY 2013-02-09 1101 DK4VY         599 039    OH4A          599 541    0
QSO: 14082 RY 2013-02-09 1107 DK4VY         599 040    IZ8EFD        599 105    0
QSO: 14082 RY 2013-02-09 1108 DK4VY         599 041    OM3KAG        599 206    0
QSO: 14082 RY 2013-02-09 1110 DK4VY         599 042    RK3DXW        599 414    0
QSO: 14084 RY 2013-02-09 1122 DK4VY         599 043    RO1B          599 209    0
QSO: 14084 RY 2013-02-09 1123 DK4VY         599 044    RW4W          599 711    0
QSO: 14085 RY 2013-02-09 1124 DK4VY         599 045    UW1M          599 504    0
QSO: 14085 RY 2013-02-09 1125 DK4VY         599 046    ED2Y          599 127    0
QSO: 14085 RY 2013-02-09 1126 DK4VY         599 047    UW2M          599 1228   0
QSO: 14086 RY 2013-02-09 1128 DK4VY         599 048    EU6AF         599 252    0
