START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.243 [RUS]
CALLSIGN: UA0SBQ
CONTEST: CQ-WPX-RTTY
CLAIMED-SCORE: 3696
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CATEGORY-TRANSMITTER: ONE
OPERATORS: UA0SBQ
CLUB: RU-QRP CLUB
LOCATION: DX
NAME: VICTOR ANDRUSSHENKO
SOAPBOX: RIG: FT-817 POWER 5W; ANTENNAS: SPIDER 10/15/20M, INVERTED VEE 40M.
QSO: 28080 RY 2013-02-09 0840 UA0SBQ        599 1      IV3YIM        599 317
QSO: 28077 RY 2013-02-09 0846 UA0SBQ        599 2      9A1A          599 60
QSO: 28088 RY 2013-02-09 0851 UA0SBQ        599 3      RM4I          599 507
QSO: 28095 RY 2013-02-09 0857 UA0SBQ        599 4      RW4NN         599 107
QSO: 28086 RY 2013-02-09 0905 UA0SBQ        599 5      DM5EL         599 37
QSO: 28086 RY 2013-02-09 0914 UA0SBQ        599 6      IV3AVQ        599 11
QSO: 28087 RY 2013-02-09 0938 UA0SBQ        599 7      UA5C          599 853
QSO: 21078 RY 2013-02-09 1005 UA0SBQ        599 8      3Z5N          599 267
QSO: 21080 RY 2013-02-09 1008 UA0SBQ        599 9      DL0CS         599 57
QSO: 21079 RY 2013-02-09 1013 UA0SBQ        599 10     DL9YAJ        599 338
QSO: 21079 RY 2013-02-09 1026 UA0SBQ        599 11     SQ8HGY        599 372
QSO: 21082 RY 2013-02-09 1039 UA0SBQ        599 12     9A1A          599 299
QSO: 21080 RY 2013-02-09 1048 UA0SBQ        599 13     UN7TDB        599 238
QSO: 21106 RY 2013-02-09 1100 UA0SBQ        599 14     YL3AIW        599 450
QSO: 21103 RY 2013-02-09 1105 UA0SBQ        599 15     TM6M          599 241
QSO: 21110 RY 2013-02-09 1114 UA0SBQ        599 16     IK2LOL        599 118
QSO: 28083 RY 2013-02-10 0917 UA0SBQ        599 17     HA30S         599 33
QSO: 28088 RY 2013-02-10 0921 UA0SBQ        599 18     SV1DPP        599 260
QSO: 28090 RY 2013-02-10 0924 UA0SBQ        599 19     RV5K          599 326
QSO: 28103 RY 2013-02-10 0944 UA0SBQ        599 20     IW0SAF        599 341
QSO: 28106 RY 2013-02-10 0952 UA0SBQ        599 21     LZ2HM         599 107
QSO: 28106 RY 2013-02-10 0956 UA0SBQ        599 22     IK0PRP        599 44
QSO: 28097 RY 2013-02-10 1003 UA0SBQ        599 23     R3AA          599 363
QSO: 14118 RY 2013-02-10 1124 UA0SBQ        599 24     UN6LN         599 512
QSO: 14118 RY 2013-02-10 1128 UA0SBQ        599 25     RW3PF         599 111
QSO: 14122 RY 2013-02-10 1131 UA0SBQ        599 26     DD5M          599 767
QSO: 14121 RY 2013-02-10 1134 UA0SBQ        599 27     IK3ORD        599 599
QSO: 14116 RY 2013-02-10 1138 UA0SBQ        599 28     UX1UF         599 465
QSO: 14116 RY 2013-02-10 1144 UA0SBQ        599 29     RK2A          599 605
QSO: 14113 RY 2013-02-10 1149 UA0SBQ        599 30     IQ1RY         599 2070
QSO: 14129 RY 2013-02-10 1228 UA0SBQ        599 31     LZ13FDAY      599 1712
QSO: 14126 RY 2013-02-10 1231 UA0SBQ        599 32     UA9AFS        599 793
QSO: 14120 RY 2013-02-10 1234 UA0SBQ        599 33     UN7CN         599 345
QSO: 14111 RY 2013-02-10 1239 UA0SBQ        599 34     RV3ZN         599 566
QSO: 14098 RY 2013-02-10 1249 UA0SBQ        599 35     9A1A          599 1197
QSO:  7037 RY 2013-02-10 2013 UA0SBQ        599 36     UT7E          599 1771
QSO:  7039 RY 2013-02-10 2040 UA0SBQ        599 37     ER5LL         599 910
END-OF-LOG:
