START-OF-LOG: 3.0
CALLSIGN: F5IQJ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 5858 LOCATION! F
CREATED-BY: Lux-Log v6.05.00 by LX1NO
NAME: DANIEL
OPERATORS: F5IQJ
SOAPBOX: Elecraft K2 - 5 watts - Ant verticale Gap Titan
QSO:  7000 CW 2018-11-24 0603 F5IQJ         599 14       RD8D          599 17
QSO:  3500 CW 2018-11-24 0605 F5IQJ         599 14       OK1FPS        599 15
QSO:  3500 CW 2018-11-24 0613 F5IQJ         599 14       DR5N          599 14
QSO:  3500 CW 2018-11-24 0617 F5IQJ         599 14       IR3C          599 15
QSO: 14000 CW 2018-11-24 0625 F5IQJ         599 14       RM9A          599 17
QSO: 14000 CW 2018-11-24 0629 F5IQJ         599 14       R5AJ          599 16
QSO:  7000 CW 2018-11-24 0632 F5IQJ         599 14       P49Y          599 09
QSO:  7000 CW 2018-11-24 0635 F5IQJ         599 14       OH3FM         599 15
QSO:  7000 CW 2018-11-24 0638 F5IQJ         599 14       US2IR         599 16
QSO: 21000 CW 2018-11-24 1208 F5IQJ         599 14       PX2A          599 11
QSO: 21000 CW 2018-11-24 1210 F5IQJ         599 14       EF8R          599 33
QSO: 21000 CW 2018-11-24 1220 F5IQJ         599 14       EA8OM         599 33
QSO: 14000 CW 2018-11-24 1229 F5IQJ         599 14       SQ9HQ         599 15
QSO: 14000 CW 2018-11-24 1230 F5IQJ         599 14       UA3M          599 16
QSO: 14000 CW 2018-11-24 1235 F5IQJ         599 14       YT5A          599 15
QSO: 14000 CW 2018-11-24 1242 F5IQJ         599 14       CN3A          599 33
QSO: 14000 CW 2018-11-24 1243 F5IQJ         599 14       RM9A          599 17
QSO: 14000 CW 2018-11-24 1245 F5IQJ         599 14       UW3E          599 16
QSO: 21000 CW 2018-11-24 1259 F5IQJ         599 14       HG6V          599 15
QSO: 21000 CW 2018-11-24 1300 F5IQJ         599 14       HG7T          599 15
QSO: 21000 CW 2018-11-24 1301 F5IQJ         599 14       CR3DX         599 33
QSO: 21000 CW 2018-11-24 1303 F5IQJ         599 14       CR3W          599 33
QSO: 14000 CW 2018-11-24 1306 F5IQJ         599 14       CN2CO         599 33
QSO:  7000 CW 2018-11-24 1321 F5IQJ         599 14       SP8PAI        599 15
QSO:  7000 CW 2018-11-24 1326 F5IQJ         599 14       DF0HQ         599 14
QSO:  3500 CW 2018-11-24 1328 F5IQJ         599 14       9A5Y          599 15
QSO:  7000 CW 2018-11-24 1331 F5IQJ         599 14       S56X          599 15
QSO: 14000 CW 2018-11-24 1429 F5IQJ         599 14       YR100R        599 20
QSO: 14000 CW 2018-11-24 1430 F5IQJ         599 14       OH8X          599 15
QSO:  7000 CW 2018-11-24 2256 F5IQJ         599 14       K2QMF         599 05
QSO:  7000 CW 2018-11-24 2257 F5IQJ         599 14       K3EL          599 05
QSO:  7000 CW 2018-11-24 2301 F5IQJ         599 14       K3LR          599 05
QSO:  7000 CW 2018-11-24 2302 F5IQJ         599 14       R3FX          599 16
QSO:  7000 CW 2018-11-24 2303 F5IQJ         599 14       K1KI          599 05
QSO:  7000 CW 2018-11-24 2305 F5IQJ         599 14       W3LPL         599 05
QSO:  7000 CW 2018-11-24 2307 F5IQJ         599 14       N1MM          599 05
QSO:  7000 CW 2018-11-24 2311 F5IQJ         599 14       EA5RS         599 14
QSO:  3500 CW 2018-11-24 2325 F5IQJ         599 14       YT1R          599 15
QSO:  3500 CW 2018-11-24 2326 F5IQJ         599 14       M0UNN         599 14
QSO:  3500 CW 2018-11-25 0744 F5IQJ         599 14       DL0GL         599 14
QSO: 14000 CW 2018-11-25 0748 F5IQJ         599 14       LY2W          599 15
QSO: 14000 CW 2018-11-25 0749 F5IQJ         599 14       CR3DX         599 33
QSO: 14000 CW 2018-11-25 0751 F5IQJ         599 14       4L8A          599 21
QSO: 14000 CW 2018-11-25 0752 F5IQJ         599 14       EU1A          599 16
QSO: 14000 CW 2018-11-25 0753 F5IQJ         599 14       UN6LN         599 17
QSO: 14000 CW 2018-11-25 0754 F5IQJ         599 14       OH0Z          599 15
QSO: 14000 CW 2018-11-25 0757 F5IQJ         599 14       OH5Z          599 15
QSO: 14000 CW 2018-11-25 0800 F5IQJ         599 14       OG60F         599 15
QSO:  7000 CW 2018-11-25 0810 F5IQJ         599 14       OM4Q          599 15
QSO:  7000 CW 2018-11-25 0810 F5IQJ         599 14       RK3AW         599 16
QSO:  7000 CW 2018-11-25 0812 F5IQJ         599 14       UW0K          599 16
QSO:  7000 CW 2018-11-25 0816 F5IQJ         599 14       ED7K          599 14
QSO:  7000 CW 2018-11-25 0821 F5IQJ         599 14       LX2A          599 14
QSO:  7000 CW 2018-11-25 0822 F5IQJ         599 14       G4BUE         599 14
QSO: 14000 CW 2018-11-25 1002 F5IQJ         599 14       LX4A          599 15
QSO: 14000 CW 2018-11-25 1322 F5IQJ         599 14       RL3A          599 16
QSO: 14000 CW 2018-11-25 1323 F5IQJ         599 14       EF8R          599 33
QSO: 14000 CW 2018-11-25 1324 F5IQJ         599 14       UX0FF         599 16
QSO: 14000 CW 2018-11-25 1328 F5IQJ         599 14       4L2M          599 21
QSO: 14000 CW 2018-11-25 1335 F5IQJ         599 14       SO4M          599 15
END-OF-LOG:
