START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: JH0KHR
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 7735
NAME: Shigeyuki Hasegawa
OPERATORS: JH0KHR
CLUB: JA0-DX-Gang
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: Very limited operating time due to my antenna maintenance.
QSO:  3504 CW 2018-11-24 0810 JH0KHR        599 25     V73NS         599 31
QSO:  3502 CW 2018-11-24 0819 JH0KHR        599 25     VY1AAA        599 01
QSO:  3503 CW 2018-11-24 0820 JH0KHR        599 25     JN4MMO        599 25
QSO:  3529 CW 2018-11-24 0823 JH0KHR        599 25     KH6J          599 31
QSO:  3550 CW 2018-11-24 0837 JH0KHR        599 25     KH7B          599 31
QSO:  3540 CW 2018-11-24 0848 JH0KHR        599 25     LU8DPM        599 13
QSO:  3542 CW 2018-11-24 0852 JH0KHR        599 25     W1SRD         599 03
QSO: 14096 CW 2018-11-25 0824 JH0KHR        599 25     BV1EL         599 24
QSO: 14066 CW 2018-11-25 0828 JH0KHR        599 25     LX7I          599 14
QSO: 14005 CW 2018-11-25 0833 JH0KHR        599 25     P33W          599 20
QSO:  3530 CW 2018-11-25 0837 JH0KHR        599 25     TI7W          599 07
QSO:  3524 CW 2018-11-25 0846 JH0KHR        599 25     LU8DPM        599 13
QSO:  3538 CW 2018-11-25 0849 JH0KHR        599 25     VR2XAN        599 24
QSO:  3519 CW 2018-11-25 0857 JH0KHR        599 25     6Y3T          599 08
QSO:  3500 CW 2018-11-25 0924 JH0KHR        599 25     9Y4/VE3EY     599 09
QSO:  3500 CW 2018-11-25 1033 JH0KHR        599 25     DY0MK         599 27
QSO:  3500 CW 2018-11-25 1034 JH0KHR        599 25     HQ9X          599 07
QSO:  3500 CW 2018-11-25 1035 JH0KHR        599 25     JH1AEP        599 25
QSO:  3500 CW 2018-11-25 1037 JH0KHR        599 25     K0RF          599 04
QSO:  3500 CW 2018-11-25 1047 JH0KHR        599 25     JD1BON        599 27
QSO:  3500 CW 2018-11-25 1051 JH0KHR        599 25     E2A           599 26
QSO:  3500 CW 2018-11-25 1053 JH0KHR        599 25     KH6LC         599 31
QSO:  3500 CW 2018-11-25 1056 JH0KHR        599 25     BD5XX         599 24
QSO:  3500 CW 2018-11-25 1059 JH0KHR        599 25     V6A           599 27
QSO:  3500 CW 2018-11-25 1101 JH0KHR        599 25     NR5M          599 04
QSO:  3500 CW 2018-11-25 1101 JH0KHR        599 25     BV1EL         599 24
QSO:  3500 CW 2018-11-25 1111 JH0KHR        599 25     ZF9CW         599 08
QSO:  3500 CW 2018-11-25 1117 JH0KHR        599 25     K9CT          599 04
QSO:  3500 CW 2018-11-25 1118 JH0KHR        599 25     RA9Y          599 18
QSO:  3534 CW 2018-11-25 1137 JH0KHR        599 25     HC5M          599 10
QSO:  3504 CW 2018-11-25 1139 JH0KHR        599 25     B4T           599 24
QSO:  3508 CW 2018-11-25 1141 JH0KHR        599 25     HL5JZ         599 25
QSO:  3507 CW 2018-11-25 1147 JH0KHR        599 25     VE7CC         599 03
QSO:  3517 CW 2018-11-25 1148 JH0KHR        599 25     JF3LOP        599 25
QSO:  3535 CW 2018-11-25 1154 JH0KHR        599 25     9M6ZAE        599 28
QSO:  3538 CW 2018-11-25 1156 JH0KHR        599 25     ZM4T          599 32
QSO:  3539 CW 2018-11-25 1256 JH0KHR        599 25     N7AT          599 03
QSO:  3541 CW 2018-11-25 1259 JH0KHR        599 25     AH2R          599 27
QSO:  3505 CW 2018-11-25 1301 JH0KHR        599 25     K6XX          599 03
QSO:  3509 CW 2018-11-25 1304 JH0KHR        599 25     FK8IM         599 32
QSO:  3523 CW 2018-11-25 1310 JH0KHR        599 25     UP2L          599 17
QSO:  3517 CW 2018-11-25 1320 JH0KHR        599 25     N6WM          599 03
QSO:  3521 CW 2018-11-25 1321 JH0KHR        599 25     YL3CW         599 15
QSO:  3500 CW 2018-11-25 1404 JH0KHR        599 25     JT1CS         599 23
QSO:  3500 CW 2018-11-25 1410 JH0KHR        599 25     OH5Z          599 15
QSO:  3500 CW 2018-11-25 1412 JH0KHR        599 25     OK8WW         599 15
QSO:  3500 CW 2018-11-25 1413 JH0KHR        599 25     4K6O          599 21
QSO:  1814 CW 2018-11-25 1418 JH0KHR        599 25     AH2R          599 27
QSO:  3518 CW 2018-11-25 2116 JH0KHR        599 25     ES9C          599 15
QSO:  3532 CW 2018-11-25 2144 JH0KHR        599 25     TK0C          599 15
QSO:  3532 CW 2018-11-25 2146 JH0KHR        599 25     YT1R          599 15
QSO:  3532 CW 2018-11-25 2153 JH0KHR        599 25     P33W          599 20
QSO:  3532 CW 2018-11-25 2155 JH0KHR        599 25     E77G          599 15
END-OF-LOG:
