START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: IW5EDI
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 14094
NAME: Simone
CLUB:
CERTIFICATE: YES
CREATED-BY: RUMlogNG (4.0.5) by DL2RUM
SOAPBOX: Few time to dedicate, but just wanted to take part.
QSO:  3521 CW 2018-11-24 2224 IW5EDI        599 15     SN2M          599 15     0
QSO:  3522 CW 2018-11-24 2230 IW5EDI        599 15     9H6A          599 15     0
QSO:  3526 CW 2018-11-24 2239 IW5EDI        599 15     OK5M          599 15     0
QSO:  3544 CW 2018-11-24 2246 IW5EDI        599 15     RT4F          599 16     0
QSO:  3546 CW 2018-11-24 2247 IW5EDI        599 15     YU1FJK        599 15     0
QSO:  7065 CW 2018-11-25 0735 IW5EDI        599 15     4U1A          599 15     0
QSO:  7022 CW 2018-11-25 0743 IW5EDI        599 15     F4HAU         599 14     0
QSO:  7022 CW 2018-11-25 0744 IW5EDI        599 15     OM4Q          599 15     0
QSO:  7022 CW 2018-11-25 0745 IW5EDI        599 15     PC3T          599 14     0
QSO:  7022 CW 2018-11-25 0746 IW5EDI        599 15     DF0HQ         599 14     0
QSO:  7023 CW 2018-11-25 0754 IW5EDI        599 15     ZA/LZ1MS      599 15     0
QSO:  7023 CW 2018-11-25 0756 IW5EDI        599 15     VE3J          599 4      0
QSO:  7012 CW 2018-11-25 0806 IW5EDI        599 15     N2MF          599 5      0
QSO:  7006 CW 2018-11-25 0807 IW5EDI        599 15     NR4M          599 5      0
QSO:  7007 CW 2018-11-25 0810 IW5EDI        599 15     N5DX          599 5      0
QSO:  7004 CW 2018-11-25 0812 IW5EDI        599 15     KE1J          599 5      0
QSO:  7025 CW 2018-11-25 0827 IW5EDI        599 15     CN3A          599 33     0
QSO:  7024 CW 2018-11-25 0829 IW5EDI        599 15     S52AW         599 15     0
QSO:  7026 CW 2018-11-25 0830 IW5EDI        599 15     OK2D          599 15     0
QSO:  7014 CW 2018-11-25 0834 IW5EDI        599 15     PJ4A          599 9      0
QSO:  7012 CW 2018-11-25 0835 IW5EDI        599 15     MW5R          599 14     0
QSO:  7013 CW 2018-11-25 0836 IW5EDI        599 15     K3LR          599 5      0
