START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: YB1IM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE:
NAME: IMAN ARIF
CLUB: YB LAND DX CLUB
CERTIFICATE: YES
CREATED-BY: Contest LogChecker v4.1 [www.contestlogchecker.com]
SOAPBOX: Vr sri poor propogation sometime qrm in my qth
QSO:  7000 CW 2018-11-24 1005 YB1IM         599 28     YE1K          599 28
QSO:  7000 CW 2018-11-24 1013 YB1IM         599 28     9M2TO         599 28
QSO:  7000 CW 2018-11-24 1029 YB1IM         599 28     E2A           599 26
QSO:  7000 CW 2018-11-24 1032 YB1IM         599 28     YB1UUU        599 28
QSO:  7000 CW 2018-11-24 1128 YB1IM         599 28     YC2VOC        599 28
QSO:  7000 CW 2018-11-24 1135 YB1IM         599 28     YD0RLX        599 28
QSO:  7000 CW 2018-11-24 1143 YB1IM         599 28     YE2A          599 28
QSO: 14000 CW 2018-11-24 1232 YB1IM         599 28     OM7M          599 15
QSO: 14000 CW 2018-11-24 1238 YB1IM         599 28     DR4A          599 14
QSO: 14000 CW 2018-11-24 1242 YB1IM         599 28     SN7Q          599 15
QSO: 14000 CW 2018-11-24 1302 YB1IM         599 28     OM7JG         599 15
QSO:  7000 CW 2018-11-24 1335 YB1IM         599 28     YB0ZZE        599 28
QSO: 14000 CW 2018-11-25 0028 YB1IM         599 28     JE6RPM        599 25
QSO: 14000 CW 2018-11-25 0036 YB1IM         599 28     E2X           599 26
QSO: 14000 CW 2018-11-25 0042 YB1IM         599 28     YB8UTI        599 28
QSO: 14000 CW 2018-11-25 0134 YB1IM         599 28     JH1RNI        599 25
QSO: 14000 CW 2018-11-25 0920 YB1IM         599 28     RT0F          599 18
QSO:  7000 CW 2018-11-25 1347 YB1IM         599 28     9M2CNC        599 28
QSO: 14000 CW 2018-11-25 1404 YB1IM         599 28     IR4X          599 15
QSO:  7000 CW 2018-11-25 1420 YB1IM         599 28     YB9/K1XM      599 8
QSO:  7000 CW 2018-11-25 1435 YB1IM         599 28     YC2YIZ        599 28
END-OF-LOG:
