START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: AA6XA
LOCATION: SCV
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 960
NAME: Jeff Kabel
OPERATORS: AA6XA @AA6XA
CLUB:
CERTIFICATE: NO
CREATED-BY: SkookumLogger 2.3.3 http
SOAPBOX: Unlike last year, I was able to hear EU stations!
QSO:  7053 CW 2018-11-24 0057 AA6XA         599 03     OM7M          599 15     0
QSO:  7071 CW 2018-11-24 0233 AA6XA         599 03     ZF1A          599 08     0
QSO:  3546 CW 2018-11-24 0237 AA6XA         599 03     VE7CC         599 03     0
QSO:  3518 CW 2018-11-24 0245 AA6XA         599 03     VE7VR         599 03     0
QSO:  7042 CW 2018-11-24 0337 AA6XA         599 03     6Y3T          599 08     0
QSO:  7034 CW 2018-11-24 0339 AA6XA         599 03     KH6J          599 31     0
QSO:  7047 CW 2018-11-25 1436 AA6XA         599 03     RT0C          599 19     0
QSO:  7039 CW 2018-11-25 1438 AA6XA         599 03     VE6SV         599 04     0
QSO:  7026 CW 2018-11-25 1442 AA6XA         599 03     BA7NQ         599 24     0
QSO:  7006 CW 2018-11-25 1446 AA6XA         599 03     KH7B          599 31     0
QSO:  7006 CW 2018-11-25 1446 AA6XA         599 03     KH6LC         599 31     0
QSO:  7040 CW 2018-11-25 1447 AA6XA         599 03     JH4UTP        599 25     0
QSO: 14061 CW 2018-11-25 1450 AA6XA         599 03     6Y3T          599 08     0
QSO:  7008 CW 2018-11-25 1455 AA6XA         599 03     DS4EOI        599 25     0
QSO: 14064 CW 2018-11-25 1459 AA6XA         599 03     VE6SV         599 04     0
QSO:  7032 CW 2018-11-25 1510 AA6XA         599 03     JA3YBK        599 25     0
QSO:  7049 CW 2018-11-25 1513 AA6XA         599 03     BD7DT         599 24     0
QSO:  7063 CW 2018-11-25 1601 AA6XA         599 03     JR5XPG        599 25     0
QSO:  7029 CW 2018-11-25 1603 AA6XA         599 03     VE6EX         599 04     0
QSO: 14026 CW 2018-11-25 1603 AA6XA         599 03     KH7B          599 31     0
QSO:  7041 CW 2018-11-25 1611 AA6XA         599 03     JH3AIU        599 25     0
END-OF-LOG:
