START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: LU1DZ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 755326
NAME: Gabriel Cornejo
OPERATORS: LU1DZ
CLUB: GACW
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: En memoria y honor de mi amigo y maestro Uranito.
QSO:  7009 CW 2018-11-24 0003 LU1DZ         599 13     K1KI          599 05
QSO:  7012 CW 2018-11-24 0004 LU1DZ         599 13     W3LPL         599 05
QSO:  7023 CW 2018-11-24 0013 LU1DZ         599 13     W4FS          599 05
QSO:  7046 CW 2018-11-24 0017 LU1DZ         599 13     N4EEB         599 05
QSO:  7027 CW 2018-11-24 0020 LU1DZ         599 13     HP3SS         599 07
QSO:  7020 CW 2018-11-24 0022 LU1DZ         599 13     W9RE          599 04
QSO:  7015 CW 2018-11-24 0027 LU1DZ         599 13     SN3A          599 15
QSO:  7022 CW 2018-11-24 0036 LU1DZ         599 13     UW1M          599 16
QSO:  7028 CW 2018-11-24 0038 LU1DZ         599 13     RT6A          599 16
QSO:  7034 CW 2018-11-24 0040 LU1DZ         599 13     XR6F          599 12
QSO:  7009 CW 2018-11-24 0042 LU1DZ         599 13     K5ZD          599 05
QSO:  7005 CW 2018-11-24 0044 LU1DZ         599 13     KV2K          599 05
QSO:  7025 CW 2018-11-24 0048 LU1DZ         599 13     K1LZ          599 05
QSO:  7005 CW 2018-11-24 0050 LU1DZ         599 13     NR4M          599 05
QSO:  7005 CW 2018-11-24 0051 LU1DZ         599 13     KQ2M          599 05
QSO:  7007 CW 2018-11-24 0054 LU1DZ         599 13     CX9AU         599 13
QSO:  7025 CW 2018-11-24 0101 LU1DZ         599 13     OK2D          599 15
QSO:  7019 CW 2018-11-24 0151 LU1DZ         599 13     R2AA          599 16
QSO:  7042 CW 2018-11-24 0153 LU1DZ         599 13     PZ5T          599 09
QSO:  7054 CW 2018-11-24 0157 LU1DZ         599 13     OK2RZ         599 15
QSO:  7038 CW 2018-11-24 0205 LU1DZ         599 13     SN7Q          599 15
QSO:  7071 CW 2018-11-24 0209 LU1DZ         599 13     PS2T          599 11
QSO:  7072 CW 2018-11-24 0210 LU1DZ         599 13     HG7T          599 15
QSO:  7059 CW 2018-11-24 0211 LU1DZ         599 13     CE3OP         599 12
QSO:  7053 CW 2018-11-24 0216 LU1DZ         599 13     CX4SS         599 13
QSO:  7048 CW 2018-11-24 0217 LU1DZ         599 13     PJ4Q          599 09
QSO:  7032 CW 2018-11-24 0221 LU1DZ         599 13     ES9C          599 15
QSO:  7027 CW 2018-11-24 0226 LU1DZ         599 13     VE7SCC        599 03
QSO:  7011 CW 2018-11-24 0229 LU1DZ         599 13     YT1HA         599 15
QSO:  7003 CW 2018-11-24 0231 LU1DZ         599 13     DF0HQ         599 14
QSO:  7002 CW 2018-11-24 0232 LU1DZ         599 13     K1JD          599 05
QSO:  7005 CW 2018-11-24 0235 LU1DZ         599 13     PJ4A          599 09
QSO:  7006 CW 2018-11-24 0236 LU1DZ         599 13     KC1XX         599 05
QSO:  7006 CW 2018-11-24 0237 LU1DZ         599 13     EA5RS         599 14
QSO:  7008 CW 2018-11-24 0239 LU1DZ         599 13     SJ0X          599 14
QSO:  7012 CW 2018-11-24 0246 LU1DZ         599 13     OM7RU         599 15
QSO:  7019 CW 2018-11-24 0248 LU1DZ         599 13     9A9R          599 15
QSO:  7024 CW 2018-11-24 0250 LU1DZ         599 13     S58M          599 15
