START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: VE2FK
LOCATION: QC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 778040
NAME: Claude Du Berger
OPERATORS: VE2FK
CLUB: Contest Group du Quebec
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
QSO:  7063 CW 2018-11-24 0155 VE2FK         599 5      AJ6V          599 03
QSO:  7066 CW 2018-11-24 0157 VE2FK         599 5      V26K          599 08
QSO:  7063 CW 2018-11-24 0158 VE2FK         599 5      EC2DX         599 14
QSO:  7063 CW 2018-11-24 0159 VE2FK         599 5      W1QK          599 05
QSO:  7063 CW 2018-11-24 0159 VE2FK         599 5      K9IMM         599 04
QSO:  7063 CW 2018-11-24 0200 VE2FK         599 5      NR5M          599 04
QSO:  7063 CW 2018-11-24 0201 VE2FK         599 5      KR2AA         599 05
QSO:  7063 CW 2018-11-24 0201 VE2FK         599 5      KE8M          599 04
QSO:  7063 CW 2018-11-24 0203 VE2FK         599 5      KS1J          599 05
QSO:  7011 CW 2018-11-24 0204 VE2FK         599 5      YT1HA         599 15
QSO:  7004 CW 2018-11-24 0204 VE2FK         599 5      NR4M          599 05
QSO:  7001 CW 2018-11-24 0205 VE2FK         599 5      EA4SV         599 14
QSO:  7002 CW 2018-11-24 0205 VE2FK         599 5      W2FU          599 05
QSO:  7003 CW 2018-11-24 0206 VE2FK         599 5      KE1J          599 05
QSO:  7006 CW 2018-11-24 0207 VE2FK         599 5      KC1XX         599 05
QSO:  7007 CW 2018-11-24 0208 VE2FK         599 5      F5MUX         599 14
QSO:  7007 CW 2018-11-24 0209 VE2FK         599 5      K2LE          599 05
QSO:  7008 CW 2018-11-24 0209 VE2FK         599 5      N6WM          599 03
QSO:  7012 CW 2018-11-24 0210 VE2FK         599 5      TK0C          599 15
QSO:  7015 CW 2018-11-24 0212 VE2FK         599 5      K1KI          599 05
QSO:  7020 CW 2018-11-24 0213 VE2FK         599 5      W9RE          599 04
QSO:  7022 CW 2018-11-24 0213 VE2FK         599 5      K3LR          599 05
QSO:  7025 CW 2018-11-24 0214 VE2FK         599 5      WA2YSJ        599 05
QSO:  7025 CW 2018-11-24 0215 VE2FK         599 5      K3PH          599 05
QSO:  7025 CW 2018-11-24 0215 VE2FK         599 5      W1DX          599 05
QSO:  7025 CW 2018-11-24 0216 VE2FK         599 5      K6XX          599 03
QSO:  7025 CW 2018-11-24 0216 VE2FK         599 5      K9BGL         599 04
QSO:  7025 CW 2018-11-24 0217 VE2FK         599 5      KD3TB         599 05
QSO:  7025 CW 2018-11-24 0218 VE2FK         599 5      WC5P          599 04
QSO:  7025 CW 2018-11-24 0218 VE2FK         599 5      NR3X          599 05
QSO:  7025 CW 2018-11-24 0218 VE2FK         599 5      KN0V          599 04
QSO:  7025 CW 2018-11-24 0219 VE2FK         599 5      KK9N          599 04
QSO:  7025 CW 2018-11-24 0220 VE2FK         599 5      WA2HIP        599 05
QSO:  7025 CW 2018-11-24 0220 VE2FK         599 5      N3AM          599 05
QSO:  7025 CW 2018-11-24 0221 VE2FK         599 5      KI6RRN        599 03
QSO:  7025 CW 2018-11-24 0221 VE2FK         599 5      N4RA          599 05
QSO:  7025 CW 2018-11-24 0221 VE2FK         599 5      KB1EFS        599 05
QSO:  7025 CW 2018-11-24 0222 VE2FK         599 5      KN4VV         599 05
QSO:  7025 CW 2018-11-24 0222 VE2FK         599 5      NF9V          599 04
QSO:  7025 CW 2018-11-24 0223 VE2FK         599 5      KD2RD         599 05
QSO:  7025 CW 2018-11-24 0223 VE2FK         599 5      K1RV          599 05
QSO:  7025 CW 2018-11-24 0224 VE2FK         599 5      W9XT          599 04
QSO:  7025 CW 2018-11-24 0224 VE2FK         599 5      W9KKN         599 03
QSO:  7025 CW 2018-11-24 0225 VE2FK         599 5      K5KG          599 05
QSO:  7026 CW 2018-11-24 0225 VE2FK         599 5      TM6M          599 14
QSO:  7027 CW 2018-11-24 0226 VE2FK         599 5      CR3W          599 33
QSO:  7028 CW 2018-11-24 0226 VE2FK         599 5      HA9RT         599 15
QSO:  7029 CW 2018-11-24 0227 VE2FK         599 5      IR4M          599 15
QSO:  3503 CW 2018-11-24 0228 VE2FK         599 5      VE3JM         599 04
QSO:  3504 CW 2018-11-24 0229 VE2FK         599 5      W3LPL         599 05
QSO:  3508 CW 2018-11-24 0229 VE2FK         599 5      KC1XX         599 05
QSO:  3528 CW 2018-11-24 0231 VE2FK         599 5      N0NI          599 04
QSO:  3537 CW 2018-11-24 0233 VE2FK         599 5      N4ADC         599 05
QSO:  3537 CW 2018-11-24 0233 VE2FK         599 5      K8GL          599 04
QSO:  3537 CW 2018-11-24 0234 VE2FK         599 5      K9UIY         599 04
QSO:  3537 CW 2018-11-24 0235 VE2FK         599 5      K2LE          599 05
QSO:  3537 CW 2018-11-24 0235 VE2FK         599 5      K9OM          599 05
QSO:  3537 CW 2018-11-24 0235 VE2FK         599 5      K2SG          599 05
QSO:  3537 CW 2018-11-24 0236 VE2FK         599 5      KG1V          599 05
QSO:  3537 CW 2018-11-24 0236 VE2FK         599 5      WA1HEW        599 05
QSO:  3537 CW 2018-11-24 0236 VE2FK         599 5      K9RS          599 05
QSO:  3537 CW 2018-11-24 0236 VE2FK         599 5      K9IMM         599 04
QSO:  3537 CW 2018-11-24 0237 VE2FK         599 5      KR2Q          599 05
QSO:  3537 CW 2018-11-24 0237 VE2FK         599 5      W1UE          599 05
