START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: W9YK
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 106066
NAME: E F Todd Benson
OPERATORS: W9YK
CLUB: Society of Midwest Contesters
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: great to hear continuous tones from around the world!
QSO:  7033 CW 2018-11-24 0038 W9YK          599 4      VE7SCC        599 03
QSO:  7032 CW 2018-11-24 0039 W9YK          599 4      VP2EAQ        599 08
QSO:  7052 CW 2018-11-24 0044 W9YK          599 4      KP2M          599 08
QSO:  7052 CW 2018-11-24 0044 W9YK          599 4      KP3Z          599 08
QSO:  7056 CW 2018-11-24 0046 W9YK          599 4      VP2V/WJ2O     599 08
QSO:  7062 CW 2018-11-24 0049 W9YK          599 4      VE2BWL        599 05
QSO:  7051 CW 2018-11-24 0059 W9YK          599 4      IR8P          599 15
QSO:  7049 CW 2018-11-24 0101 W9YK          599 4      VE7DZO        599 03
QSO:  7048 CW 2018-11-24 0102 W9YK          599 4      II9P          599 15
QSO:  7038 CW 2018-11-24 0130 W9YK          599 4      IR4X          599 15
QSO:  7029 CW 2018-11-24 0134 W9YK          599 4      IR4M          599 15
QSO:  7028 CW 2018-11-24 0134 W9YK          599 4      IO2X          599 15
QSO:  7034 CW 2018-11-24 0252 W9YK          599 4      S50A          599 15
QSO:  7041 CW 2018-11-24 0257 W9YK          599 4      KH6LC         599 31
QSO:  7044 CW 2018-11-24 0300 W9YK          599 4      EF8R          599 33
QSO:  7048 CW 2018-11-24 0301 W9YK          599 4      PJ4Q          599 09
QSO:  7049 CW 2018-11-24 0303 W9YK          599 4      OE2S          599 15
QSO:  7053 CW 2018-11-24 0307 W9YK          599 4      OM7M          599 15
QSO:  7053 CW 2018-11-24 0322 W9YK          599 4      TM6X          599 14
QSO:  7055 CW 2018-11-24 0323 W9YK          599 4      CE2LR         599 12
QSO:  3537 CW 2018-11-24 0334 W9YK          599 4      VE7SAR        599 03
QSO:  3532 CW 2018-11-24 0337 W9YK          599 4      VE7GL         599 03
QSO:  3531 CW 2018-11-24 0338 W9YK          599 4      SN7Q          599 15
QSO:  3531 CW 2018-11-24 1103 W9YK          599 4      ZF1A          599 08
QSO:  3527 CW 2018-11-24 1108 W9YK          599 4      CF3A          599 04
QSO:  7036 CW 2018-11-24 1129 W9YK          599 4      P40C          599 09
QSO:  7035 CW 2018-11-24 1130 W9YK          599 4      VK2IA         599 30
QSO:  7033 CW 2018-11-24 1131 W9YK          599 4      N7WA          599 03
QSO:  7014 CW 2018-11-24 1142 W9YK          599 4      6Y3T          599 08
QSO:  7013 CW 2018-11-24 1143 W9YK          599 4      K0RF          599 04
QSO:  7011 CW 2018-11-24 1145 W9YK          599 4      CO8ZZ         599 08
QSO:  7010 CW 2018-11-24 1145 W9YK          599 4      F5MUX         599 14
QSO:  7010 CW 2018-11-24 1147 W9YK          599 4      ZL1IF         599 32
QSO:  7009 CW 2018-11-24 1148 W9YK          599 4      VE1OP         599 05
QSO:  7015 CW 2018-11-24 1149 W9YK          599 4      PJ4K          599 09
QSO:  7019 CW 2018-11-24 1151 W9YK          599 4      VE3EJ         599 04
QSO:  7021 CW 2018-11-24 1152 W9YK          599 4      M6T           599 14
QSO:  7024 CW 2018-11-24 1153 W9YK          599 4      P49Y          599 09
QSO:  7031 CW 2018-11-24 1159 W9YK          599 4      VE9ML         599 05
QSO:  7034 CW 2018-11-24 1200 W9YK          599 4      TI7W          599 07
QSO:  7038 CW 2018-11-24 1212 W9YK          599 4      ZF1A          599 08
QSO:  7046 CW 2018-11-24 1218 W9YK          599 4      VK6LW         599 29
QSO:  7046 CW 2018-11-24 1316 W9YK          599 4      JR4OZR        599 25
QSO:  7043 CW 2018-11-24 1320 W9YK          599 4      ZM4T          599 32
QSO:  7039 CW 2018-11-24 1322 W9YK          599 4      UA4M          599 16
QSO:  7037 CW 2018-11-24 1326 W9YK          599 4      VE4EA         599 04
QSO:  7031 CW 2018-11-24 1329 W9YK          599 4      JR1IJV        599 25
QSO:  7029 CW 2018-11-24 1331 W9YK          599 4      KH6J          599 31
QSO:  7025 CW 2018-11-24 1333 W9YK          599 4      RM4F          599 16
QSO:  7024 CW 2018-11-24 1334 W9YK          599 4      OH5Z          599 15
QSO:  7012 CW 2018-11-24 1336 W9YK          599 4      VE3CEB        599 04
QSO: 14023 CW 2018-11-24 1339 W9YK          599 4      IR2L          599 15
QSO: 14022 CW 2018-11-24 1340 W9YK          599 4      PA6X          599 14
QSO: 14022 CW 2018-11-24 1342 W9YK          599 4      LY4A          599 15
QSO: 14022 CW 2018-11-24 1344 W9YK          599 4      HB9DQL        599 14
QSO: 14021 CW 2018-11-24 1345 W9YK          599 4      TM0R          599 14
