START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DG8KAD
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 6566
NAME: Alexander Derichs
CLUB: Rhein Ruhr DX Association
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: I not so good in CW, sorry for the errors
QSO: 21000 CW 2018-11-25 1402 DG8KAD        599 14     SU9JG         599 34     0
QSO: 21000 CW 2018-11-25 1405 DG8KAD        599 14     N4AF          599 05     0
QSO: 21000 CW 2018-11-25 1417 DG8KAD        599 14     N1LN          599 05     0
QSO: 21000 CW 2018-11-25 1422 DG8KAD        599 14     CR3DX         599 33     0
QSO: 14000 CW 2018-11-25 1426 DG8KAD        599 14     K3LR          599 5      0
QSO: 14000 CW 2018-11-25 1428 DG8KAD        599 14     K3WW          599 5      0
QSO: 14000 CW 2018-11-25 1429 DG8KAD        599 14     NA8V          599 04     0
QSO: 14000 CW 2018-11-25 1430 DG8KAD        599 14     EF8R          599 33     0
QSO: 14000 CW 2018-11-25 1432 DG8KAD        599 14     IZ8FWN        599 15     0
QSO: 14000 CW 2018-11-25 1436 DG8KAD        599 14     W2FU          599 05     0
QSO: 14000 CW 2018-11-25 1437 DG8KAD        599 14     P33W          599 20     0
QSO: 14000 CW 2018-11-25 1438 DG8KAD        599 14     SZ1A          599 20     0
QSO: 14000 CW 2018-11-25 1439 DG8KAD        599 14     K4RO          599 04     0
QSO: 14000 CW 2018-11-25 1441 DG8KAD        599 14     K4PV          599 05     0
QSO: 14000 CW 2018-11-25 1442 DG8KAD        599 14     W9SN          599 05     0
QSO: 14000 CW 2018-11-25 1443 DG8KAD        599 14     K1LZ          599 05     0
QSO: 14000 CW 2018-11-25 1444 DG8KAD        599 14     W3LPL         599 05     0
QSO: 14000 CW 2018-11-25 1627 DG8KAD        599 14     N2IC          599 5      0
QSO: 14000 CW 2018-11-25 1629 DG8KAD        599 14     K5ZD          599 5      0
QSO: 14000 CW 2018-11-25 1631 DG8KAD        599 14     VE3JM         599 4      0
QSO: 14000 CW 2018-11-25 1632 DG8KAD        599 14     WC1M          599 5      0
QSO: 14000 CW 2018-11-25 1634 DG8KAD        599 14     KC1XX         599 5      0
QSO: 14000 CW 2018-11-25 1635 DG8KAD        599 14     KD2RD         599 05     0
QSO: 14000 CW 2018-11-25 1702 DG8KAD        599 14     IR8P          599 15     0
QSO:  7000 CW 2018-11-25 1909 DG8KAD        599 14     RM3F          599 16     0
QSO:  7000 CW 2018-11-25 1910 DG8KAD        599 14     R1AT          599 16     0
QSO:  7000 CW 2018-11-25 1911 DG8KAD        599 14     9A5ST         599 15     0
QSO:  7000 CW 2018-11-25 1912 DG8KAD        599 14     YU1LA         599 15     0
QSO:  7000 CW 2018-11-25 1928 DG8KAD        599 14     OM7AG         599 15     0
QSO:  7000 CW 2018-11-25 1947 DG8KAD        599 14     OE5OHO        599 15     0
QSO:  7000 CW 2018-11-25 1949 DG8KAD        599 14     Z3B           599 15     0
QSO:  7000 CW 2018-11-25 1950 DG8KAD        599 14     OM7M          599 15     0
QSO:  7000 CW 2018-11-25 1951 DG8KAD        599 14     DF3CB         599 14     0
QSO:  7000 CW 2018-11-25 1952 DG8KAD        599 14     CN3A          599 33     0
QSO:  7000 CW 2018-11-25 1953 DG8KAD        599 14     SV2DSJ        599 20     0
QSO:  7000 CW 2018-11-25 1954 DG8KAD        599 14     9A8M          599 15     0
QSO:  7000 CW 2018-11-25 1955 DG8KAD        599 14     EA3DN         599 14     0
QSO:  7000 CW 2018-11-25 1957 DG8KAD        599 14     SP8PAI        599 15     0
QSO:  7000 CW 2018-11-25 1958 DG8KAD        599 14     OH5Z          599 15     0
QSO:  7000 CW 2018-11-25 1959 DG8KAD        599 14     EA5RS         599 14     0
QSO:  7000 CW 2018-11-25 2001 DG8KAD        599 14     OL9Z          599 15     0
QSO:  7000 CW 2018-11-25 2002 DG8KAD        599 14     R2AA          599 16     0
QSO:  1800 CW 2018-11-25 2016 DG8KAD        599 14     OK7O          599 15     0
QSO:  1800 CW 2018-11-25 2016 DG8KAD        599 14     HB9CPS        599 14     0
QSO:  1800 CW 2018-11-25 2018 DG8KAD        599 14     M6T           599 14     0
QSO:  1800 CW 2018-11-25 2019 DG8KAD        599 14     HB9CA         599 14     0
QSO:  1800 CW 2018-11-25 2020 DG8KAD        599 14     OK7Y          599 15     0
QSO:  1800 CW 2018-11-25 2021 DG8KAD        599 14     8S0DX         599 14     0
QSO:  1800 CW 2018-11-25 2022 DG8KAD        599 14     TM3R          599 14     0
QSO:  1800 CW 2018-11-25 2022 DG8KAD        599 14     OL1A          599 15     0
QSO:  1800 CW 2018-11-25 2024 DG8KAD        599 14     OK1JOK        599 15     0
QSO:  1800 CW 2018-11-25 2025 DG8KAD        599 14     DL7CX         599 14     0
QSO:  1800 CW 2018-11-25 2029 DG8KAD        599 14     LY7Z          599 15     0
QSO:  7000 CW 2018-11-25 2032 DG8KAD        599 14     K1LZ          599 5      0
QSO:  7000 CW 2018-11-25 2034 DG8KAD        599 14     SO9M          599 15     0
END-OF-LOG:
