START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DJ7PRM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 13916
NAME: Harald
OPERATORS: DJ7PRM
CLUB: DARC F74
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: QRP was fun again. Hope my CW was good enough.
QSO: 14007 CW 2018-11-24 0615 DJ7PRM        599 14     RX7K          599 16
QSO: 14060 CW 2018-11-24 0646 DJ7PRM        599 14     RC3W          599 16
QSO: 14050 CW 2018-11-24 0701 DJ7PRM        599 14     R6AP          599 16
QSO: 14046 CW 2018-11-24 0704 DJ7PRM        599 14     UN6LN         599 17
QSO: 21043 CW 2018-11-24 0733 DJ7PRM        599 14     RC6U          599 16
QSO: 14017 CW 2018-11-24 0812 DJ7PRM        599 14     RT5G          599 16
QSO: 14010 CW 2018-11-24 0816 DJ7PRM        599 14     LZ5R          599 20
QSO: 14013 CW 2018-11-24 0818 DJ7PRM        599 14     OH8X          599 15
QSO: 14013 CW 2018-11-24 0820 DJ7PRM        599 14     R3XA          599 16
QSO: 21025 CW 2018-11-24 0837 DJ7PRM        599 14     P33W          599 20
QSO: 21054 CW 2018-11-24 0923 DJ7PRM        599 14     UA4M          599 16
QSO: 21039 CW 2018-11-24 0933 DJ7PRM        599 14     R8WF          599 16
QSO: 14055 CW 2018-11-24 0937 DJ7PRM        599 14     ER4A          599 16
QSO: 14052 CW 2018-11-24 0938 DJ7PRM        599 14     UT4U          599 16
QSO: 14003 CW 2018-11-24 0948 DJ7PRM        599 14     R9AE          599 17
QSO: 14008 CW 2018-11-24 1040 DJ7PRM        599 14     UR5R          599 16
QSO: 14005 CW 2018-11-24 1042 DJ7PRM        599 14     YT5A          599 15
QSO: 21060 CW 2018-11-24 1053 DJ7PRM        599 14     HA0HW         599 15
QSO: 21058 CW 2018-11-24 1057 DJ7PRM        599 14     YO9HP         599 20
QSO: 21055 CW 2018-11-24 1102 DJ7PRM        599 14     UR3HC         599 16
QSO: 21045 CW 2018-11-24 1103 DJ7PRM        599 14     UT2IY         599 16
QSO: 21042 CW 2018-11-24 1106 DJ7PRM        599 14     RD4A          599 16
QSO: 21041 CW 2018-11-24 1107 DJ7PRM        599 14     UZ2I          599 16
QSO:  7023 CW 2018-11-24 1119 DJ7PRM        599 14     OK2D          599 15
QSO:  7019 CW 2018-11-24 1124 DJ7PRM        599 14     LZ9W          599 20
QSO:  7035 CW 2018-11-24 1136 DJ7PRM        599 14     OK2RZ         599 15
QSO:  7039 CW 2018-11-24 1137 DJ7PRM        599 14     IZ4GOL        599 15
QSO:  7042 CW 2018-11-24 1356 DJ7PRM        599 14     S58M          599 14
QSO:  7043 CW 2018-11-24 1400 DJ7PRM        599 14     YT1S          599 15
QSO:  7016 CW 2018-11-24 1404 DJ7PRM        599 14     R3FX          599 16
QSO:  7004 CW 2018-11-24 1408 DJ7PRM        599 14     SP1IKK        599 15
QSO: 21023 CW 2018-11-24 1421 DJ7PRM        599 14     EF8R          599 33
QSO: 21020 CW 2018-11-24 1423 DJ7PRM        599 14     LY4A          599 16
QSO: 21039 CW 2018-11-24 1431 DJ7PRM        599 14     ES9C          599 15
QSO: 21026 CW 2018-11-24 1435 DJ7PRM        599 14     LY2BAW        599 15
QSO: 14032 CW 2018-11-24 1449 DJ7PRM        599 14     YT3X          599 15
QSO:  1819 CW 2018-11-24 1454 DJ7PRM        599 14     G5W           599 14
QSO:  1817 CW 2018-11-24 1500 DJ7PRM        599 14     9A1A          599 15
QSO:  7010 CW 2018-11-24 2146 DJ7PRM        599 14     YL5X          599 15
QSO:  7071 CW 2018-11-24 2154 DJ7PRM        599 14     LY4A          599 16
QSO:  7090 CW 2018-11-24 2159 DJ7PRM        599 14     LY2PX         599 15
QSO:  1821 CW 2018-11-24 2206 DJ7PRM        599 14     OK1DX         599 15
QSO:  1822 CW 2018-11-24 2210 DJ7PRM        599 14     HB9CZF        599 14
QSO:  1830 CW 2018-11-24 2215 DJ7PRM        599 14     PI4CC         599 14
QSO:  1836 CW 2018-11-24 2222 DJ7PRM        599 14     HB9DQL        599 14
QSO:  1839 CW 2018-11-24 2232 DJ7PRM        599 14     S58N          599 15
QSO:  3511 CW 2018-11-24 2237 DJ7PRM        599 14     PI4AMF        599 14
QSO:  3519 CW 2018-11-24 2240 DJ7PRM        599 14     IR9R          599 15
QSO:  3529 CW 2018-11-24 2248 DJ7PRM        599 14     UX2X          599 16
QSO:  3532 CW 2018-11-24 2258 DJ7PRM        599 14     LZ9W          599 20
QSO:  7003 CW 2018-11-24 2303 DJ7PRM        599 14     KC1XX         599 05
QSO:  7011 CW 2018-11-24 2317 DJ7PRM        599 14     LY1M          599 15
QSO:  7018 CW 2018-11-24 2326 DJ7PRM        599 14     UT4U          599 16
QSO:  7027 CW 2018-11-24 2333 DJ7PRM        599 14     UZ2M          599 16
QSO:  1839 CW 2018-11-24 2335 DJ7PRM        599 14     OK1TN         599 15
QSO:  1840 CW 2018-11-24 2337 DJ7PRM        599 14     LZ9W          599 20
QSO:  1814 CW 2018-11-24 2342 DJ7PRM        599 14     UA2FF         599 15
QSO:  1818 CW 2018-11-24 2344 DJ7PRM        599 14     PA8AD         599 14
QSO: 14094 CW 2018-11-25 1044 DJ7PRM        599 14     SE2T          599 14
QSO: 14062 CW 2018-11-25 1051 DJ7PRM        599 14     IR8P          599 15
QSO: 14070 CW 2018-11-25 1229 DJ7PRM        599 14     EA5KM         599 14
QSO: 14060 CW 2018-11-25 1245 DJ7PRM        599 14     N4AF          599 05
QSO: 14058 CW 2018-11-25 1252 DJ7PRM        599 14     LY4A          599 16
QSO: 14056 CW 2018-11-25 1254 DJ7PRM        599 14     EF8R          599 33
QSO: 14057 CW 2018-11-25 1257 DJ7PRM        599 14     OH5Z          599 15
QSO: 14062 CW 2018-11-25 1300 DJ7PRM        599 14     N1MM          599 05
QSO: 14064 CW 2018-11-25 1307 DJ7PRM        599 14     UT5C          599 16
QSO: 14069 CW 2018-11-25 1309 DJ7PRM        599 14     VE3JM         599 04
QSO: 21014 CW 2018-11-25 1337 DJ7PRM        599 14     CR3DX         599 33
QSO: 21010 CW 2018-11-25 1405 DJ7PRM        599 14     CN3A          599 33
QSO: 14062 CW 2018-11-25 1419 DJ7PRM        599 14     PJ4K          599 09
QSO: 14016 CW 2018-11-25 1818 DJ7PRM        599 14     HG6N          599 15
QSO: 14007 CW 2018-11-25 1825 DJ7PRM        599 14     SQ9HQ         599 15
QSO:  7023 CW 2018-11-25 1957 DJ7PRM        599 14     9A7A          599 15
QSO:  7001 CW 2018-11-25 2001 DJ7PRM        599 14     P33W          599 20
QSO:  7027 CW 2018-11-25 2004 DJ7PRM        599 14     E74X          599 15
QSO:  7044 CW 2018-11-25 2013 DJ7PRM        599 14     TM5EE         599 14
QSO:  7051 CW 2018-11-25 2017 DJ7PRM        599 14     HG7T          599 15
QSO:  7054 CW 2018-11-25 2023 DJ7PRM        599 14     S52NR         599 15
QSO: 14032 CW 2018-11-25 2035 DJ7PRM        599 14     HA8M          599 15
QSO: 14031 CW 2018-11-25 2039 DJ7PRM        599 14     R7LV          599 16
QSO: 14005 CW 2018-11-25 2051 DJ7PRM        599 14     YU5R          599 15
