START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: K7HV
LOCATION: WWA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 36575
NAME: John Parnell
OPERATORS: K7HV
CLUB: Western Washington DX Club
CERTIFICATE: NO
CREATED-BY:
SOAPBOX: More fun than I thought for the solar minimum
QSO: 14028 CW 2018-11-25 2352 K7HV     599 03     V73NS         599 31
QSO: 14061 CW 2018-11-25 2351 K7HV     599 03     9M2CNC        599 28
QSO: 14043 CW 2018-11-25 2341 K7HV     599 03     JA3YBK        599 25
QSO: 14003 CW 2018-11-25 2303 K7HV     599 03     DS4EOI        599 25
QSO: 14002 CW 2018-11-25 2250 K7HV     599 03     8P1W          599 08
QSO: 14033 CW 2018-11-25 2114 K7HV     599 03     VP9I          599 05
QSO: 14010 CW 2018-11-25 1955 K7HV     599 03     E78WW         599 15
QSO: 14032 CW 2018-11-25 1931 K7HV     599 03     OK1CF         599 15
QSO: 14017 CW 2018-11-25 1909 K7HV     599 03     5P8X          599 14
QSO: 14117 CW 2018-11-25 1856 K7HV     599 03     A35EU         599 32
QSO: 14067 CW 2018-11-25 1847 K7HV     599 03     OG60F         599 15
QSO: 14051 CW 2018-11-25 1834 K7HV     599 03     P33W          599 20
QSO: 14081 CW 2018-11-25 1822 K7HV     599 03     ZR2A          599 38
QSO: 14079 CW 2018-11-25 1803 K7HV     599 03     CU8FN         599 03
QSO: 21033 CW 2018-11-25 1753 K7HV     599 03     VP2V/WJ2O     599 08
QSO: 21040 CW 2018-11-25 1752 K7HV     599 03     VP5M          599 08
QSO: 14023 CW 2018-11-25 1746 K7HV     599 03     OE2S          599 15
QSO: 14124 CW 2018-11-25 1744 K7HV     599 03     SM2T          599 14
QSO: 14047 CW 2018-11-25 1743 K7HV     599 03     9A7A          599 15
QSO: 14116 CW 2018-11-25 1736 K7HV     599 03     VP2EAB        599 08
QSO: 14044 CW 2018-11-25 1727 K7HV     599 03     LN8W          599 14
QSO: 14053 CW 2018-11-25 1700 K7HV     599 03     YT5A          599 13
QSO: 14133 CW 2018-11-25 1644 K7HV     599 03     PJ7AA         599 08
QSO: 14043 CW 2018-11-25 1644 K7HV     599 03     ZM4T          599 32
QSO: 14049 CW 2018-11-25 1639 K7HV     599 03     HG8K          599 15
QSO: 14042 CW 2018-11-25 1636 K7HV     599 03     IR4X          599 15
QSO: 14002 CW 2018-11-25 1620 K7HV     599 03     CR3X          599 33
QSO: 14020 CW 2018-11-25 1604 K7HV     599 03     S57S          599 15
QSO: 14020 CW 2018-11-25 1558 K7HV     599 03     LZ4R          599 20
QSO: 14048 CW 2018-11-25 1551 K7HV     599 03     G3DR          599 14
QSO: 14039 CW 2018-11-25 1538 K7HV     599 03     9A1LAF        599 15
QSO:  7047 CW 2018-11-25 1458 K7HV     599 03     VK6PW         599 29
QSO:  7006 CW 2018-11-25 1441 K7HV     599 03     KH7B          599 31
QSO:  3533 CW 2018-11-25 0520 K7HV     599 03     CN3A          599 33
QSO:  7048 CW 2018-11-25 0422 K7HV     599 03     UP4L          599 17
QSO:  7034 CW 2018-11-25 0345 K7HV     599 03     US2IR         599 16
QSO: 14002 CW 2018-11-25 0021 K7HV     599 03     K7SS          599 03
QSO: 14003 CW 2018-11-24 2338 K7HV     599 03     BH4TQX        599 24
QSO: 14017 CW 2018-11-24 2308 K7HV     599 03     AL7LO         599 01
QSO: 14052 CW 2018-11-24 2251 K7HV     599 03     HC5M          599 10
QSO: 14059 CW 2018-11-24 2246 K7HV     599 03     AH2R          599 27
QSO: 14044 CW 2018-11-24 2240 K7HV     599 03     V6A           599 27
QSO: 14017 CW 2018-11-24 2212 K7HV     599 03     FG/F6ARC      599 08
QSO: 14046 CW 2018-11-24 2109 K7HV     599 03     OH0Z          599 15
QSO: 14036 CW 2018-11-24 2106 K7HV     599 03     ES9C          599 15
QSO: 14029 CW 2018-11-24 2103 K7HV     599 03     OS8X          599 14
QSO: 14082 CW 2018-11-24 2052 K7HV     599 03     HI8A          599 08
QSO: 21048 CW 2018-11-24 2008 K7HV     599 03     D41CV         599 35
QSO: 21056 CW 2018-11-24 1925 K7HV     599 03     CW4MAX        599 13
QSO: 21003 CW 2018-11-24 1906 K7HV     599 03     PJ2T          599 09
QSO: 21021 CW 2018-11-24 1904 K7HV     599 03     HK3TU         599 09
QSO: 21050 CW 2018-11-24 1902 K7HV     599 03     YV1FM         599 09
QSO: 14033 CW 2018-11-24 1840 K7HV     599 03     VP9I          599 05
QSO: 14059 CW 2018-11-24 1834 K7HV     599 03     RL3A          599 16
QSO: 21073 CW 2018-11-24 1802 K7HV     599 03     PY0F          599 11
QSO: 21008 CW 2018-11-24 1800 K7HV     599 03     YW4D          599 09
QSO: 21048 CW 2018-11-24 1752 K7HV     599 03     D41CV         599 35
QSO: 21012 CW 2018-11-24 1751 K7HV     599 03     6V7A          599 35
QSO: 21015 CW 2018-11-24 1750 K7HV     599 03     LO5D          599 13
QSO: 14002 CW 2018-11-24 1736 K7HV     599 03     CN3A          599 40
QSO: 14099 CW 2018-11-24 1722 K7HV     599 03     UA4S          599 16
QSO: 14036 CW 2018-11-24 1658 K7HV     599 03     CR5E          599 14
QSO: 14029 CW 2018-11-24 1643 K7HV     599 03     OH8WW         599 15
QSO: 14006 CW 2018-11-24 1639 K7HV     599 03     GM3X          599 14
QSO: 14047 CW 2018-11-24 1630 K7HV     599 03     EF8R          599 33
QSO: 14107 CW 2018-11-24 1629 K7HV     599 03     EA1RBU        599 14
QSO: 14112 CW 2018-11-24 1624 K7HV     599 03     VE4EA         599 04
QSO: 14080 CW 2018-11-24 1614 K7HV     599 03     EB1RL         599 14
QSO: 14030 CW 2018-11-24 1604 K7HV     599 03     TM5EE         599 14
QSO: 14002 CW 2018-11-24 1557 K7HV     599 03     G3V           599 14
QSO: 14042 CW 2018-11-24 1556 K7HV     599 03     DL6FBL        599 14
QSO: 14073 CW 2018-11-24 1555 K7HV     599 03     LX7I          599 14
QSO: 14045 CW 2018-11-24 1549 K7HV     599 03     TK0C          599 15
QSO:  7041 CW 2018-11-24 0917 K7HV     599 03     K4PV          599 04
QSO:  7054 CW 2018-11-24 0911 K7HV     599 03     V47T          599 08
QSO:  7066 CW 2018-11-24 0841 K7HV     599 03     J68GU         599 08
QSO:  7082 CW 2018-11-24 0839 K7HV     599 03     J3HX          599 08
QSO:  7087 CW 2018-11-24 0837 K7HV     599 03     C6ARW         599 08
QSO:  7049 CW 2018-11-24 0823 K7HV     599 03     PZ5T          599 09
QSO:  3559 CW 2018-11-24 0820 K7HV     599 03     KP3Z          599 08
QSO:  3537 CW 2018-11-24 0813 K7HV     599 03     CR3W          599 33
QSO:  7044 CW 2018-11-24 0805 K7HV     599 03     FY5KE         599 09
QSO:  7036 CW 2018-11-24 0801 K7HV     599 03     P49Y          599 09
QSO:  7060 CW 2018-11-24 0713 K7HV     599 03     VK3IA         599 30
QSO:  7038 CW 2018-11-24 0711 K7HV     599 03     J8NY          599 08
QSO:  7085 CW 2018-11-24 0705 K7HV     599 03     5W1SA         599 32
QSO:  7014 CW 2018-11-24 0701 K7HV     599 03     6Y3T          599 08
QSO:  7070 CW 2018-11-24 0659 K7HV     599 03     9Y4/VE3EY     599 09
QSO:  7067 CW 2018-11-24 0654 K7HV     599 03     ZF1A          599 03
QSO:  7067 CW 2018-11-24 0651 K7HV     599 03     V26K          599 08
