START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DJ4KW
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2262
NAME: Gerd  Sapper
OPERATORS: DJ4KW
CLUB: BAVARIAN CONTEST CLUB
CERTIFICATE: NO
CREATED-BY: UcxLog 7.88
SOAPBOX: Surprising how many DX stations copied weak signal from my stealth-antenna
QSO:  7011 CW 2018-11-24 0945 DJ4KW         599 14     M6T           599 14     1
QSO:  7002 CW 2018-11-24 0952 DJ4KW         599 14     YT7A          599 15     1
QSO:  7024 CW 2018-11-24 0958 DJ4KW         599 14     OK2D          599 15     1
QSO:  7037 CW 2018-11-24 1001 DJ4KW         599 14     SN3A          599 15     1
QSO:  7035 CW 2018-11-24 1002 DJ4KW         599 14     HA5PP         599 15     1
QSO:  7032 CW 2018-11-24 1004 DJ4KW         599 14     HA9RT         599 15     1
QSO:  7024 CW 2018-11-24 1011 DJ4KW         599 14     OR1Z          599 14     1
QSO:  7023 CW 2018-11-24 1012 DJ4KW         599 14     OM5DX         599 15     1
QSO:  7005 CW 2018-11-24 1021 DJ4KW         599 14     F5NBX         599 14     1
QSO:  7013 CW 2018-11-24 1042 DJ4KW         599 14     S52AW         599 15     1
QSO: 21015 CW 2018-11-24 1044 DJ4KW         599 14     CR3DX         599 33     1
QSO: 21027 CW 2018-11-24 1045 DJ4KW         599 14     CR3W          599 33     1
QSO: 21023 CW 2018-11-24 1050 DJ4KW         599 14     EF8R          599 33     1
QSO:  7005 CW 2018-11-25 1109 DJ4KW         599 14     OK2RZ         599 15     1
QSO:  7009 CW 2018-11-25 1112 DJ4KW         599 14     G3V           599 14     1
QSO:  7014 CW 2018-11-25 1113 DJ4KW         599 14     SP5XO         599 15     1
QSO:  7019 CW 2018-11-25 1117 DJ4KW         599 14     PA7RA         599 14     1
QSO:  7025 CW 2018-11-25 1120 DJ4KW         599 14     E71CQ         599 15     1
QSO:  7030 CW 2018-11-25 1125 DJ4KW         599 14     SN8B          599 15     1
QSO: 14000 CW 2018-11-25 1129 DJ4KW         599 14     SK3W          599 14     1
QSO: 14002 CW 2018-11-25 1131 DJ4KW         599 14     RM9A          599 17     1
QSO: 14003 CW 2018-11-25 1132 DJ4KW         599 14     IZ8GCB        599 15     1
QSO: 14006 CW 2018-11-25 1135 DJ4KW         599 14     M6VK          599 14     1
QSO: 14007 CW 2018-11-25 1137 DJ4KW         599 14     SW9AA         599 20     1
QSO: 14023 CW 2018-11-25 1153 DJ4KW         599 14     W1KM          599 5      1
QSO: 14027 CW 2018-11-25 1156 DJ4KW         599 14     UZ2M          599 16     1
QSO: 14029 CW 2018-11-25 1157 DJ4KW         599 14     EA1AOQ        599 14     1
QSO: 14035 CW 2018-11-25 1200 DJ4KW         599 14     CN3A          599 33     1
QSO: 14041 CW 2018-11-25 1202 DJ4KW         599 14     RM7C          599 16     1
QSO: 14052 CW 2018-11-25 1206 DJ4KW         599 14     OY1CT         599 14     1
QSO: 14059 CW 2018-11-25 1230 DJ4KW         599 14     RX7K          599 16     1
QSO: 14088 CW 2018-11-25 1358 DJ4KW         599 14     W4CB          599 5      1
QSO: 14091 CW 2018-11-25 1400 DJ4KW         599 14     N4TZ          599 4      1
QSO: 14087 CW 2018-11-25 1408 DJ4KW         599 14     N2RJ          599 5      1
QSO: 14087 CW 2018-11-25 1418 DJ4KW         599 14     D41CV         599 35     1
QSO: 14085 CW 2018-11-25 1427 DJ4KW         599 14     W9OA/9        599 4      1
QSO: 14021 CW 2018-11-25 2011 DJ4KW         599 14     4L8A          599 21     1
END-OF-LOG:
