START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: F4HPZ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 19570
NAME: Vincent Lacour
CLUB:
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: Rig = horiz 4m whip on balcony, manual parallel-LC tuner, IC-706 @ 5W
SOAPBOX: Suitable 40 to 6 m bands, nothing heard on 10 m
QSO:  7000 CW 2018-11-24 0625 F4HPZ         599 14     N2MF          599 5      0
QSO:  7000 CW 2018-11-24 0635 F4HPZ         599 14     ES2MC         599 15     0
QSO:  7000 CW 2018-11-24 0656 F4HPZ         599 14     EV1R          599 16     0
QSO:  7000 CW 2018-11-24 0704 F4HPZ         599 14     TK0C          599 14     0
QSO:  7000 CW 2018-11-24 0709 F4HPZ         599 14     K2QMF         599 5      0
QSO:  7000 CW 2018-11-24 0711 F4HPZ         599 14     KC1XX         599 5      0
QSO:  7000 CW 2018-11-24 0717 F4HPZ         599 14     S52AW         599 15     0
QSO:  7000 CW 2018-11-24 0719 F4HPZ         599 14     K2LE          599 5      0
QSO:  7000 CW 2018-11-24 0727 F4HPZ         599 14     VY2TT         599 5      0
QSO:  7000 CW 2018-11-24 0733 F4HPZ         599 14     NR5M          599 4      0
QSO:  7000 CW 2018-11-24 0737 F4HPZ         599 14     E70T          599 15     0
QSO: 14000 CW 2018-11-24 1636 F4HPZ         599 14     W2FU          599 5      0
QSO: 14000 CW 2018-11-24 1646 F4HPZ         599 14     YU5R          599 15     0
QSO: 14000 CW 2018-11-24 1659 F4HPZ         599 14     VE9CB         599 5      0
QSO: 14000 CW 2018-11-24 1701 F4HPZ         599 14     HA8M          599 15     0
QSO: 14000 CW 2018-11-24 1704 F4HPZ         599 14     LZ7A          599 20     0
QSO: 14000 CW 2018-11-24 1707 F4HPZ         599 14     YT2X          599 15     0
QSO: 14000 CW 2018-11-24 1710 F4HPZ         599 14     LZ5R          599 20     0
QSO: 14000 CW 2018-11-24 1717 F4HPZ         599 14     HA90AM        599 15     0
QSO: 14000 CW 2018-11-24 1722 F4HPZ         599 14     YT8T          599 15     0
QSO: 14000 CW 2018-11-24 1724 F4HPZ         599 14     S59ABC        599 15     0
QSO: 14000 CW 2018-11-24 1732 F4HPZ         599 14     TK0C          599 14     0
QSO: 14000 CW 2018-11-24 1734 F4HPZ         599 14     IB9T          599 15     0
QSO: 14000 CW 2018-11-24 1736 F4HPZ         599 14     S53M          599 15     0
QSO:  7000 CW 2018-11-24 1745 F4HPZ         599 14     OH0T          599 15     0
QSO:  7000 CW 2018-11-24 1811 F4HPZ         599 14     LN8W          599 14     0
X-QSO:  7000 CW 2018-11-24 1831 F4HPZ         599 14     RM9A          599 17     0
QSO:  7000 CW 2018-11-24 1838 F4HPZ         599 14     RW1C          599 16     0
QSO:  7000 CW 2018-11-24 1841 F4HPZ         599 14     OM7M          599 15     0
QSO:  7000 CW 2018-11-24 1844 F4HPZ         599 14     RM9A          599 17     0
QSO:  7000 CW 2018-11-24 1850 F4HPZ         599 14     P33W          599 30     0
QSO:  7000 CW 2018-11-24 1858 F4HPZ         599 14     YT1HA         599 15     0
QSO:  7000 CW 2018-11-24 1954 F4HPZ         599 14     SO4M          599 15     0
QSO:  7000 CW 2018-11-24 1956 F4HPZ         599 14     HG7T          599 15     0
QSO:  7000 CW 2018-11-25 0607 F4HPZ         599 14     R4SA          599 16     0
QSO:  7000 CW 2018-11-25 0608 F4HPZ         599 14     OH5Z          599 15     0
QSO:  7000 CW 2018-11-25 0611 F4HPZ         599 14     YO9HP         599 20     0
QSO:  7000 CW 2018-11-25 0612 F4HPZ         599 14     LY4A          599 15     0
QSO:  7000 CW 2018-11-25 0615 F4HPZ         599 14     K4TCG         599 4      0
QSO:  7000 CW 2018-11-25 0619 F4HPZ         599 14     OK2RZ         599 15     0
QSO:  7000 CW 2018-11-25 0621 F4HPZ         599 14     EF8R          599 33     0
QSO:  7000 CW 2018-11-25 0626 F4HPZ         599 14     SN3A          599 15     0
QSO:  7000 CW 2018-11-25 0629 F4HPZ         599 14     SN2B          599 15     0
QSO:  7000 CW 2018-11-25 0631 F4HPZ         599 14     US2IR         599 16     0
QSO:  7000 CW 2018-11-25 0634 F4HPZ         599 14     YT4W          599 15     0
QSO:  7000 CW 2018-11-25 0636 F4HPZ         599 14     OL9Z          599 15     0
QSO:  7000 CW 2018-11-25 0639 F4HPZ         599 14     LZ5R          599 20     0
QSO:  7000 CW 2018-11-25 0646 F4HPZ         599 14     OK2QX         599 15     0
QSO:  7000 CW 2018-11-25 0651 F4HPZ         599 14     NR4M          599 5      0
QSO:  7000 CW 2018-11-25 0652 F4HPZ         599 14     SZ1A          599 20     0
QSO:  7000 CW 2018-11-25 0702 F4HPZ         599 14     W3LPL         599 5      0
