START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: F6UGW
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 26496
NAME: Herve GOETGHEBEUR
OPERATORS: F6UGW
CLUB: A2RS-RC F8KGS
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: Nice Contest CW - Hpe QSO AGN in other contest.
SOAPBOX: IC-7600-100 watts and Double Zepp antenna.
QSO:  7011 CW 2018-11-24 0919 F6UGW         599 14     SN6O          599 15
QSO:  7012 CW 2018-11-24 0921 F6UGW         599 14     HB9BXE        599 14
QSO:  7013 CW 2018-11-24 0923 F6UGW         599 14     S52AW         599 15
QSO:  7014 CW 2018-11-24 0925 F6UGW         599 14     W3LPL         599 05
QSO:  7019 CW 2018-11-24 0928 F6UGW         599 14     YT5A          599 15
QSO:  7021 CW 2018-11-24 0929 F6UGW         599 14     SP8PAI        599 15
QSO:  7022 CW 2018-11-24 0938 F6UGW         599 14     DL5DBY        599 14
QSO:  7022 CW 2018-11-24 0940 F6UGW         599 14     S58J          599 15
QSO:  7023 CW 2018-11-24 0941 F6UGW         599 14     OM3R          599 15
QSO:  7023 CW 2018-11-24 0942 F6UGW         599 14     I2IFT         599 15
QSO:  7023 CW 2018-11-24 0943 F6UGW         599 14     DK2TX         599 14
QSO:  7023 CW 2018-11-24 0943 F6UGW         599 14     LA2WRA        599 14
QSO:  7023 CW 2018-11-24 0944 F6UGW         599 14     MW5R          599 14
QSO:  7023 CW 2018-11-24 0945 F6UGW         599 14     HA3PT         599 15
QSO:  7023 CW 2018-11-24 0946 F6UGW         599 14     DD0VS         599 14
QSO:  7023 CW 2018-11-24 0947 F6UGW         599 14     DR7T          599 14
QSO:  7023 CW 2018-11-24 0948 F6UGW         599 14     W2FU          599 05
QSO:  7023 CW 2018-11-24 0948 F6UGW         599 14     N2RJ          599 05
QSO:  7023 CW 2018-11-24 0950 F6UGW         599 14     SK6NL         599 14
QSO:  7023 CW 2018-11-24 0950 F6UGW         599 14     DR4A          599 14
QSO:  7023 CW 2018-11-24 0951 F6UGW         599 14     OE6U          599 15
QSO:  7023 CW 2018-11-24 0953 F6UGW         599 14     LY2AJ         599 15
QSO:  7023 CW 2018-11-24 0955 F6UGW         599 14     GM4O          599 14
QSO:  7023 CW 2018-11-24 0956 F6UGW         599 14     DL3NEY        599 14
QSO:  7023 CW 2018-11-24 0957 F6UGW         599 14     IZ2DII        599 15
QSO:  7023 CW 2018-11-24 0958 F6UGW         599 14     OK5KA         599 15
QSO:  7001 CW 2018-11-24 1001 F6UGW         599 14     EA5EL         599 14
QSO:  7001 CW 2018-11-24 1003 F6UGW         599 14     N2IC          599 05
QSO:  7000 CW 2018-11-24 1008 F6UGW         599 14     YT7A          599 15
QSO: 14003 CW 2018-11-24 1024 F6UGW         599 14     II9P          599 15
QSO: 14010 CW 2018-11-24 1027 F6UGW         599 14     YP3A          599 20
QSO: 14025 CW 2018-11-24 1039 F6UGW         599 14     E78WW         599 15
QSO: 14022 CW 2018-11-24 1041 F6UGW         599 14     LY4L          599 15
QSO: 14027 CW 2018-11-24 1051 F6UGW         599 14     R7LV          599 16
QSO: 14028 CW 2018-11-24 1052 F6UGW         599 14     SP5CNA        599 15
QSO: 14029 CW 2018-11-24 1054 F6UGW         599 14     EA5KM         599 14
QSO: 14001 CW 2018-11-24 1149 F6UGW         599 14     UW2V          599 16
QSO: 14005 CW 2018-11-24 1206 F6UGW         599 14     YT5A          599 15
QSO: 14001 CW 2018-11-24 1220 F6UGW         599 14     P33W          599 20
QSO: 14023 CW 2018-11-24 1222 F6UGW         599 14     K3WW          599 05
QSO: 14008 CW 2018-11-24 1230 F6UGW         599 14     N2IC          599 05
