START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: M0CVO
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 27270
NAME: NIGEL BOOTH
OPERATORS: M0CVO
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7300.0
SOAPBOX: some good openings with some interesting new Countries for me.
QSO:  7000 CW 2018-11-24 0707 M0CVO         599 14     LY4A          599 15
QSO:  7000 CW 2018-11-24 0708 M0CVO         599 14     SP8PAI        599 15
QSO:  7000 CW 2018-11-24 0710 M0CVO         599 14     DF0HQ         599 14
QSO:  7000 CW 2018-11-24 0711 M0CVO         599 14     S52AW         599 15
QSO:  7000 CW 2018-11-24 0713 M0CVO         599 14     SN5W          599 15
QSO:  7000 CW 2018-11-24 0718 M0CVO         599 14     OK1VK         599 15
QSO:  7000 CW 2018-11-24 0720 M0CVO         599 14     HB9CA         599 14
QSO:  7000 CW 2018-11-24 0721 M0CVO         599 14     YT5A          599 15
QSO:  7000 CW 2018-11-24 0722 M0CVO         599 14     YT7A          599 15
QSO:  7000 CW 2018-11-24 0724 M0CVO         599 14     OK2D          599 15
QSO:  7000 CW 2018-11-24 0725 M0CVO         599 14     3Z1K          599 15
QSO:  7000 CW 2018-11-24 0726 M0CVO         599 14     S52W          599 15
QSO:  7000 CW 2018-11-24 0730 M0CVO         599 14     IO5O          599 15
QSO:  7000 CW 2018-11-24 0731 M0CVO         599 14     LY5W          599 15
QSO:  7000 CW 2018-11-24 0731 M0CVO         599 14     9A9R          599 15
QSO:  7000 CW 2018-11-24 0732 M0CVO         599 14     EA3KU         599 14
QSO:  7000 CW 2018-11-24 0733 M0CVO         599 14     OK2RZ         599 15
QSO:  7000 CW 2018-11-24 0737 M0CVO         599 14     CR3E          599 33
QSO:  7000 CW 2018-11-24 0739 M0CVO         599 14     SK3W          599 14
QSO:  7000 CW 2018-11-24 0740 M0CVO         599 14     OE2S          599 15
QSO:  7000 CW 2018-11-24 0741 M0CVO         599 14     S50A          599 15
QSO:  7000 CW 2018-11-24 0742 M0CVO         599 14     IQ0RU         599 15
QSO:  7000 CW 2018-11-24 0744 M0CVO         599 14     LY2W          599 15
QSO:  7000 CW 2018-11-24 0750 M0CVO         599 14     SN2B          599 15
QSO:  7000 CW 2018-11-24 0751 M0CVO         599 14     UR4EYN        599 16
QSO:  7000 CW 2018-11-24 0752 M0CVO         599 14     DD1A          599 14
QSO: 14000 CW 2018-11-24 0801 M0CVO         599 14     RU3SD         599 16
QSO: 14000 CW 2018-11-24 0802 M0CVO         599 14     UA4W          599 16
QSO: 14000 CW 2018-11-24 0805 M0CVO         599 14     LZ7A          599 20
QSO: 14000 CW 2018-11-24 0807 M0CVO         599 14     UA3A          599 16
QSO: 14000 CW 2018-11-24 0808 M0CVO         599 14     RM1Q          599 16
QSO: 14000 CW 2018-11-24 0809 M0CVO         599 14     UZ2I          599 16
QSO: 14000 CW 2018-11-24 0812 M0CVO         599 14     II9P          599 15
QSO: 14000 CW 2018-11-24 0813 M0CVO         599 14     RN9T          599 16
QSO: 14000 CW 2018-11-24 0815 M0CVO         599 14     4L8A          599 21
QSO: 14000 CW 2018-11-24 0816 M0CVO         599 14     HA8M          599 15
