START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: CR5K
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 93174
NAME: Manuel Marques
OPERATORS: CT1BWW CT1FTW CT1EOU CT1FSM CT5HRW CT1ESM
CLUB: CLUBE CB JAMOR
CERTIFICATE: NO
CREATED-BY: UcxLog 7.87
SOAPBOX: Lot of fun to be part on  CQ WW CW 2018
QSO: 14000 CW 2018-11-24 0016 CR5K          599 14     6V7A          599 35     0
QSO:  7000 CW 2018-11-24 0038 CR5K          599 14     EA5EL         599 14     0
QSO:  7000 CW 2018-11-24 0044 CR5K          599 14     K4TCG         599 4      0
QSO: 14000 CW 2018-11-24 0053 CR5K          599 14     PY0F          599 11     0
QSO: 14000 CW 2018-11-24 0101 CR5K          599 14     ZV8A          599 11     0
QSO: 14000 CW 2018-11-24 0108 CR5K          599 14     KH6Z          599 31     0
QSO:  7000 CW 2018-11-24 0120 CR5K          599 14     E77W          599 15     0
QSO:  7000 CW 2018-11-24 0131 CR5K          599 14     W4AAW         599 5      0
QSO:  7000 CW 2018-11-24 0134 CR5K          599 14     N4AF          599 5      0
QSO:  7000 CW 2018-11-24 0144 CR5K          599 14     S58M          599 15     0
QSO:  7000 CW 2018-11-24 0145 CR5K          599 14     IK1JJM        599 15     0
QSO:  7000 CW 2018-11-24 0147 CR5K          599 14     EF8R          599 33     0
QSO:  7000 CW 2018-11-24 0149 CR5K          599 14     ER4A          599 16     0
QSO:  7000 CW 2018-11-24 0151 CR5K          599 14     SZ1A          599 20     0
QSO:  7000 CW 2018-11-24 0154 CR5K          599 14     AD5A          599 4      0
QSO:  7000 CW 2018-11-24 0156 CR5K          599 14     CF3A          599 04     0
QSO:  7000 CW 2018-11-24 0159 CR5K          599 14     N2MF          599 5      0
QSO:  7000 CW 2018-11-24 0201 CR5K          599 14     SN5W          599 15     0
