START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: PC4Y
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 27648
NAME: Bert Trumpie
OPERATORS: PC4Y
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: Super contest. Hope to see you all next year
QSO: 14001 CW 2018-11-24 1052 PC4Y          599 14     P33W          599 20
QSO: 14004 CW 2018-11-24 1053 PC4Y          599 14     IZ8BRI        599 15
QSO: 14005 CW 2018-11-24 1054 PC4Y          599 14     YT5A          599 15
QSO: 14008 CW 2018-11-24 1054 PC4Y          599 14     UR5R          599 16
QSO: 14009 CW 2018-11-24 1055 PC4Y          599 14     YT5RA         599 15
QSO: 14012 CW 2018-11-24 1059 PC4Y          599 14     YT4W          599 15
QSO: 14013 CW 2018-11-24 1100 PC4Y          599 14     YT8T          599 15
QSO: 14016 CW 2018-11-24 1101 PC4Y          599 14     LZ8A          599 20
QSO: 14018 CW 2018-11-24 1104 PC4Y          599 14     RA1AL         599 16
QSO: 14018 CW 2018-11-24 1105 PC4Y          599 14     OM0R          599 15
QSO: 14022 CW 2018-11-24 1106 PC4Y          599 14     LY4L          599 15
QSO: 14027 CW 2018-11-24 1107 PC4Y          599 14     EA1DAV        599 14
QSO: 14027 CW 2018-11-24 1108 PC4Y          599 14     R7LV          599 16
QSO: 14030 CW 2018-11-24 1109 PC4Y          599 14     IR6T          599 15
QSO: 14031 CW 2018-11-24 1112 PC4Y          599 14     YL3FT         599 15
QSO: 14034 CW 2018-11-24 1112 PC4Y          599 14     YT3X          599 15
QSO: 14037 CW 2018-11-24 1113 PC4Y          599 14     IK6QON        599 15
