START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DV8/KH7EA
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1134
NAME: Irek Lochert
OPERATORS: DV8/KH7EA
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger V13.4.0
SOAPBOX: Unfortunately my TS-480 failed. The RX wasnt working properly
QSO: 14015 CW 2018-11-24 0130 DV8/KH7EA     599 27     YE1K          599 28
QSO: 14017 CW 2018-11-24 0135 DV8/KH7EA     599 27     HS3LSE        599 26
QSO: 14029 CW 2018-11-24 0149 DV8/KH7EA     599 27     BD7MQ         599 24
QSO: 14050 CW 2018-11-24 0149 DV8/KH7EA     599 27     E2A           599 26
QSO: 14054 CW 2018-11-24 0222 DV8/KH7EA     599 27     E2X           599 26
QSO: 14006 CW 2018-11-24 0502 DV8/KH7EA     599 27     BD7MNI        599 24
QSO: 21007 CW 2018-11-24 0503 DV8/KH7EA     599 27     B7Q           599 24
QSO: 14045 CW 2018-11-24 0506 DV8/KH7EA     599 27     JA3YBK        599 25
QSO: 14030 CW 2018-11-24 0513 DV8/KH7EA     599 27     JH3CTQ        599 25
QSO: 14004 CW 2018-11-24 0523 DV8/KH7EA     599 27     YB9/K1XM      599 28
QSO: 21002 CW 2018-11-24 0547 DV8/KH7EA     599 27     BV1EL         599 24
QSO: 21003 CW 2018-11-24 0610 DV8/KH7EA     599 27     BD7LMD        599 24
QSO: 21009 CW 2018-11-24 0640 DV8/KH7EA     599 27     BG7OAJ        599 24
QSO: 21046 CW 2018-11-24 0642 DV8/KH7EA     599 27     VR2FUN        599 24
QSO: 21012 CW 2018-11-24 0654 DV8/KH7EA     599 27     BY8AC         599 24
QSO: 21048 CW 2018-11-24 0709 DV8/KH7EA     599 27     BD7MNI        599 24
QSO: 14029 CW 2018-11-24 0736 DV8/KH7EA     599 27     YE2A          599 28
QSO:  7017 CW 2018-11-24 1035 DV8/KH7EA     599 27     YE1K          599 28
QSO:  7016 CW 2018-11-24 1047 DV8/KH7EA     599 27     YE2A          599 28
QSO:  7039 CW 2018-11-24 1048 DV8/KH7EA     599 27     9M6NA         599 28
QSO:  3521 CW 2018-11-24 1153 DV8/KH7EA     599 27     T88PB         599 27
QSO:  7033 CW 2018-11-24 1215 DV8/KH7EA     599 27     YB9/K1XM      599 28
QSO:  7007 CW 2018-11-24 1232 DV8/KH7EA     599 27     E2A           599 26
QSO:  3512 CW 2018-11-24 1329 DV8/KH7EA     599 27     YB8RW         599 28
END-OF-LOG:
