START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: OZ4UN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OZ4UN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2013.
QSO: 14029 CW 2013-05-25 1115 OZ4UN         599 OZ8PG         599 84
QSO: 14030 CW 2013-05-25 1124 OZ4UN         599 2 XL3T          599 838
QSO: 14027 CW 2013-05-25 1149 OZ4UN         599 0003 K9CT          599 0526
QSO: 14007 CW 2013-05-25 1239 OZ4UN         599 4 VY2TT         599 1195
QSO: 14011 CW 2013-05-25 1241 OZ4UN         599 005 KG0F          599 0473
QSO: 21018 CW 2013-05-26 1042 OZ4UN         599 7 UP0L          599 2511
QSO: 21005 CW 2013-05-26 1213 OZ4UN         599 008 PS2T          599 1840
QSO: 14010 CW 2013-05-26 1218 OZ4UN         599 009 KQ8M          599 2015
QSO: 14001 CW 2013-05-26 1222 OZ4UN         599 0010 W5WMU         599 2177
QSO: 14006 CW 2013-05-26 1224 OZ4UN         599 012 VE3EJ         599 1710
QSO: 14015 CW 2013-05-26 1226 OZ4UN         599 0012 NS9I          599 0909
QSO: 14019 CW 2013-05-26 1234 OZ4UN         599 13 KQ2M          599 866
QSO: 14000 CW 2013-05-26 1237 OZ4UN         599 0014 K5WK          599 0141
QSO: 14032 CW 2013-05-26 1240 OZ4UN         599 0015 OZ7BQ         599 0335
QSO: 14033 CW 2013-05-26 1242 OZ4UN         599 017 NR5M          599 2063
QSO: 14035 CW 2013-05-26 1244 OZ4UN         599 0017 EI/W5GN       599 0927
QSO: 14037 CW 2013-05-26 1246 OZ4UN         599 018 VB2T          599 1865
QSO: 14042 CW 2013-05-26 1251 OZ4UN         599 19 UN2E          599 925
QSO: 14042 CW 2013-05-26 1252 OZ4UN         599 021 LZ9W          599 1897
QSO: 14042 CW 2013-05-26 1252 OZ4UN         599 0021 S52ZW         599 0953
QSO: 14042 CW 2013-05-26 1253 OZ4UN         599 0022 WW4E          599 1870
QSO: 14000 CW 2013-05-26 1254 OZ4UN         599 0024 HA8VK         599 0861
QSO: 14042 CW 2013-05-26 1254 OZ4UN         599 0023 NR3X          599 1421
QSO: 14042 CW 2013-05-26 1256 OZ4UN         599 0025 N3ER          599 0422
QSO: 14042 CW 2013-05-26 1258 OZ4UN         599 029 HG7T          599 1527
QSO: 14000 CW 2013-05-26 1259 OZ4UN         599 27 RK3RX         599 461
QSO: 14042 CW 2013-05-26 1259 OZ4UN         599 30 R3OM          599 480
QSO: 14000 CW 2013-05-26 1301 OZ4UN         599 033 IZ8EFD        599 340
QSO: 14000 CW 2013-05-26 1301 OZ4UN         599 034 UY2ZZ         599 386
QSO: 14042 CW 2013-05-26 1301 OZ4UN         599 037 YO9GSB        599 128
QSO: 14000 CW 2013-05-26 1303 OZ4UN         599 0038 SV1BJW/6      599 1099
QSO: 14042 CW 2013-05-26 1303 OZ4UN         599 0037 RF9C          599 2018
QSO: 14042 CW 2013-05-26 1304 OZ4UN         599 59 US3IZ         599 918
QSO: 14042 CW 2013-05-26 1305 OZ4UN         599 042 TM6M          599 2162
QSO: 14042 CW 2013-05-26 1306 OZ4UN         599 041 P33W          599 5181
QSO: 14042 CW 2013-05-26 1306 OZ4UN         599 43 UT3UZ         599 641
QSO: 14000 CW 2013-05-26 1307 OZ4UN         599 0040 I6FDJ         599 0536
QSO: 14042 CW 2013-05-26 1308 OZ4UN         589 0044 EM2G          599 2194
QSO: 14042 CW 2013-05-26 1308 OZ4UN         599 045 VE3XAT        599 292
QSO: 14042 CW 2013-05-26 1309 OZ4UN         599 0046 UT7CA         599 0299
QSO: 14000 CW 2013-05-26 1310 OZ4UN         599 048 9A2JK         599 0273
QSO: 14042 CW 2013-05-26 1312 OZ4UN         599 049 EA6/OK2BFN/P  599 0876
QSO: 14042 CW 2013-05-26 1312 OZ4UN         599 050 RA3NC         599 1132
QSO: 14042 CW 2013-05-26 1314 OZ4UN         599 052 HA30S         599 1355
QSO: 14042 CW 2013-05-26 1314 OZ4UN         599 0052 RX6AM         599 1286
QSO: 14042 CW 2013-05-26 1316 OZ4UN         599 0054 NR4M          599 1544
QSO: 14000 CW 2013-05-26 1317 OZ4UN         599 055 UR5ETN        599 374
QSO: 14042 CW 2013-05-26 1317 OZ4UN         599 056 RU6CS         599 1261
QSO: 14042 CW 2013-05-26 1318 OZ4UN         599 0057 UC7A          599 1737
QSO: 14000 CW 2013-05-26 1319 OZ4UN         599 0059 HA8MT         599 0372
QSO: 14000 CW 2013-05-26 1319 OZ4UN         599 058 YO8COQ        599 224
QSO: 14042 CW 2013-05-26 1319 OZ4UN         599 61 RW3XM         599 429
QSO: 14042 CW 2013-05-26 1319 OZ4UN         599 0060 UX4E          599 0803
QSO: 14042 CW 2013-05-26 1321 OZ4UN         599 0063 VE9ML         599 1348
QSO: 14042 CW 2013-05-26 1322 OZ4UN         599 0066 S53F          599 2357
QSO: 14042 CW 2013-05-26 1323 OZ4UN         599 067 RU3XW         599 280
QSO: 14042 CW 2013-05-26 1323 OZ4UN         599 0064 UT1XX         599 0361
QSO: 14042 CW 2013-05-26 1326 OZ4UN         599 070 CR3L          599 2173
QSO: 14042 CW 2013-05-26 1326 OZ4UN         599 0069 R3QA          599 1357
QSO: 14042 CW 2013-05-26 1326 OZ4UN         599 068 RZ3QS         599 619
QSO: 14042 CW 2013-05-26 1327 OZ4UN         599 0071 UX4U          599 1949
QSO: 14042 CW 2013-05-26 1328 OZ4UN         599 072 IV3BCA        599 868
QSO: 14042 CW 2013-05-26 1329 OZ4UN         599 74 RG5A          599 1332
QSO: 14042 CW 2013-05-26 1331 OZ4UN         599 0075 UA7G          599 1002
QSO: 14042 CW 2013-05-26 1333 OZ4UN         599 077 UR4MG         599 248
QSO: 14042 CW 2013-05-26 1447 OZ4UN         599 0078 JN4MMO        599 1490
QSO: 14028 CW 2013-05-26 2026 OZ4UN         599 0080 K4VV          599 0599
QSO: 14030 CW 2013-05-26 2028 OZ4UN         599 081 SE5E          599 2124
QSO: 14033 CW 2013-05-26 2029 OZ4UN         599 082 RK0UT         599 1150
QSO:  3515 CW 2013-05-26 2043 OZ4UN         599 085 UP2L          599 0428
QSO:  3508 CW 2013-05-26 2047 OZ4UN         599 0087 DK7VW         599 1162
QSO:  3500 CW 2013-05-26 2113 OZ4UN         599 88 SM5CCE        599 516
END-OF-LOG:
