START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: VK2IE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-POWER: 100
LOCATION: QF55mw
CLAIMED-SCORE: 1053
CLUB: 
NAME: Ian Eddy
SOAPBOX: Single Operator All band DX Low Power (SINGLE-OP ALL LOW).s.xml
QSO: 14109 RY 2016-04-03 1432 VK2IE         599 37     EI3JE         599 380     
QSO: 14108 RY 2016-04-03 1424 VK2IE         599 36     ED1A          599 O       
QSO: 14102 RY 2016-04-03 1420 VK2IE         599 35     OH7MN         599 782     
QSO: 14103 RY 2016-04-03 1417 VK2IE         599 34     OK1TFH        599 154     
QSO: 14102 RY 2016-04-03 1416 VK2IE         599 33     OL9A          599 564     
QSO: 14095 RY 2016-04-03 1413 VK2IE         599 32     ES5GP         599 262     
QSO: 14082 RY 2016-04-03 1401 VK2IE         599 30     ED2C          599 183     
QSO: 14082 RY 2016-04-03 1357 VK2IE         599 29     UR5QU         599 340     
QSO: 14106 RY 2016-04-03 1352 VK2IE         599 28     DL9SEV        599 68      
QSO: 14106 RY 2016-04-03 1351 VK2IE         599 27     IK1BPL        599 106     
QSO: 14088 RY 2016-04-03 1339 VK2IE         599 26     YL2CI         599 370     
QSO: 14111 RY 2016-04-03 1333 VK2IE         599 25     OH5KT         599 110     
QSO: 14108 RY 2016-04-03 1326 VK2IE         599 24     SE4E          599 367     
QSO: 14107 RY 2016-04-03 1321 VK2IE         599 23     W4UK          599 215     
QSO: 14108 RY 2016-04-03 1318 VK2IE         599 22     DL5YM         599 73      
QSO: 14109 RY 2016-04-03 1317 VK2IE         599 21     S57DX         599 506     
QSO: 14104 RY 2016-04-03 1313 VK2IE         599 18     RG5A          599 599     
QSO: 14098 RY 2016-04-03 1307 VK2IE         599 17     OH2BBT        599 266     
QSO: 14087 RY 2016-04-03 1302 VK2IE         599 16     YO2RR         599 266     
QSO: 14086 RY 2016-04-03 1258 VK2IE         599 15     IK1RGK        599 316     
QSO: 14086 RY 2016-04-03 1253 VK2IE         599 14     OH2HAN        599 591     
QSO: 14087 RY 2016-04-03 1235 VK2IE         599 13     US5LPO        599 171     
QSO: 14099 RY 2016-04-03 1219 VK2IE         599 12     OL9A          599 511     
QSO: 14094 RY 2016-04-03 1213 VK2IE         599 11     RN4HFJ        599 218     
QSO: 14095 RY 2016-04-03 1204 VK2IE         599 10     PI4CG         599 592        
QSO: 21090 RY 2016-04-03 1129 VK2IE         599 9      EA7FRX        599 CO       
QSO: 21080 RY 2016-04-03 0907 VK2IE         599 8      UA0UK         599 599     
QSO: 14083 RY 2016-04-03 0859 VK2IE         599 7      YB8ROP        599 13      
QSO: 14094 RY 2016-04-03 0836 VK2IE         599 6      ZM1A          599 49      
QSO: 21081 RY 2016-04-03 0815 VK2IE         599 5      YB1RUS        599 70      
QSO: 21081 RY 2016-04-03 0814 VK2IE         599 4      YD9SBP        599 85      
QSO: 7050  RY 2016-04-03 0807 VK2IE         599 3      EC1KR         599 AV        
QSO: 7047  RY 2016-04-03 0659 VK2IE         599 1      EA3FF         599 L        
END-OF-LOG:
