START-OF-LOG: 3.0
CALLSIGN: LM90IARU
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 10325
NAME: LB3RE Stein-Roar Brobakken
LOCATION: DX
OPERATORS: LM90IARU
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5165.0
SOAPBOX: I thougth logchecking was 7 days limit.. found out 5 days..
SOAPBOX: Contesting is not for people having work during weekdays now :(
QSO: 14096 RY 2015-09-26 1707 LM90IARU      599 14 DX  4O3A          599 15 DX
QSO: 14112 RY 2015-09-26 1712 LM90IARU      599 14 DX  HA8BT         599 15 DX
QSO: 14112 RY 2015-09-26 1713 LM90IARU      599 14 DX  OK2JNB        599 15 DX
QSO: 14112 RY 2015-09-26 1717 LM90IARU      599 14 DX  UR5ZEI        599 16 DX
QSO: 14112 RY 2015-09-26 1722 LM90IARU      599 14 DX  UR5FS         599 16 DX
QSO: 14112 RY 2015-09-26 1725 LM90IARU      599 14 DX  IK3XJP        599 15 DX
QSO: 14112 RY 2015-09-26 1726 LM90IARU      599 14 DX  IZ3LUF        599 15 DX
QSO: 14082 RY 2015-09-26 1730 LM90IARU      599 14 DX  S51A          599 15 DX
QSO: 14083 RY 2015-09-26 1730 LM90IARU      599 14 DX  SQ9UM         599 15 DX
QSO: 14084 RY 2015-09-26 1731 LM90IARU      599 14 DX  OK1KSL        599 15 DX
QSO: 14086 RY 2015-09-26 1733 LM90IARU      599 14 DX  S50R          599 15 DX
QSO: 14087 RY 2015-09-26 1735 LM90IARU      599 14 DX  HB9TOC        599 14 DX
QSO: 14087 RY 2015-09-26 1738 LM90IARU      599 14 DX  S53MJ         599 15 DX
QSO: 14092 RY 2015-09-26 1743 LM90IARU      599 14 DX  F4DXW         599 14 DX
QSO: 21092 RY 2015-09-26 1748 LM90IARU      599 14 DX  P49X          599 09 DX
QSO: 21095 RY 2015-09-26 1749 LM90IARU      599 14 DX  S51A          599 15 DX
QSO:  7039 RY 2015-09-26 1801 LM90IARU      599 14 DX  US1Q          599 16 DX
QSO:  7054 RY 2015-09-26 1806 LM90IARU      599 14 DX  OH3FM         599 15 DX
QSO:  7054 RY 2015-09-26 1807 LM90IARU      599 14 DX  DL8ZU         599 14 DX
QSO:  7055 RY 2015-09-26 1808 LM90IARU      599 14 DX  SK7K          599 14 DX
QSO:  7057 RY 2015-09-26 1811 LM90IARU      599 14 DX  PI4CC         599 14 DX
QSO:  7063 RY 2015-09-26 1813 LM90IARU      599 14 DX  HB90IARU      599 14 DX
QSO:  7065 RY 2015-09-26 1814 LM90IARU      599 14 DX  OG30OJ        599 15 DX
QSO:  7068 RY 2015-09-26 1818 LM90IARU      599 14 DX  DJ2RG         599 14 DX
QSO:  7067 RY 2015-09-26 1825 LM90IARU      599 14 DX  DB2BJT        599 14 DX
QSO:  7069 RY 2015-09-26 1827 LM90IARU      599 14 DX  PA3DBS        599 14 DX
QSO:  7041 RY 2015-09-26 1829 LM90IARU      599 14 DX  S57DX         599 15 DX
QSO:  7036 RY 2015-09-26 1831 LM90IARU      599 14 DX  ES1BH         599 15 DX
QSO:  7032 RY 2015-09-26 1835 LM90IARU      599 14 DX  OH5C          599 15 DX
QSO:  7062 RY 2015-09-26 1837 LM90IARU      599 14 DX  DJ90IARU      599 14 DX
QSO:  7069 RY 2015-09-26 1840 LM90IARU      599 14 DX  HG1G          599 15 DX
QSO:  7072 RY 2015-09-26 1841 LM90IARU      599 14 DX  UR5EPV        599 16 DX
QSO:  7076 RY 2015-09-26 2151 LM90IARU      599 14 DX  G0BRC         599 14 DX
QSO:  7077 RY 2015-09-26 2154 LM90IARU      599 14 DX  EA7AHA        599 14 DX
QSO:  7077 RY 2015-09-26 2202 LM90IARU      599 14 DX  G3RSD         599 14 DX
QSO:  7077 RY 2015-09-26 2211 LM90IARU      599 14 DX  DL6NWA        599 14 DX
QSO:  7077 RY 2015-09-26 2213 LM90IARU      599 14 DX  PA2W          599 14 DX
QSO:  7077 RY 2015-09-26 2217 LM90IARU      599 14 DX  PD1AP         599 14 DX
QSO:  7077 RY 2015-09-26 2219 LM90IARU      599 14 DX  OK1EP         599 15 DX
QSO:  7077 RY 2015-09-26 2219 LM90IARU      599 14 DX  EU8F          599 16 DX
QSO:  7077 RY 2015-09-26 2220 LM90IARU      599 14 DX  DL7URH        599 14 DX
QSO:  7077 RY 2015-09-26 2221 LM90IARU      599 14 DX  OK4GP         599 15 DX
QSO:  7077 RY 2015-09-26 2223 LM90IARU      599 14 DX  OM7AX         599 15 DX
QSO:  7077 RY 2015-09-26 2223 LM90IARU      599 14 DX  IQ1RY         599 15 DX
QSO:  7077 RY 2015-09-26 2224 LM90IARU      599 14 DX  G0SYP         599 14 DX
QSO:  7077 RY 2015-09-26 2226 LM90IARU      599 14 DX  G4DOW         599 14 DX
QSO:  7077 RY 2015-09-26 2226 LM90IARU      599 14 DX  G4DBW         599 14 DX
QSO:  7077 RY 2015-09-26 2227 LM90IARU      599 14 DX  IK2EKO        599 15 DX
QSO:  7034 RY 2015-09-26 2236 LM90IARU      599 14 DX  YO4DW         599 20 DX
QSO:  7039 RY 2015-09-26 2238 LM90IARU      599 14 DX  9A5M          599 15 DX
QSO:  7048 RY 2015-09-26 2239 LM90IARU      599 14 DX  SZ1A          599 20 DX
QSO:  7046 RY 2015-09-26 2250 LM90IARU      599 14 DX  DK0EE         599 14 DX
QSO:  7048 RY 2015-09-26 2252 LM90IARU      599 14 DX  RM3DA         599 16 DX
QSO:  7049 RY 2015-09-26 2254 LM90IARU      599 14 DX  YO9HP         599 20 DX
QSO:  7051 RY 2015-09-26 2255 LM90IARU      599 14 DX  HG1S          599 15 DX
QSO:  7053 RY 2015-09-26 2256 LM90IARU      599 14 DX  ER4A          599 16 DX
QSO:  7054 RY 2015-09-26 2257 LM90IARU      599 14 DX  HB9DHG        599 14 DX
QSO:  7047 RY 2015-09-27 1905 LM90IARU      599 14 DX  S56A          599 15 DX
QSO:  7047 RY 2015-09-27 1908 LM90IARU      599 14 DX  DL7UGO        599 14 DX
QSO:  7047 RY 2015-09-27 1908 LM90IARU      599 14 DX  S57OWA        599 15 DX
QSO:  7047 RY 2015-09-27 1910 LM90IARU      599 14 DX  LY2SA         599 15 DX
QSO:  7047 RY 2015-09-27 1915 LM90IARU      599 14 DX  SP3UIW        599 15 DX
QSO:  7047 RY 2015-09-27 1915 LM90IARU      599 14 DX  PA2CVD        599 14 DX
QSO:  7047 RY 2015-09-27 1916 LM90IARU      599 14 DX  DM2RM         599 14 DX
QSO:  7047 RY 2015-09-27 1917 LM90IARU      599 14 DX  OK2KR         599 15 DX
QSO:  7047 RY 2015-09-27 1918 LM90IARU      599 14 DX  LY2BUU        599 15 DX
QSO:  7047 RY 2015-09-27 1918 LM90IARU      599 14 DX  SQ9UM         599 15 DX
QSO:  7047 RY 2015-09-27 1928 LM90IARU      599 14 DX  SQ2WHH        599 15 DX
QSO:  7047 RY 2015-09-27 1930 LM90IARU      599 14 DX  DF9GH         599 14 DX
QSO:  7047 RY 2015-09-27 1930 LM90IARU      599 14 DX  SM7BHM        599 14 DX
QSO:  7047 RY 2015-09-27 1944 LM90IARU      599 14 DX  PE2K          599 14 DX
QSO:  7047 RY 2015-09-27 2031 LM90IARU      599 14 DX  LX7I          599 14 DX
QSO: 14081 RY 2015-09-27 2033 LM90IARU      599 14 DX  EA6EE         599 14 DX
QSO: 14102 RY 2015-09-27 2038 LM90IARU      599 14 DX  PT2CM         599 11 DX
QSO: 14119 RY 2015-09-27 2042 LM90IARU      599 14 DX  K9CT          599 04 IL
QSO: 14122 RY 2015-09-27 2043 LM90IARU      599 14 DX  N2KI          599 05 NY
QSO: 14129 RY 2015-09-27 2045 LM90IARU      599 14 DX  N2BJ          599 04 IL
QSO: 14136 RY 2015-09-27 2049 LM90IARU      599 14 DX  W1EQ          599 05 CT
QSO: 14142 RY 2015-09-27 2052 LM90IARU      599 14 DX  W3FRC/WMF     599 05 PA
QSO: 14147 RY 2015-09-27 2052 LM90IARU      599 14 DX  EA5KA         599 14 DX
QSO: 14127 RY 2015-09-27 2056 LM90IARU      599 14 DX  YV4NN         599 09 DX
QSO: 14095 RY 2015-09-27 2105 LM90IARU      599 14 DX  DM5TI         599 14 DX
QSO: 14116 RY 2015-09-27 2107 LM90IARU      599 14 DX  LT1F          599 13 DX
END-OF-LOG:
