START-OF-LOG: 3.0
CALLSIGN: G4EBK
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 81486
NAME: George J Smith
LOCATION: DX
OPERATORS: G4EBK
CLUB: Grimsby Amateur Radio Society
CERTIFICATE: NO
CREATED-BY: N1MM Logger V14.9.0
SOAPBOX: Slow going, waiting in line till the big stations stop shouting.
QSO: 21080 RY 2015-09-26 1604 G4EBK         599 14 DX  CR3L          599 33 DX
QSO: 21082 RY 2015-09-26 1606 G4EBK         599 14 DX  IT9WDC        599 15 DX
QSO: 21091 RY 2015-09-26 1611 G4EBK         599 14 DX  5B4AIF        599 20 DX
QSO: 21093 RY 2015-09-26 1615 G4EBK         599 14 DX  4O3A          599 15 DX
QSO: 21094 RY 2015-09-26 1615 G4EBK         599 14 DX  EC7CW         599 14 DX
QSO: 21096 RY 2015-09-26 1618 G4EBK         599 14 DX  IT9BLB        599 15 DX
QSO: 21109 RY 2015-09-26 1632 G4EBK         599 14 DX  K3MJW         599 05 PA
QSO: 21114 RY 2015-09-26 1645 G4EBK         599 14 DX  KU2M          599 05 NJ
QSO: 21127 RY 2015-09-26 1648 G4EBK         599 14 DX  IT9VCE        599 15 DX
QSO: 21118 RY 2015-09-26 1651 G4EBK         599 14 DX  K4FJ          599 05 VA
QSO: 21109 RY 2015-09-26 1700 G4EBK         599 14 DX  EA8MT         599 33 DX
QSO: 21108 RY 2015-09-26 1702 G4EBK         599 14 DX  K6AW/2        599 05 NY
QSO: 21101 RY 2015-09-26 1704 G4EBK         599 14 DX  EA7IA         599 14 DX
QSO: 21093 RY 2015-09-26 1708 G4EBK         599 14 DX  ES9C          599 15 DX
QSO: 21092 RY 2015-09-26 1712 G4EBK         599 14 DX  SP2CHY        599 15 DX
QSO: 21087 RY 2015-09-26 1714 G4EBK         599 14 DX  W3LL          599 05 MD
QSO: 21085 RY 2015-09-26 1716 G4EBK         599 14 DX  EA8DED        599 33 DX
QSO: 21078 RY 2015-09-26 1718 G4EBK         599 14 DX  3Z5N          599 15 DX
QSO:  7048 RY 2015-09-27 0641 G4EBK         599 14 DX  EI5KF         599 14 DX
QSO:  7048 RY 2015-09-27 0644 G4EBK         599 14 DX  S56A          599 15 DX
QSO:  7049 RY 2015-09-27 0645 G4EBK         599 14 DX  OZ1ADL        599 14 DX
QSO:  7050 RY 2015-09-27 0646 G4EBK         599 14 DX  IK2SND        599 15 DX
QSO:  7051 RY 2015-09-27 0650 G4EBK         599 14 DX  DB4BJ         599 14 DX
QSO:  7054 RY 2015-09-27 0653 G4EBK         599 14 DX  N0NI          599 04 IA
QSO:  7056 RY 2015-09-27 0654 G4EBK         599 14 DX  PD1RO         599 14 DX
QSO:  7058 RY 2015-09-27 0657 G4EBK         599 14 DX  HB9OK         599 14 DX
QSO:  7061 RY 2015-09-27 0700 G4EBK         599 14 DX  DK4RL         599 14 DX
QSO:  7065 RY 2015-09-27 0705 G4EBK         599 14 DX  ED1A          599 14 DX
QSO:  7066 RY 2015-09-27 0711 G4EBK         599 14 DX  TF3AO         599 40 DX
QSO:  7052 RY 2015-09-27 0715 G4EBK         599 14 DX  EA2DDE        599 14 DX
QSO:  7052 RY 2015-09-27 0716 G4EBK         599 14 DX  K1SFA         599 05 MA
QSO:  7052 RY 2015-09-27 0717 G4EBK         599 14 DX  DL1FCU        599 14 DX
QSO:  7052 RY 2015-09-27 0718 G4EBK         599 14 DX  DL2KWA        599 14 DX
QSO:  7051 RY 2015-09-27 0742 G4EBK         599 14 DX  GM3POI        599 14 DX
QSO:  7051 RY 2015-09-27 0744 G4EBK         599 14 DX  HG1G          599 15 DX
QSO:  7050 RY 2015-09-27 0745 G4EBK         599 14 DX  HB9CAT        599 14 DX
QSO:  7050 RY 2015-09-27 0746 G4EBK         599 14 DX  9A5M          599 15 DX
QSO:  7050 RY 2015-09-27 0746 G4EBK         599 14 DX  PB7Z          599 14 DX
QSO:  7050 RY 2015-09-27 0746 G4EBK         599 14 DX  DK1AX         599 14 DX
QSO:  7050 RY 2015-09-27 0747 G4EBK         599 14 DX  DJ6TB         599 14 DX
QSO:  7050 RY 2015-09-27 0747 G4EBK         599 14 DX  LY5W          599 15 DX
