START-OF-LOG: 3.0
CALLSIGN: DJ8OG
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 4732
NAME: Matthias Kromm
LOCATION: DX
OPERATORS: DJ8OG
CLUB: Rhein Ruhr DX Association
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.4834.0
SOAPBOX: Just handing out some points, no time for more this weekend :-(
QSO:  3599 RY 2015-09-26 2020 DJ8OG         599 14 DX  CR3L          599 33 DX
QSO: 14103 RY 2015-09-26 2042 DJ8OG         599 14 DX  P40BC         599 09 DX
QSO: 14116 RY 2015-09-26 2046 DJ8OG         599 14 DX  DA3X          599 14 DX
QSO: 14130 RY 2015-09-26 2048 DJ8OG         599 14 DX  W9SN          599 04 TN
QSO: 14084 RY 2015-09-26 2050 DJ8OG         599 14 DX  AC0C          599 04 KS
QSO:  7041 RY 2015-09-26 2056 DJ8OG         599 14 DX  R3KF          599 16 DX
QSO:  7047 RY 2015-09-26 2057 DJ8OG         599 14 DX  EA2KU         599 14 DX
QSO:  7068 RY 2015-09-26 2100 DJ8OG         599 14 DX  EW8Z          599 16 DX
QSO: 14117 RY 2015-09-26 2101 DJ8OG         599 14 DX  CR3L          599 33 DX
QSO:  7039 RY 2015-09-26 2105 DJ8OG         599 14 DX  UW1M          599 16 DX
QSO:  3589 RY 2015-09-26 2108 DJ8OG         599 14 DX  YO5BLA        599 20 DX
QSO:  3589 RY 2015-09-26 2108 DJ8OG         599 14 DX  ON3DI         599 14 DX
QSO:  3589 RY 2015-09-26 2109 DJ8OG         599 14 DX  SM7MX         599 14 DX
QSO:  3589 RY 2015-09-26 2110 DJ8OG         599 14 DX  SB7W          599 14 DX
QSO:  3589 RY 2015-09-26 2110 DJ8OG         599 14 DX  IK6VXO        599 15 DX
QSO:  3589 RY 2015-09-26 2111 DJ8OG         599 14 DX  IV3ARJ        599 15 DX
QSO:  3589 RY 2015-09-26 2111 DJ8OG         599 14 DX  S59D          599 15 DX
QSO:  3589 RY 2015-09-26 2112 DJ8OG         599 14 DX  SM7BHM        599 14 DX
QSO:  3589 RY 2015-09-26 2113 DJ8OG         599 14 DX  YO2LXW        599 20 DX
QSO:  3589 RY 2015-09-26 2113 DJ8OG         599 14 DX  SP9DNO        599 15 DX
QSO:  3589 RY 2015-09-26 2113 DJ8OG         599 14 DX  PA1AW         599 14 DX
QSO:  3589 RY 2015-09-26 2114 DJ8OG         599 14 DX  S50B          599 15 DX
QSO:  3589 RY 2015-09-26 2114 DJ8OG         599 14 DX  LZ9R          599 20 DX
QSO:  3589 RY 2015-09-26 2115 DJ8OG         599 14 DX  DL1RTS        599 14 DX
QSO:  3589 RY 2015-09-26 2116 DJ8OG         599 14 DX  RU1AB         599 16 DX
QSO:  3589 RY 2015-09-26 2116 DJ8OG         599 14 DX  UT8EL         599 16 DX
QSO:  7040 RY 2015-09-26 2118 DJ8OG         599 14 DX  CR3L          599 33 DX
QSO: 14110 RY 2015-09-26 2126 DJ8OG         599 14 DX  VA3DF         599 04 ON
QSO: 14110 RY 2015-09-26 2127 DJ8OG         599 14 DX  K3MJW         599 05 PA
QSO: 14110 RY 2015-09-26 2129 DJ8OG         599 14 DX  NC4MI         599 05 NC
QSO: 14110 RY 2015-09-26 2129 DJ8OG         599 14 DX  VE3JI         599 04 ON
QSO: 21104 RY 2015-09-27 0840 DJ8OG         599 14 DX  CR3L          599 33 DX
QSO: 28096 RY 2015-09-27 1201 DJ8OG         599 14 DX  EA8PT         599 33 DX
QSO: 28099 RY 2015-09-27 1202 DJ8OG         599 14 DX  PU2WDX        599 11 DX
QSO: 28098 RY 2015-09-27 1301 DJ8OG         599 14 DX  PY2UD         599 11 DX
QSO: 28091 RY 2015-09-27 1739 DJ8OG         599 14 DX  LT1H          599 13 DX
QSO: 28091 RY 2015-09-27 1739 DJ8OG         599 14 DX  P40BC         599 09 DX
QSO: 21104 RY 2015-09-27 1740 DJ8OG         599 14 DX  P40BC         599 09 DX
END-OF-LOG:
