START-OF-LOG: 3.0
CALLSIGN: PA0FAW
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 32230
NAME: fred weidema
LOCATION: DX
OPERATORS: PA0FAW
CLUB:
CERTIFICATE: NO
CREATED-BY: SD by EI5DI
SOAPBOX: Condx better than thought, not as good as last year
SOAPBOX: when I could work many with 5W, even on 40m DX but it
SOAPBOX: surprised me. Wanted to take part a short period, but
SOAPBOX: got a bit engaged in it.
QSO: 14000 RY 2015-09-26 1055 PA0FAW 599 14 DX OH2ET         599 15 DX 0
QSO: 14000 RY 2015-09-26 1058 PA0FAW 599 14 DX EU6AF         599 16 DX 0
QSO: 14000 RY 2015-09-26 1059 PA0FAW 599 14 DX UR2Y          599 16 DX 0
QSO: 14000 RY 2015-09-26 1101 PA0FAW 599 14 DX ED2C          599 14 DX 0
QSO: 14000 RY 2015-09-26 1103 PA0FAW 599 14 DX IK0CHU        599 15 DX 0
QSO: 14000 RY 2015-09-26 1202 PA0FAW 599 14 DX IS0/S50P      599 15 DX 0
QSO: 14000 RY 2015-09-26 1202 PA0FAW 599 14 DX IK0YUO        599 15 DX 0
QSO: 14000 RY 2015-09-26 1203 PA0FAW 599 14 DX OH8A          599 15 DX 0
QSO: 14000 RY 2015-09-26 1205 PA0FAW 599 14 DX LZ7A          599 20 DX 0
QSO: 21000 RY 2015-09-26 1212 PA0FAW 599 14 DX CR3A          599 33 DX 0
QSO: 21000 RY 2015-09-26 1213 PA0FAW 599 14 DX A61ZX         599 21 DX 0
QSO: 21000 RY 2015-09-26 1214 PA0FAW 599 14 DX EA8MT         599 33 DX 0
QSO: 21000 RY 2015-09-26 1215 PA0FAW 599 14 DX UA6LJB        599 16 DX 0
QSO: 21000 RY 2015-09-26 1219 PA0FAW 599 14 DX CR3L          599 33 DX 0
QSO: 21000 RY 2015-09-26 1220 PA0FAW 599 14 DX SV1JG         599 20 DX 0
QSO: 21000 RY 2015-09-26 1223 PA0FAW 599 14 DX RU6M          599 16 DX 0
QSO: 21000 RY 2015-09-26 1227 PA0FAW 599 14 DX A65EE         599 21 DX 0
QSO: 21000 RY 2015-09-26 1228 PA0FAW 599 14 DX SV1PMR        599 20 DX 0
QSO: 14000 RY 2015-09-26 1231 PA0FAW 599 14 DX LZ2JA         599 20 DX 0
QSO: 14000 RY 2015-09-26 1232 PA0FAW 599 14 DX LA1K          599 14 DX 0
QSO: 14000 RY 2015-09-26 1234 PA0FAW 599 14 DX OH5C          599 15 DX 0
QSO: 14000 RY 2015-09-26 1235 PA0FAW 599 14 DX TK5EP         599 15 DX 0
QSO: 14000 RY 2015-09-26 1238 PA0FAW 599 14 DX EA5KV         599 14 DX 0
QSO: 14000 RY 2015-09-26 1243 PA0FAW 599 14 DX UW3U          599 16 DX 0
QSO: 14000 RY 2015-09-26 1244 PA0FAW 599 14 DX IQ9UI         599 15 DX 0
QSO: 21000 RY 2015-09-26 1346 PA0FAW 599 14 DX A61DD         599 21 DX 0
QSO: 14000 RY 2015-09-26 1346 PA0FAW 599 14 DX OH1MA         599 15 DX 0
QSO: 14000 RY 2015-09-26 1347 PA0FAW 599 14 DX ES1O          599 15 DX 0
QSO: 14000 RY 2015-09-26 1351 PA0FAW 599 14 DX YT4T          599 15 DX 0
QSO: 14000 RY 2015-09-26 1352 PA0FAW 599 14 DX 4O3A          599 15 DX 0
QSO: 14000 RY 2015-09-26 1353 PA0FAW 599 14 DX YO5OHY        599 20 DX 0
QSO: 14000 RY 2015-09-26 1402 PA0FAW 599 14 DX YT9A          599 15 DX 0
