START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: XE2CQ
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CLAIMED-SCORE: 1143360
CLUB:
NAME: JOSE JAVIER CAMARENA QUIÑONES
OPERATORS: XE2CQ
SOAPBOX: PROP WAS NOT GUD @ALL ON THIS SIDE BUT HAD LOTS OF FUN!
QSO:  7000 RY  2015-09-26 0514 XE2CQ         599 06 DX  OJ0DX         599  15 DX  0
QSO:  7000 RY  2015-09-26 0551 XE2CQ         599 06 DX  IQ1RY         599  15 DX  0
QSO:  7000 RY  2015-09-26 0556 XE2CQ         599 06 DX  W4MLB         599  05 FL  0
QSO:  7000 RY  2015-09-26 0600 XE2CQ         599 06 DX  4M1F          599  09 DX  0
QSO:  7000 RY  2015-09-26 0603 XE2CQ         599 06 DX  EA5KA         599  14 DX  0
QSO:  7000 RY  2015-09-26 0604 XE2CQ         599 06 DX  WV5Y          599  04 TX  0
QSO:  7000 RY  2015-09-26 0605 XE2CQ         599 06 DX  N2WQ/VE3      599  04 ON  0
QSO:  7000 RY  2015-09-26 0607 XE2CQ         599 06 DX  XE3N          599  06 DX  0
QSO:  7000 RY  2015-09-26 0616 XE2CQ         599 06 DX  AD4Z          599  05 FL  0
QSO:  7000 RY  2015-09-26 0617 XE2CQ         599 06 DX  AB1J          599  05 MA  0
QSO: 14000 RY  2015-09-26 1339 XE2CQ         599 06 DX  OJ0DX         599  15 DX  0
QSO: 14000 RY  2015-09-26 1352 XE2CQ         599 06 DX  N7AT          599  03 AZ  0
QSO: 14000 RY  2015-09-26 1353 XE2CQ         599 06 DX  ES9C          599  15 DX  0
QSO: 14000 RY  2015-09-26 1355 XE2CQ         599 06 DX  NG7O          599  03 ID  0
QSO: 14000 RY  2015-09-26 1356 XE2CQ         599 06 DX  W9TTY         599  04 IL  0
QSO: 14000 RY  2015-09-26 1357 XE2CQ         599 06 DX  K1SFA         599  05 MA  0
QSO: 14000 RY  2015-09-26 1359 XE2CQ         599 06 DX  AD4TJ         599  05 VA  0
QSO: 14000 RY  2015-09-26 1400 XE2CQ         599 06 DX  W5JE          599  04 AR  0
QSO: 14000 RY  2015-09-26 1401 XE2CQ         599 06 DX  RV9MA         599  17 DX  0
QSO: 14000 RY  2015-09-26 1402 XE2CQ         599 06 DX  W4LC          599  04 KY  0
QSO: 14000 RY  2015-09-26 1402 XE2CQ         599 06 DX  VE3TW         599  04 ON  0
QSO: 14000 RY  2015-09-26 1403 XE2CQ         599 06 DX  UN6LN         599  17 DX  0
QSO: 14000 RY  2015-09-26 1403 XE2CQ         599 06 DX  W4CU          599  05 FL  0
QSO: 14000 RY  2015-09-26 1404 XE2CQ         599 06 DX  KC7CM         599  03 WA  0
QSO: 14000 RY  2015-09-26 1405 XE2CQ         599 06 DX  VC7X          599  03 BC  0
QSO: 14000 RY  2015-09-26 1405 XE2CQ         599 06 DX  OK2KR         599  15 DX  0
QSO: 14000 RY  2015-09-26 1407 XE2CQ         599 06 DX  W9LHG         599  04 MN  0
QSO: 14000 RY  2015-09-26 1408 XE2CQ         599 06 DX  W6QU          599  03 CA  0
QSO: 14000 RY  2015-09-26 1409 XE2CQ         599 06 DX  CR3L          599  33 DX  0
QSO: 14000 RY  2015-09-26 1410 XE2CQ         599 06 DX  EI7M          599  14 DX  0
QSO: 14000 RY  2015-09-26 1410 XE2CQ         599 06 DX  NT0F          599  04 IA  0
QSO: 14000 RY  2015-09-26 1411 XE2CQ         599 06 DX  N0NI          599  04 IA  0
QSO: 14000 RY  2015-09-26 1412 XE2CQ         599 06 DX  K3JPT         599  05 PA  0
QSO: 14000 RY  2015-09-26 1412 XE2CQ         599 06 DX  NJ2F          599  05 FL  0
QSO: 14000 RY  2015-09-26 1413 XE2CQ         599 06 DX  IV3SKB        599  15 DX  0
QSO: 14000 RY  2015-09-26 1413 XE2CQ         599 06 DX  VA6CV         599  04 AB  0
QSO: 14000 RY  2015-09-26 1414 XE2CQ         599 06 DX  W2DXE         599  05 NY  0
QSO: 14000 RY  2015-09-26 1414 XE2CQ         599 06 DX  RA6GW         599  16 DX  0
QSO: 14000 RY  2015-09-26 1415 XE2CQ         599 06 DX  WA9LEY        599  04 IL  0
QSO: 14000 RY  2015-09-26 1415 XE2CQ         599 06 DX  NS9I          599  04 WI  0
