START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.17.0
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: DL1HBT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 128544
OPERATORS:  
CLUB: Rhein Ruhr DX ASSOCIATION
NAME: Thomas Milde
SOAPBOX: Wow...amazing what 50 watts from my Yaesu FT-950 to a Gap Titan DX
SOAPBOX: vertical are capable of when condx are at least moderate. Great fun!
SOAPBOX: Thanks to all who made it into my log... vy 73/55, Tom
CATEGORY-OVERLAY: 
QSO: 28090 RY 2015-09-26 1050 DL1HBT        599 14 DX  7Z1SJ         599 21 DX  0
QSO: 21000 RY 2015-09-26 1057 DL1HBT        599 14 DX  SV5/HA3JB     599 20 DX  0
QSO: 21096 RY 2015-09-26 1058 DL1HBT        599 14 DX  CR3A          599 33 DX  0
QSO: 21096 RY 2015-09-26 1100 DL1HBT        599 14 DX  A65EE         599 21 DX  0
QSO: 21090 RY 2015-09-26 1105 DL1HBT        599 14 DX  IK2JUB        599 15 DX  0
QSO: 21089 RY 2015-09-26 1115 DL1HBT        599 14 DX  R0QA          599 19 DX  0
QSO: 21081 RY 2015-09-26 1118 DL1HBT        599 14 DX  EC7ZK         599 14 DX  0
QSO: 28083 RY 2015-09-26 1120 DL1HBT        599 14 DX  CR3L          599 33 DX  0
QSO: 21129 RY 2015-09-26 1123 DL1HBT        599 14 DX  R9XT          599 17 DX  0
QSO: 21125 RY 2015-09-26 1124 DL1HBT        599 14 DX  JR4OZR        599 25 DX  0
QSO: 21114 RY 2015-09-26 1127 DL1HBT        599 14 DX  PJ6A          599 08 DX  0
QSO: 21095 RY 2015-09-26 1133 DL1HBT        599 14 DX  FG5LA         599 08 DX  0
QSO: 21126 RY 2015-09-26 1146 DL1HBT        599 14 DX  LT1F          599 13 DX  0
QSO: 21120 RY 2015-09-26 1214 DL1HBT        599 14 DX  P40BC         599 09 DX  0
QSO: 21118 RY 2015-09-26 1215 DL1HBT        599 14 DX  CO8LY         599 08 DX  0
