START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: VK3FM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CREATED-BY: MixW 3.1.1
NAME: Ernie Walls
SOAPBOX: As always, lots of signals on 20 and 40, even far downunder.
QSO: 21086 RY 2015-09-26 0202 VK3FM         599 30 DX   K3EST         599 03 CA
QSO: 21095 RY 2015-09-26 0204 VK3FM         599 30 DX   ZL3JT          599 32  DX
QSO: 14080 RY 2015-09-26 0528 VK3FM         599 30 DX   UR3GU         599 16   DX
QSO: 14082 RY 2015-09-26 0529 VK3FM         599 30 DX   UW1M          599 16   DX
QSO: 14082 RY 2015-09-26 0530 VK3FM         599 30 DX   RK4FF         599 16   DX
QSO: 14085 RY 2015-09-26 0531 VK3FM         599 30 DX   YL2CI          599 15  DX
QSO: 14088 RY 2015-09-26 0534 VK3FM         599 30 DX   OG7O          599 15   DX
QSO: 14089 RY 2015-09-26 0535 VK3FM         599 30 DX   EU6AF         599 16   DX
QSO: 14089 RY 2015-09-26 0535 VK3FM         599 30 DX   UB7K          599 16   DX
QSO: 14091 RY 2015-09-26 0537 VK3FM         599 30 DX   OH3FM        599 15    DX
QSO: 14094 RY 2015-09-26 0540 VK3FM         599 30 DX   LX7I            599 14 DX
QSO: 14095 RY 2015-09-26 0541 VK3FM         599 30 DX   S51CK         599 15   DX
QSO: 14096 RY 2015-09-26 0543 VK3FM         599 30 DX   RU5TT         599 16   DX
QSO: 14097 RY 2015-09-26 0544 VK3FM         599 30 DX   HK1T           599 09  DX
QSO: 14097 RY 2015-09-26 0545 VK3FM         599 30 DX   SO4M          599 15   DX
QSO: 14104 RY 2015-09-26 0546 VK3FM         599 30 DX   LY8O           599 15  DX
QSO: 14105 RY 2015-09-26 0551 VK3FM         599 30 DX   OL9A           599 15  DX
QSO: 14106 RY 2015-09-26 0608 VK3FM         599 30 DX   HB0A           599 14  DX
QSO: 14107 RY 2015-09-26 0611 VK3FM         599 30 DX   HG1S           599 15  DX
QSO: 14118 RY 2015-09-26 0613 VK3FM         599 30 DX   IT9STX        599 15   DX
QSO: 14119 RY 2015-09-26 0615 VK3FM         599 30 DX   SK7K           599 14  DX
QSO: 14078 RY 2015-09-26 0621 VK3FM         599 30 DX   R3BB           599 16  DX
QSO: 14079 RY 2015-09-26 0625 VK3FM         599 30 DX   UW3U           599 16  DX
QSO: 14079 RY 2015-09-26 0626 VK3FM         599 30 DX   S51TA          599 15   DX
QSO: 14081 RY 2015-09-26 0628 VK3FM         599 30 DX   RM3DA         599 16    DX
QSO: 14082 RY 2015-09-26 0630 VK3FM         599 30 DX   UR2Y            599 16  DX
QSO: 14083 RY 2015-09-26 0634 VK3FM         599 30 DX   OU4O           599 14   DX
QSO: 14087 RY 2015-09-26 0639 VK3FM         599 30 DX   9A1A            599 15  DX
QSO: 14088 RY 2015-09-26 0640 VK3FM         599 30 DX   IQ9UI            599 15 DX
QSO: 14116 RY 2015-09-26 0642 VK3FM         599 30 DX   GW0A           599 14   DX
QSO: 14091 RY 2015-09-26 0649 VK3FM         599 30 DX   R3PV            599 16  DX
QSO: 14092 RY 2015-09-26 0651 VK3FM         599 30 DX   F4DXW          599 14   DX
QSO: 14095 RY 2015-09-26 0652 VK3FM         599 30 DX   PA3EVY        599 14    DX
QSO: 14095 RY 2015-09-26 0725 VK3FM         599 30 DX   PA7LV          599 14   DX
QSO: 14096 RY 2015-09-26 0728 VK3FM         599 30 DX   GM3W           599 14   DX
QSO: 14098 RY 2015-09-26 0731 VK3FM         599 30 DX   YL9T             599 15 DX
QSO: 14098 RY 2015-09-26 0732 VK3FM         599 30 DX   OH7MN         599 15    DX
QSO: 14099 RY 2015-09-26 0734 VK3FM         599 30 DX   IK7CMY         599 15   DX
QSO: 14111 RY 2015-09-26 0738 VK3FM         599 30 DX   EA1WS         599 14    DX
QSO: 14113 RY 2015-09-26 0740 VK3FM         599 30 DX   IZ0PAU         599 15   DX
QSO: 14124 RY 2015-09-26 0741 VK3FM         599 30 DX   6Y4K             599 08 DX
QSO: 14123 RY 2015-09-26 0743 VK3FM         599 30 DX   OH3EX          599 15   DX
QSO: 14120 RY 2015-09-26 0746 VK3FM         599 30 DX   DH8WR          599 14   DX
QSO: 14110 RY 2015-09-26 0749 VK3FM         599 30 DX   HB9ODP        599 14    DX
QSO: 14094 RY 2015-09-26 1106 VK3FM         599 30 DX   E2X              599 26 DX
QSO: 14117 RY 2015-09-26 1108 VK3FM         599 30 DX   OG30OJ        599 15    DX
QSO: 14081 RY 2015-09-26 1112 VK3FM         599 30 DX   YB9WZJ         599 28    DX
QSO:  7032 RY 2015-09-26 1120 VK3FM         599 30  DX   VE7CC         599 03 BC
QSO:  7039 RY 2015-09-26 1122 VK3FM         599 30  DX   YB9WZJ        599 28    DX
QSO:  7042 RY 2015-09-26 1125 VK3FM         599 30  DX   JA1OVD        599 25    DX
QSO:  7047 RY 2015-09-26 1129 VK3FM         599 30  DX   JG1VGX        599 25    DX
QSO:  7057 RY 2015-09-26 1134 VK3FM         599 30  DX   VK2DX         599 30 DX
QSO:  7050 RY 2015-09-26 1138 VK3FM         599 30  DX   VK4UC         599 30 DX
QSO:  7049 RY 2015-09-26 1139 VK3FM         599 30  DX   ZL3X          599 32 DX
QSO:  7041 RY 2015-09-26 1211 VK3FM         599 30  DX   KB8O          599 04 OH
QSO:  7048 RY 2015-09-26 1220 VK3FM         599 30  DX   K7BTW         599 03 WA
QSO:  7041 RY 2015-09-26 1231 VK3FM         599 30  DX   JG1VGX        599 25 DX
QSO:  7038 RY 2015-09-26 1233 VK3FM         599 30  DX   E51AAR        599 32 DX
QSO:  7040 RY 2015-09-26 1307 VK3FM         599 30  DX   K3EST         599 03 CA
QSO: 21086 RY 2015-09-27 0017 VK3FM         599 30  DX  YC9RZ          599 28 DX
QSO: 14098 RY 2015-09-27 0025 VK3FM         599 30  DX  K9CT           599 04 IL
QSO: 21084 RY 2015-09-27 0206 VK3FM         599 30  DX  ZM2B           599 32 DX
QSO: 21100 RY 2015-09-27 0207 VK3FM         599 30  DX  ZL3X           599 32 DX
QSO: 21089 RY 2015-09-27 0222 VK3FM         599 30  DX  KH6ZM          599 31 DX
QSO: 21098 RY 2015-09-27 0228 VK3FM         599 30  DX  YB9WZJ         599 28 DX
QSO: 14080 RY 2015-09-27 0454 VK3FM         599 30  DX  W7RY           599 03 WA
QSO: 14086 RY 2015-09-27 0502 VK3FM         599 30  DX  LZ2JA          599 20 DX
QSO: 14086 RY 2015-09-27 0504 VK3FM         599 30  DX  9A5Y           599 15 DX
QSO: 14089 RY 2015-09-27 0506 VK3FM         599 30  DX  KH6J           599 31 DX
QSO: 14092 RY 2015-09-27 0507 VK3FM         599 30  DX  LZ7A           599 20 DX
QSO: 14092 RY 2015-09-27 0507 VK3FM         599 30  DX  SV1JG          599 20 DX
QSO: 14094 RY 2015-09-27 0510 VK3FM         599 30  DX  RU3FM          599 16 DX
