START-OF-LOG: 3.0
CALLSIGN: DD0VS
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 77760
NAME: Harald Fritzsche
LOCATION: DX
OPERATORS: DD0VS
CLUB: BAVARIAN CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: UcxLog 7.52
SOAPBOX: My best result ever, many tnx vy 73 de DD0VS Harald
QSO:  7042 RY 2015-09-26 0212 DD0VS         599 14 DX  UW1M          599 16 DX
QSO:  7042 RY 2015-09-26 0214 DD0VS         599 14 DX  US1Q          599 16 DX
QSO:  7038 RY 2015-09-26 0221 DD0VS         599 14 DX  UR3GU         599 16 DX
QSO:  7034 RY 2015-09-26 0234 DD0VS         599 14 DX  UR3CMA        599 16 DX
QSO:  7039 RY 2015-09-26 0252 DD0VS         599 14 DX  LZ5K          599 20 DX
QSO:  7042 RY 2015-09-26 0256 DD0VS         599 14 DX  N2KI          599 05 NY
QSO:  7043 RY 2015-09-26 0257 DD0VS         599 14 DX  RK3PWR        599 16 DX
QSO:  7045 RY 2015-09-26 0302 DD0VS         599 14 DX  NR4M          599 05 VA
QSO:  7048 RY 2015-09-26 0303 DD0VS         599 14 DX  ED2C          599 14 DX
QSO:  7052 RY 2015-09-26 0305 DD0VS         599 14 DX  YO3VU         599 20 DX
QSO:  7051 RY 2015-09-26 0305 DD0VS         599 14 DX  YO4DW         599 20 DX
QSO:  7054 RY 2015-09-26 0307 DD0VS         599 14 DX  VA2UP         599 05 QC
QSO:  7055 RY 2015-09-26 0314 DD0VS         599 14 DX  EA1AKS        599 14 DX
QSO:  7056 RY 2015-09-26 0316 DD0VS         599 14 DX  RW6CR         599 16 DX
QSO:  7058 RY 2015-09-26 0319 DD0VS         599 14 DX  RM3DA         599 16 DX
QSO:  7059 RY 2015-09-26 0320 DD0VS         599 14 DX  UW3U          599 16 DX
QSO:  7063 RY 2015-09-26 0327 DD0VS         599 14 DX  UB7K          599 16 DX
QSO:  7066 RY 2015-09-26 0328 DD0VS         599 14 DX  ED1A          599 14 DX
QSO:  7071 RY 2015-09-26 0333 DD0VS         599 14 DX  LZ7A          599 20 DX
QSO:  7074 RY 2015-09-26 0338 DD0VS         599 14 DX  ER4A          599 16 DX
QSO:  7080 RY 2015-09-26 0344 DD0VS         599 14 DX  K9CT          599 04 IL
QSO:  3572 RY 2015-09-26 0349 DD0VS         599 14 DX  EI7M          599 14 DX
QSO:  3573 RY 2015-09-26 0351 DD0VS         599 14 DX  SM6UQL        599 14 DX
QSO:  3581 RY 2015-09-26 0354 DD0VS         599 14 DX  OK2SFP        599 15 DX
QSO:  3584 RY 2015-09-26 0358 DD0VS         599 14 DX  S50R          599 15 DX
QSO:  3583 RY 2015-09-26 0400 DD0VS         599 14 DX  IT9DSZ        599 15 DX
QSO:  3584 RY 2015-09-26 0401 DD0VS         599 14 DX  DJ3NG         599 14 DX
QSO:  7035 RY 2015-09-26 0751 DD0VS         599 14 DX  DL0HMK        599 14 DX
QSO:  7040 RY 2015-09-26 0756 DD0VS         599 14 DX  IK2TDM        599 15 DX
QSO:  7041 RY 2015-09-26 0757 DD0VS         599 14 DX  9A1A          599 15 DX
QSO:  7042 RY 2015-09-26 0759 DD0VS         599 14 DX  DJ6TB         599 14 DX
QSO:  7042 RY 2015-09-26 0801 DD0VS         599 14 DX  IW2MZX        599 15 DX
QSO:  7043 RY 2015-09-26 0802 DD0VS         599 14 DX  LB8IB         599 14 DX
QSO:  7043 RY 2015-09-26 0830 DD0VS         599 14 DX  DC3RJ         599 14 DX
QSO:  7045 RY 2015-09-26 0831 DD0VS         599 14 DX  DF2TT         599 14 DX
QSO:  7047 RY 2015-09-26 0831 DD0VS         599 14 DX  PI4COM        599 14 DX
QSO:  7046 RY 2015-09-26 0833 DD0VS         599 14 DX  PA3DBS        599 14 DX
QSO:  7047 RY 2015-09-26 0834 DD0VS         599 14 DX  DF6QV         599 14 DX
QSO:  7049 RY 2015-09-26 0834 DD0VS         599 14 DX  IQ5PO         599 15 DX
QSO:  7048 RY 2015-09-26 0835 DD0VS         599 14 DX  PG5V          599 14 DX
QSO:  7050 RY 2015-09-26 0836 DD0VS         599 14 DX  I3PXN         599 15 DX
QSO:  7050 RY 2015-09-26 0837 DD0VS         599 14 DX  TM0T          599 14 DX
QSO:  7052 RY 2015-09-26 0839 DD0VS         599 14 DX  HG1G          599 15 DX
QSO:  7052 RY 2015-09-26 0840 DD0VS         599 14 DX  LY5W          599 15 DX
QSO:  7053 RY 2015-09-26 0841 DD0VS         599 14 DX  IS0DCR        599 15 DX
QSO:  7053 RY 2015-09-26 0842 DD0VS         599 14 DX  DL4MCF        599 14 DX
QSO:  7054 RY 2015-09-26 0843 DD0VS         599 14 DX  DJ6JH         599 14 DX
QSO:  7041 RY 2015-09-26 0844 DD0VS         599 14 DX  9A2TN         599 15 DX
QSO:  7042 RY 2015-09-26 0845 DD0VS         599 14 DX  IQ2CU         599 15 DX
QSO:  7044 RY 2015-09-26 0846 DD0VS         599 14 DX  TM51SP        599 14 DX
QSO: 14081 RY 2015-09-26 0853 DD0VS         599 14 DX  GM3W          599 14 DX
QSO: 14083 RY 2015-09-26 0854 DD0VS         599 14 DX  ER4A          599 16 DX
QSO: 14084 RY 2015-09-26 1001 DD0VS         599 14 DX  ES1O          599 15 DX
QSO: 14086 RY 2015-09-26 1006 DD0VS         599 14 DX  F4GGQ         599 14 DX
QSO: 14088 RY 2015-09-26 1009 DD0VS         599 14 DX  LZ7A          599 20 DX
QSO: 14086 RY 2015-09-26 1011 DD0VS         599 14 DX  ES9C          599 15 DX
QSO: 14088 RY 2015-09-26 1013 DD0VS         599 14 DX  IQ9UI         599 15 DX
QSO: 14090 RY 2015-09-26 1016 DD0VS         599 14 DX  LZ1JZ         599 20 DX
QSO: 14093 RY 2015-09-26 1018 DD0VS         599 14 DX  ED2C          599 14 DX
QSO: 14092 RY 2015-09-26 1018 DD0VS         599 14 DX  F4DXW         599 14 DX
QSO: 14092 RY 2015-09-26 1021 DD0VS         599 14 DX  RA3Y          599 16 DX
QSO: 14092 RY 2015-09-26 1022 DD0VS         599 14 DX  SV1GYG        599 20 DX
QSO: 14094 RY 2015-09-26 1023 DD0VS         599 14 DX  US5LPO        599 16 DX
QSO: 14095 RY 2015-09-26 1024 DD0VS         599 14 DX  R3PV          599 16 DX
QSO: 14096 RY 2015-09-26 1026 DD0VS         599 14 DX  RK3DXW        599 16 DX
QSO: 14098 RY 2015-09-26 1028 DD0VS         599 14 DX  UR3GU         599 16 DX
QSO: 14100 RY 2015-09-26 1034 DD0VS         599 14 DX  W4AAA         599 05 NC
QSO: 14103 RY 2015-09-26 1035 DD0VS         599 14 DX  GM3C          599 14 DX
QSO: 14103 RY 2015-09-26 1036 DD0VS         599 14 DX  CR3L          599 33 DX
QSO: 14101 RY 2015-09-26 1038 DD0VS         599 14 DX  EI7KD         599 14 DX
QSO: 14108 RY 2015-09-26 1041 DD0VS         599 14 DX  RT4W          599 16 DX
QSO: 14112 RY 2015-09-26 1042 DD0VS         599 14 DX  RA3E          599 16 DX
QSO: 14113 RY 2015-09-26 1053 DD0VS         599 14 DX  UN6LN         599 17 DX
QSO: 14115 RY 2015-09-26 1057 DD0VS         599 14 DX  SZ1A          599 20 DX
QSO: 14118 RY 2015-09-26 1059 DD0VS         599 14 DX  OG30OJ        599 15 DX
QSO: 14118 RY 2015-09-26 1107 DD0VS         599 14 DX  OH3EX         599 15 DX
QSO: 14118 RY 2015-09-26 1109 DD0VS         599 14 DX  IT9STX        599 15 DX
QSO: 14120 RY 2015-09-26 1111 DD0VS         599 14 DX  EI6JK         599 14 DX
QSO: 14122 RY 2015-09-26 1114 DD0VS         599 14 DX  UB7K          599 16 DX
QSO: 14125 RY 2015-09-26 1115 DD0VS         599 14 DX  UT1US         599 16 DX
QSO: 14126 RY 2015-09-26 1117 DD0VS         599 14 DX  KI1G          599 5 RI
