START-OF-LOG: 3.0
CALLSIGN: YB0UNC
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 4600
NAME: Nuradi
LOCATION: DX
OPERATORS: YB0UNC
CLUB: ORARI
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5232.0
SOAPBOX: this time use only two rotary dipole,,,80/20M band and 40M band...
QSO: 14082 RY 2015-09-26 0801 YB0UNC        599 28 DX  S51TA         599 15 DX
QSO: 14092 RY 2015-09-26 0917 YB0UNC        599 28 DX  DX3R          599 27 DX
QSO: 14094 RY 2015-09-26 0921 YB0UNC        599 28 DX  KH6J          599 31 DX
QSO: 14092 RY 2015-09-26 0941 YB0UNC        599 28 DX  YB9WZJ        599 28 DX
QSO: 14083 RY 2015-09-26 0949 YB0UNC        599 28 DX  DU1JM         599 27 DX
QSO: 14086 RY 2015-09-26 1001 YB0UNC        599 28 DX  JJ1KXB        599 25 DX
QSO: 14083 RY 2015-09-26 1021 YB0UNC        599 28 DX  VK4BL         599 30 DX
QSO: 14083 RY 2015-09-26 1022 YB0UNC        599 28 DX  YB8ROP        599 28 DX
QSO: 14083 RY 2015-09-26 1024 YB0UNC        599 28 DX  JF6RIM        599 25 DX
QSO:  7082 RY 2015-09-26 1030 YB0UNC        599 28 DX  KH6J          599 31 DX
QSO:  7073 RY 2015-09-26 1034 YB0UNC        599 28 DX  VK4UC         599 30 DX
QSO:  7071 RY 2015-09-26 1911 YB0UNC        599 28 DX  PI4DX         599 14 DX
QSO:  7067 RY 2015-09-26 1915 YB0UNC        599 28 DX  DL9NDV        599 14 DX
QSO:  7063 RY 2015-09-26 1918 YB0UNC        599 28 DX  JR4OZR        599 25 DX
QSO:  7062 RY 2015-09-26 1922 YB0UNC        599 28 DX  YL5T          599 15 DX
QSO:  7061 RY 2015-09-26 1925 YB0UNC        599 28 DX  US1Q          599 16 DX
QSO:  7061 RY 2015-09-26 1927 YB0UNC        599 28 DX  S51A          599 15 DX
QSO:  7060 RY 2015-09-26 1930 YB0UNC        599 28 DX  IQ9UI         599 15 DX
QSO:  7058 RY 2015-09-26 1936 YB0UNC        599 28 DX  4O3A          599 15 DX
QSO:  7053 RY 2015-09-26 1951 YB0UNC        599 28 DX  DF9ZP         599 14 DX
QSO:  7053 RY 2015-09-26 1953 YB0UNC        599 28 DX  SZ1A          599 20 DX
QSO:  7051 RY 2015-09-26 1956 YB0UNC        599 28 DX  SP2YWL        599 15 DX
QSO:  7050 RY 2015-09-26 1957 YB0UNC        599 28 DX  RA0FF         599 19 DX
QSO:  7049 RY 2015-09-26 2000 YB0UNC        599 28 DX  DL4MCF        599 14 DX
QSO:  7047 RY 2015-09-26 2004 YB0UNC        599 28 DX  9A1A          599 15 DX
QSO:  7046 RY 2015-09-26 2006 YB0UNC        599 28 DX  IQ1RY         599 15 DX
QSO:  7045 RY 2015-09-26 2008 YB0UNC        599 28 DX  LZ1JZ         599 20 DX
QSO:  7040 RY 2015-09-26 2012 YB0UNC        599 28 DX  9A5M          599 15 DX
QSO:  7038 RY 2015-09-26 2020 YB0UNC        599 28 DX  T88ON         599 27 DX
QSO:  7032 RY 2015-09-26 2025 YB0UNC        599 28 DX  ER4A          599 16 DX
QSO:  7038 RY 2015-09-26 2032 YB0UNC        599 28 DX  LY2SA         599 15 DX
QSO:  7038 RY 2015-09-26 2033 YB0UNC        599 28 DX  YU3AAA        599 15 DX
QSO:  7039 RY 2015-09-26 2035 YB0UNC        599 28 DX  EA7AZA        599 14 DX
QSO:  7060 RY 2015-09-26 2100 YB0UNC        599 28 DX  UB7K          599 16 DX
QSO:  7061 RY 2015-09-26 2101 YB0UNC        599 28 DX  IV3SKB        599 15 DX
QSO: 14084 RY 2015-09-27 0432 YB0UNC        599 28 DX  BH4TXN        599 24 DX
QSO: 14080 RY 2015-09-27 1528 YB0UNC        599 28 DX  OH2PM         599 15 DX
END-OF-LOG:
