START-OF-LOG: 3.0
CATEGORY: High power
CONTEST: AC
SPECIFIC: C26
CREATED-BY: DXLog.net v2.5.24, modified by DXHF upload.
CALLSIGN: DJ4MX
GRID-LOCATOR: JN58TH
CLAIMED-SCORE: 200
CLUB: Bavarian Contest Club
QSO:  7160 PH  2021-10-16 1408 DJ4MX         59  C26  DN2ZR         59    F12 0
QSO:  7157 PH  2021-10-16 1410 DJ4MX         59  C26  DF1AN         59    V11 0
QSO:  7157 PH  2021-10-16 1410 DJ4MX         59  C26  DK5KN         59    G09 0
QSO:  7157 PH  2021-10-16 1411 DJ4MX         59  C26  DC1KS         59    T01 0
QSO:  7157 PH  2021-10-16 1411 DJ4MX         59  C26  DG6CAU        59    T21 0
QSO:  7157 PH  2021-10-16 1412 DJ4MX         59  C26  DK2WI         59    F25 0
QSO:  7157 PH  2021-10-16 1412 DJ4MX         59  C26  DH4FAN        59    F27 0
QSO:  7157 PH  2021-10-16 1413 DJ4MX         59  C26  DG1OJ         59    H05 0
QSO:  7157 PH  2021-10-16 1413 DJ4MX         59  C26  DL2RH         59    N40 0
QSO:  7157 PH  2021-10-16 1413 DJ4MX         59  C26  DJ1AA         59    H27 0
QSO:  7157 PH  2021-10-16 1414 DJ4MX         59  C26  DG9FFM        59    A23 0
QSO:  7157 PH  2021-10-16 1414 DJ4MX         59  C26  DF7WL         59    Z11 0
QSO:  7157 PH  2021-10-16 1415 DJ4MX         59  C26  DJ4PY         59    B40 0
QSO:  7157 PH  2021-10-16 1415 DJ4MX         59  C26  DL2MAJ        59    C28 0
QSO:  7157 PH  2021-10-16 1415 DJ4MX         59  C26  DG7DBR        59    O01 0
QSO:  7157 PH  2021-10-16 1416 DJ4MX         59  C26  DB1AI         59    H48 0
QSO:  7157 PH  2021-10-16 1416 DJ4MX         59  C26  DL1YCF        59    K16 0
QSO:  7157 PH  2021-10-16 1416 DJ4MX         59  C26  DF7NS         59    B02 0
QSO:  7157 PH  2021-10-16 1416 DJ4MX         59  C26  DL0FTP        59   VHV21 0
QSO:  7157 PH  2021-10-16 1416 DJ4MX         59  C26  DL2MHM        59    K19 0
QSO:  7157 PH  2021-10-16 1417 DJ4MX         59  C26  DL1MBG        59    C15 0
QSO:  7157 PH  2021-10-16 1417 DJ4MX         59  C26  DL7AXS        59    D06 0
QSO:  7157 PH  2021-10-16 1418 DJ4MX         59  C26  PA1MV         59    000 0
QSO:  7157 PH  2021-10-16 1418 DJ4MX         59  C26  DL9YJ         59    F16 0
QSO:  7157 PH  2021-10-16 1418 DJ4MX         59  C26  DL1TV         59    Y34 0
QSO:  7157 PH  2021-10-16 1418 DJ4MX         59  C26  RA9V          59      1 0
QSO:  7157 PH  2021-10-16 1419 DJ4MX         59  C26  DP44WCA       59   44WCA 0
QSO:  7157 PH  2021-10-16 1419 DJ4MX         59  C26  DK2FL         59    R27 0
QSO:  7157 PH  2021-10-16 1419 DJ4MX         59  C26  DF8LY         59    F16 0
QSO:  7157 PH  2021-10-16 1420 DJ4MX         59  C26  DN5HI         59    F36 0
QSO:  7157 PH  2021-10-16 1420 DJ4MX         59  C26  DH1NAX        59    B23 0
QSO:  7157 PH  2021-10-16 1420 DJ4MX         59  C26  DG4O          59    G40 0
QSO:  7157 PH  2021-10-16 1421 DJ4MX         59  C26  DC3WX         59    000 0
QSO:  7157 PH  2021-10-16 1421 DJ4MX         59  C26  DL4YAY        59    N13 0
QSO:  7157 PH  2021-10-16 1421 DJ4MX         59  C26  DL1WL         59    I18 0
QSO:  7157 PH  2021-10-16 1422 DJ4MX         59  C26  DK7VK         59    V19 0
QSO:  7157 PH  2021-10-16 1422 DJ4MX         59  C26  DL3ABY        59    E13 0
QSO:  7157 PH  2021-10-16 1423 DJ4MX         59  C26  HB9CNY        59     18 0
QSO:  7157 PH  2021-10-16 1424 DJ4MX         59  C26  DL6MHC        59    A22 0
QSO:  7157 PH  2021-10-16 1427 DJ4MX         59  C26  DN5LOT        59    P07 0
QSO:  7157 PH  2021-10-16 1427 DJ4MX         59  C26  DF7XR         59    N30 0
QSO:  7157 PH  2021-10-16 1428 DJ4MX         59  C26  DL6PP         59    P04 0
END-OF-LOG:
