START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: DF6PK
OPERATORS: DF6PK
CATEGORY: B02
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: LOW
CLAIMED-SCORE: 4379
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2023.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2023-12-16&ID=DF6PK
SOAPBOX: Source category label: B02 - Single Operator, All Bands, Mixed, Low Power.
SOAPBOX: Published QSO count: 85.
QSO: 14203 PH 2023-12-17 1307 DF6PK         59  0060 28    9A7DX         59  0000 DA   
QSO: 14014 CW 2023-12-17 1314 DF6PK         599 0061 28    OZ1AAR        599 0000 18   
QSO: 14015 CW 2023-12-17 1315 DF6PK         599 0062 28    9A3YT         599 0000 RI   
QSO: 14016 CW 2023-12-17 1316 DF6PK         599 0063 28    RW7F          599 0000 29   
QSO: 14016 CW 2023-12-17 1317 DF6PK         599 0064 28    UR7R          599 0000 29   
QSO: 14018 CW 2023-12-17 1318 DF6PK         599 0065 28    F5OHM         599 0000 27   
QSO: 14019 CW 2023-12-17 1322 DF6PK         599 0066 28    OF9X          599 0000 18   
QSO: 14022 CW 2023-12-17 1324 DF6PK         599 0067 28    E74A          599 0000 28   
QSO: 14023 CW 2023-12-17 1325 DF6PK         599 0068 28    P3X           599 0000 39   
QSO: 14025 CW 2023-12-17 1326 DF6PK         599 0069 28    RA3BX         599 0000 29   
QSO: 14026 CW 2023-12-17 1328 DF6PK         599 0070 28    HA2VH         599 0000 28   
QSO: 14031 CW 2023-12-17 1333 DF6PK         599 0071 28    G4BUO         599 0000 27   
QSO: 14043 CW 2023-12-17 1335 DF6PK         599 0072 28    YT2ISM        599 0000 28   
QSO: 21024 CW 2023-12-17 1339 DF6PK         599 0073 28    K1RM          599 0000 08   
QSO: 21005 CW 2023-12-17 1342 DF6PK         599 0074 28    YO9SP         599 0000 28   
