START-OF-LOG: 2.0
CREATED-BY: Win-Test 4.31.0
CONTEST: EA-MAJESTAD-CW
URE-SECTION: DX
CALLSIGN: DK3YD
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 63778
CLUB: Bavarian Contest Club
NAME: Hans Gall
SOAPBOX: Gracias a todos por organisar este concurso; 73, Hans, DK3YD
QSO: 28009 CW 2021-05-15 1253 DK3YD         599 001    EA1DAV        599 C     
QSO: 21021 CW 2021-05-15 1256 DK3YD         599 002    EF5U          599 A     
QSO: 21023 CW 2021-05-15 1256 DK3YD         599 003    EU8U          599 056   
QSO: 21027 CW 2021-05-15 1257 DK3YD         599 004    EA8DHV        599 TF    
QSO: 21035 CW 2021-05-15 1258 DK3YD         599 005    LZ1ND         599 049   
QSO: 21039 CW 2021-05-15 1259 DK3YD         599 006    R3LC          599 027   
QSO: 14033 CW 2021-05-15 1300 DK3YD         599 007    MM9I          599 090   
QSO: 14039 CW 2021-05-15 1302 DK3YD         599 008    EF0F          599 SMR   
QSO: 14043 CW 2021-05-15 1304 DK3YD         599 009    SV9RNG        599 044   
QSO: 14053 CW 2021-05-15 1305 DK3YD         599 010    EA2BNU        599 SS    
QSO: 14009 CW 2021-05-15 1306 DK3YD         599 011    LZ6E          599 140   
QSO: 14018 CW 2021-05-15 1308 DK3YD         599 012    SM6VWG        599 001   
QSO: 14018 CW 2021-05-15 1310 DK3YD         599 013    ED7N          599 CO    
QSO: 14022 CW 2021-05-15 1311 DK3YD         599 014    Z35F          599 113   
QSO: 14025 CW 2021-05-15 1311 DK3YD         599 015    SN5N          599 077   
QSO: 14026 CW 2021-05-15 1312 DK3YD         599 016    EO50FF        599 121   
QSO:  7011 CW 2021-05-15 1314 DK3YD         599 017    HA8TP         599 033   
QSO:  7019 CW 2021-05-15 1314 DK3YD         599 018    EB5A          599 A     
QSO:  7023 CW 2021-05-15 1316 DK3YD         599 019    YU1UO         599 028   
QSO: 21021 CW 2021-05-15 1318 DK3YD         599 020    WO4O          599 058   
QSO: 21027 CW 2021-05-15 1319 DK3YD         599 021    EA1IQ         599 PO    
QSO: 21035 CW 2021-05-15 1321 DK3YD         599 022    EA2J          599 SS    
QSO: 21013 CW 2021-05-15 1323 DK3YD         599 023    EA2T          599 VI    
QSO: 14006 CW 2021-05-15 1325 DK3YD         599 024    IT9RZU        599 130   
QSO: 14010 CW 2021-05-15 1326 DK3YD         599 025    AA3B          599 126   
QSO: 14011 CW 2021-05-15 1327 DK3YD         599 026    M0BEW         599 159   
QSO: 14012 CW 2021-05-15 1327 DK3YD         599 027    LZ3R          599 149   
QSO: 14014 CW 2021-05-15 1328 DK3YD         599 028    YQ6A          599 112   
QSO: 14016 CW 2021-05-15 1328 DK3YD         599 029    K1JB          599 041   
QSO: 14018 CW 2021-05-15 1329 DK3YD         599 030    GM0WED        599 042   
QSO: 14019 CW 2021-05-15 1330 DK3YD         599 031    EF1A          599 C     
QSO: 14028 CW 2021-05-15 1331 DK3YD         599 032    F5IN          599 216   
