START-OF-LOG: 3.0

LOCATION: UR
CONTEST: EA-MAJESTAD-CW
CALLSIGN: UT8AQ
GRID-LOCATOR: 
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 2924
OPERATORS: 
OFFTIME: 
CLUB: UCWC
NAME: EGOR  KOWALTCHUK
CREATED-BY: 5MContest ver.8.0.2
SOAPBOX: TRX - Homemade + PA 100W, Ant - W3DZZ
QSO: 14020 CW 2021-05-15 1215 UT8AQ         599 001     EA7A          599 SE      
QSO: 14020 CW 2021-05-15 1220 UT8AQ         599 002     EA1WH         599 S       
QSO: 14020 CW 2021-05-15 1241 UT8AQ         599 003     EF1A          599 C       
QSO: 14020 CW 2021-05-15 1301 UT8AQ         599 004     EA1DAV        599 C       
QSO: 14020 CW 2021-05-15 1309 UT8AQ         599 005     N4BP          599 089     
QSO: 14020 CW 2021-05-15 1312 UT8AQ         599 006     EA4IE         599 TO      
QSO: 14020 CW 2021-05-15 1323 UT8AQ         599 007     EA7Q          599 H       
QSO: 14020 CW 2021-05-15 1332 UT8AQ         599 008     EB7KA         599 AL      
QSO: 14020 CW 2021-05-15 1347 UT8AQ         599 009     EA1MX         599 SH     
QSO: 14020 CW 2021-05-15 1356 UT8AQ         599 010     EF0F          599 SMR     
QSO: 14020 CW 2021-05-15 1403 UT8AQ         599 011     JA6GCE        599 119     
QSO: 14020 CW 2021-05-15 1418 UT8AQ         599 012     F/DF3FS       599 024     
QSO: 14020 CW 2021-05-15 1436 UT8AQ         599 013     UT8AS         599 030     
QSO: 14020 CW 2021-05-15 1439 UT8AQ         599 014     JH4UTP        599 042     
QSO: 14020 CW 2021-05-15 1547 UT8AQ         599 015     E29TGW        599 068     
QSO: 14020 CW 2021-05-15 1559 UT8AQ         599 016     EA5DD         599 A       
QSO: 14020 CW 2021-05-15 1611 UT8AQ         599 017     EA4GOY        599 TO      
QSO: 14020 CW 2021-05-15 1614 UT8AQ         599 018     E25KAE        599 106     
QSO: 14020 CW 2021-05-15 1629 UT8AQ         599 019     EC4C          599 BA      
QSO: 14020 CW 2021-05-15 1642 UT8AQ         599 020     EF1C          599 LO      
QSO: 14020 CW 2021-05-15 1647 UT8AQ         599 021     EA2T          599 VI      
QSO: 14020 CW 2021-05-15 1650 UT8AQ         599 022     EA4R          599 TO      
QSO: 14020 CW 2021-05-15 1655 UT8AQ         599 023     EB8F          599 A       
QSO: 14020 CW 2021-05-15 1813 UT8AQ         599 024     EA6SX         599 IB      
QSO:  7020 CW 2021-05-16 0236 UT8AQ         599 025     N4EEB         599 212     
QSO:  7020 CW 2021-05-16 0239 UT8AQ         599 026     N6AR          599 426     
QSO:  7020 CW 2021-05-16 0241 UT8AQ         599 027     9A5W          599 366     
QSO:  7020 CW 2021-05-16 0244 UT8AQ         599 028     N4BP          599 461     
QSO:  7020 CW 2021-05-16 0246 UT8AQ         599 029     9A7T          599 337     
QSO:  7020 CW 2021-05-16 0247 UT8AQ         599 030     YT1A          599 684     
QSO:  7020 CW 2021-05-16 0252 UT8AQ         599 031     LZ6F          599 222     
QSO:  7020 CW 2021-05-16 0253 UT8AQ         599 032     UYL7X         599 798     
QSO:  7020 CW 2021-05-16 0255 UT8AQ         599 033     RA7E          599 228     
QSO:  7020 CW 2021-05-16 0257 UT8AQ         599 034     LY8A          599 701     
QSO:  7020 CW 2021-05-16 0259 UT8AQ         599 035     OK2PF         599 205     
QSO:  7020 CW 2021-05-16 0301 UT8AQ         599 036     UA6AK         599 120     
QSO:  7020 CW 2021-05-16 0302 UT8AQ         599 037     Z35U          599 069     
QSO:  7020 CW 2021-05-16 0310 UT8AQ         599 038     NS1DX         599 121     
QSO:  7020 CW 2021-05-16 0312 UT8AQ         599 039     SP2FAP        599 098     
QSO:  7020 CW 2021-05-16 0314 UT8AQ         599 040     S51TA         599 147     
QSO:  7020 CW 2021-05-16 0318 UT8AQ         599 041     EF0F          599 SMR     
QSO:  7020 CW 2021-05-16 0320 UT8AQ         599 042     YO2GL         599 118     
QSO:  7020 CW 2021-05-16 0321 UT8AQ         599 043     SM5S          599 087     
QSO:  7020 CW 2021-05-16 0325 UT8AQ         599 044     IK3UNA        599 142     
QSO:  7020 CW 2021-05-16 0327 UT8AQ         599 045     LZ8E          599 822     
QSO:  7020 CW 2021-05-16 0333 UT8AQ         599 046     LZ3QE         599 402     
QSO:  7020 CW 2021-05-16 0345 UT8AQ         599 047     LZ5R          599 1481     
QSO:  7020 CW 2021-05-16 0347 UT8AQ         599 048     YT2RX         599 652     
QSO:  7020 CW 2021-05-16 0349 UT8AQ         599 049     HA2KMR        599 575     
QSO:  7020 CW 2021-05-16 0356 UT8AQ         599 050     SV1JG         599 271     
QSO:  7020 CW 2021-05-16 0400 UT8AQ         599 051     SN5J          599 503     
QSO:  7020 CW 2021-05-16 0401 UT8AQ         599 052     UT5C          599 1239     
QSO:  7020 CW 2021-05-16 0404 UT8AQ         599 053     OK1OA         599 378     
END-OF-LOG:
