START-OF-LOG: 3.0
CALLSIGN: JR1LLD
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1161
NAME: Masanao SHINOHARA
LOCATION: DX
OPERATORS: JR1LLD
CLUB:
CERTIFICATE: NO
CREATED-BY: Handwritten
SOAPBOX: Rig The KD1JV Tri-bander (assembly kit from Hendricks QRP kits,Inc.)
SOAPBOX: Power 5W, ANT End-fed full-size dipole on veranda at 11mH.
QSO: 21031 CW 2019-05-25 0015 JR1LLD 599  001 YC9FAR   599  008
QSO: 21005 CW 2019-05-25 0021 JR1LLD 599  002 JE6RPM   599  017
QSO: 21042 CW 2019-05-25 0034 JR1LLD 599  003 JG6OZC   599  015
QSO: 21004 CW 2019-05-25 0052 JR1LLD 599  004 JA6BXA   599  077
QSO: 21035 CW 2019-05-25 0105 JR1LLD 599  005 RU0LL    599  109
QSO: 21020 CW 2019-05-25 0118 JR1LLD 599  006 DS4EOI   599  128
QSO: 21021 CW 2019-05-25 0126 JR1LLD 599  007 DU3DW    599  141
QSO: 21024 CW 2019-05-25 0133 JR1LLD 599  008 BD7DT    599  114
QSO: 21032 CW 2019-05-25 2150 JR1LLD 599  009 JN4MMO   599  825
QSO: 21016 CW 2019-05-25 2215 JR1LLD 599  009 KH7M     599 1226
QSO: 21025 CW 2019-05-25 2235 JR1LLD 599  010 YD8UYJ   599  043
QSO: 21024 CW 2019-05-25 2241 JR1LLD 599  011 BA4II    599  670
QSO: 21032 CW 2019-05-25 2245 JR1LLD 599  012 AH6KO    599  530
QSO: 21022 CW 2019-05-25 2323 JR1LLD 599  013 BA8BA    599  718
QSO: 21031 CW 2019-05-25 2336 JR1LLD 599  014 B4T      599  780
QSO: 21011 CW 2019-05-25 2348 JR1LLD 599  015 JF3BFS   599  146
QSO: 21014 CW 2019-05-26 0124 JR1LLD 599  016 RK0UT    599  749
QSO: 21036 CW 2019-05-26 0128 JR1LLD 599  017 JE4MHL   599  400
QSO: 21034 CW 2019-05-26 0130 JR1LLD 599  018 BD2RJ    599  300
QSO: 21012 CW 2019-05-26 0211 JR1LLD 599  019 8J1ITU   599  089
QSO: 21050 CW 2019-05-26 0243 JR1LLD 599  020 JA8FXO   599  102
QSO: 21030 CW 2019-05-26 0502 JR1LLD 599  021 JF1VNR   599   68
QSO: 21038 CW 2019-05-26 0518 JR1LLD 599  022 JE1LFX   599  863
QSO: 21045 CW 2019-05-26 0618 JR1LLD 599  023 VK2GR    599  532
QSO: 21013 CW 2019-05-26 0706 JR1LLD 599  024 YE1C     599  504
QSO: 21008 CW 2019-05-26 0720 JR1LLD 599  025 9M6NA    599 1298
QSO: 21002 CW 2019-05-26 0807 JR1LLD 599  026 BA7QT    599  294
END-OF-LOG:
