START-OF-LOG: 3.0
CALLSIGN: 2E1FVS
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 142680
NAME: Martin Hotchin
LOCATION: DX
OPERATORS: M0HOM
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7704.0
SOAPBOX: Couldn't spend all weekend on the test, spent time giving a mult
SOAPBOX: out with my old Intermediate licence callsign. Frustrating having
SOAPBOX: to ask for repeats, to the op's who wouldn't match my sending speed.
SOAPBOX: Some nice DX with 50W to vertical GPs. TU, GL+73
QSO:  7001 CW 2019-05-25 2221 2E1FVS        599 0001   LA2AB         599 0732
QSO:  7002 CW 2019-05-25 2225 2E1FVS        599 0002   WC1M          599 1259
QSO:  7002 CW 2019-05-25 2226 2E1FVS        599 0003   9A6M          599 0167
QSO:  7003 CW 2019-05-25 2227 2E1FVS        599 0004   AC1U          599 1422
QSO:  7003 CW 2019-05-25 2228 2E1FVS        599 0005   SN6O          599 0647
QSO:  7004 CW 2019-05-25 2229 2E1FVS        599 0006   UW4U          599 0292
QSO:  7006 CW 2019-05-25 2231 2E1FVS        599 0007   KQ1F          599 0958
QSO:  7006 CW 2019-05-25 2232 2E1FVS        599 0008   VA2EW         599 1771
QSO:  7007 CW 2019-05-25 2234 2E1FVS        599 0009   LY2J          599 1401
QSO:  7009 CW 2019-05-25 2239 2E1FVS        599 0010   OM0R          599 1384
QSO:  7010 CW 2019-05-25 2240 2E1FVS        599 0011   EF3W          599 1062
QSO:  7011 CW 2019-05-25 2241 2E1FVS        599 0012   OK2D          599 2027
QSO:  7012 CW 2019-05-25 2242 2E1FVS        599 0013   TM29X         599 0101
QSO:  7013 CW 2019-05-25 2243 2E1FVS        599 0014   US8IM         599 0583
QSO:  7013 CW 2019-05-25 2244 2E1FVS        599 0015   NW1P          599 2063
QSO:  7014 CW 2019-05-25 2246 2E1FVS        599 0016   S52AW         599 1180
QSO:  7015 CW 2019-05-25 2247 2E1FVS        599 0017   SP5AFC        599 0171
QSO:  7015 CW 2019-05-25 2248 2E1FVS        599 0018   OH5Z          599 1835
QSO:  7017 CW 2019-05-25 2249 2E1FVS        599 0019   OH9W          599 1696
QSO:  7018 CW 2019-05-25 2250 2E1FVS        599 0020   LX7I          599 1054
QSO:  7018 CW 2019-05-25 2252 2E1FVS        599 0021   WG3J          599 0582
QSO:  7019 CW 2019-05-25 2258 2E1FVS        599 0022   LZ7M          599 0548
QSO:  7020 CW 2019-05-25 2300 2E1FVS        599 0023   DQ2C          599 1533
QSO:  7021 CW 2019-05-25 2302 2E1FVS        599 0024   WF1OC         599 0199
QSO:  7022 CW 2019-05-25 2302 2E1FVS        599 0025   OL8M          599 1619
QSO:  7022 CW 2019-05-25 2303 2E1FVS        599 0026   LN8W          599 0992
QSO:  7024 CW 2019-05-25 2307 2E1FVS        599 0027   HP3N          599 1483
QSO:  7025 CW 2019-05-25 2308 2E1FVS        599 0028   S53R          599 0786
QSO:  7025 CW 2019-05-25 2311 2E1FVS        599 0029   KB1W          599 0155
QSO:  7025 CW 2019-05-25 2312 2E1FVS        599 0030   P33W          599 1257
QSO:  7026 CW 2019-05-25 2316 2E1FVS        599 0031   UA2FL         599 0043
QSO:  7028 CW 2019-05-25 2320 2E1FVS        599 0032   9A1A          599 1269
QSO:  7028 CW 2019-05-25 2322 2E1FVS        599 0033   IB9T          599 1553
QSO:  7030 CW 2019-05-25 2326 2E1FVS        599 0034   OH1TM         599 0654
QSO:  7030 CW 2019-05-25 2326 2E1FVS        599 0035   IK0YVV        599 0259
QSO:  7031 CW 2019-05-25 2329 2E1FVS        599 0036   ES6Q          599 0614
QSO:  7032 CW 2019-05-25 2330 2E1FVS        599 0037   P40X          599 0954
QSO:  7032 CW 2019-05-25 2332 2E1FVS        599 0038   NQ2F          599 0751
QSO:  7033 CW 2019-05-25 2334 2E1FVS        599 0039   WP2Z          599 0805
QSO:  7034 CW 2019-05-25 2336 2E1FVS        599 0040   VE2FK         599 0447
QSO:  7035 CW 2019-05-25 2338 2E1FVS        599 0041   AA1SU         599 0345
QSO:  7035 CW 2019-05-25 2339 2E1FVS        599 0042   CK9ML         599 0431
QSO:  7036 CW 2019-05-25 2340 2E1FVS        599 0043   Z3M           599 1280
QSO:  7037 CW 2019-05-25 2341 2E1FVS        599 0044   NY4A          599 1761
QSO:  7038 CW 2019-05-25 2342 2E1FVS        599 0045   VY2TT         599 2228
QSO:  7039 CW 2019-05-25 2343 2E1FVS        599 0046   OK5Z          599 2160
QSO:  7041 CW 2019-05-25 2346 2E1FVS        599 0047   LT1F          599 1106
QSO:  7042 CW 2019-05-25 2350 2E1FVS        599 0048   NA3D          599 0871
QSO:  7042 CW 2019-05-25 2351 2E1FVS        599 0049   YO6DOH        599 0814
QSO:  7043 CW 2019-05-25 2354 2E1FVS        599 0050   KW1K          599 0545
QSO:  7044 CW 2019-05-25 2357 2E1FVS        599 0051   VE9CB         599 1059
QSO:  7045 CW 2019-05-25 2358 2E1FVS        599 0052   PJ2T          599 1437
QSO:  7047 CW 2019-05-26 0001 2E1FVS        599 0053   VE3EJ         599 1334
QSO: 14059 CW 2019-05-26 1041 2E1FVS        599 0054   R4KW          599 1674
QSO: 14059 CW 2019-05-26 1043 2E1FVS        599 0055   RA3CW         599 1990
QSO: 14059 CW 2019-05-26 1043 2E1FVS        599 0056   HG7T          599 1596
QSO: 14059 CW 2019-05-26 1044 2E1FVS        599 0057   LZ9W          599 2153
QSO: 14059 CW 2019-05-26 1044 2E1FVS        599 0058   OZ5E          599 1429
QSO: 14059 CW 2019-05-26 1045 2E1FVS        599 0059   LZ60KAA       599 1161
QSO: 14059 CW 2019-05-26 1045 2E1FVS        599 0060   IO3X          599 0848
QSO: 14059 CW 2019-05-26 1047 2E1FVS        599 0061   IZ2OOS        599 0373
QSO: 14059 CW 2019-05-26 1047 2E1FVS        599 0062   IO3Y          599 1646
QSO: 14059 CW 2019-05-26 1048 2E1FVS        599 0063   DR0W          599 3262
QSO: 14059 CW 2019-05-26 1050 2E1FVS        599 0064   ES7A          599 2489
QSO: 14059 CW 2019-05-26 1051 2E1FVS        599 0065   P33W          599 2592
QSO: 14059 CW 2019-05-26 1052 2E1FVS        599 0066   YU5R          599 3053
QSO: 14059 CW 2019-05-26 1053 2E1FVS        599 0067   EA5KA         599 3325
QSO: 14059 CW 2019-05-26 1053 2E1FVS        599 0068   HG6N          599 3469
QSO: 14059 CW 2019-05-26 1054 2E1FVS        599 0069   R8WF          599 1667
QSO: 14059 CW 2019-05-26 1055 2E1FVS        599 0070   UY5QR         599 0487
QSO: 14064 CW 2019-05-26 1057 2E1FVS        599 0071   NW1P          599 2724
QSO: 14065 CW 2019-05-26 1059 2E1FVS        599 0072   UI2K          599 1319
QSO: 14066 CW 2019-05-26 1100 2E1FVS        599 0073   4U1A          599 0913
QSO: 14060 CW 2019-05-26 1106 2E1FVS        599 0074   SN7O          599 1463
QSO: 14060 CW 2019-05-26 1108 2E1FVS        599 0075   EU1WW         599 2675
QSO: 14060 CW 2019-05-26 1110 2E1FVS        599 0076   YL2BJ         599 0442
QSO: 14060 CW 2019-05-26 1113 2E1FVS        599 0077   YL5W          599 0815
QSO: 14060 CW 2019-05-26 1117 2E1FVS        599 0078   DL5MYX/P      599 0070
QSO: 14044 CW 2019-05-26 1125 2E1FVS        599 0079   IU1LCU        599 0446
QSO: 14044 CW 2019-05-26 1126 2E1FVS        599 0080   RU7M          599 1963
QSO: 14044 CW 2019-05-26 1127 2E1FVS        599 0081   LZ5R          599 4905
QSO: 14044 CW 2019-05-26 1128 2E1FVS        599 0082   YT3X          599 2036
QSO: 14044 CW 2019-05-26 1129 2E1FVS        599 0083   RM5A          599 1194
QSO: 14044 CW 2019-05-26 1129 2E1FVS        599 0084   DL1WA         599 0983
