START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WPX-CW
CALLSIGN:      GW0VSW
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  NON-ASSISTED
CERTIFICATE:   YES
CATEGORY-BAND: ALL
CATEGORY-POWER:  QRP
CATEGORY-MODE: CW
CATEGORY-STATION:  FIXED
CATEGORY-TRANSMITTER:  ONE
CLUB:          RSGB CONTEST CLUB
LOCATION:      DX
CLAIMED-SCORE: 143429
NAME:          Carl Mason
OPERATORS:     GW0VSW
SOAPBOX:       Thanks to everyone who managed to copy my 5w
QSO: 14000 CW 2019-05-25 0804 GW0VSW        599  001   DL0CS         599  598
QSO: 14000 CW 2019-05-25 0821 GW0VSW        599  002   DP7D          599  554
QSO: 14000 CW 2019-05-25 0822 GW0VSW        599  003   DL9ZP         599  300
QSO: 14000 CW 2019-05-25 0823 GW0VSW        599  004   F5VMN         599  091
QSO: 14000 CW 2019-05-25 0827 GW0VSW        599  005   LX7I          599  283
QSO: 28000 CW 2019-05-25 0834 GW0VSW        599  006   OL250VEK      599  014
QSO: 28000 CW 2019-05-25 0838 GW0VSW        599  007   SQ3RX         599  482
QSO: 28000 CW 2019-05-25 0841 GW0VSW        599  008   9A0BB         599  808
QSO: 28000 CW 2019-05-25 0844 GW0VSW        599  009   HG7T          599  121
QSO: 28000 CW 2019-05-25 0851 GW0VSW        599  010   OM5WW         599  485
QSO: 21000 CW 2019-05-25 0902 GW0VSW        599  011   9A1A          599  331
QSO: 21000 CW 2019-05-25 0904 GW0VSW        599  012   OK5Z          599  829
QSO: 21000 CW 2019-05-25 0915 GW0VSW        599  013   LX7I          599  079
QSO: 21000 CW 2019-05-25 0919 GW0VSW        599  014   OM4Q          599  258
QSO: 14000 CW 2019-05-25 0921 GW0VSW        599  015   OM7M          599  850
QSO: 28000 CW 2019-05-25 0938 GW0VSW        599  016   IK3UNA        599  461
QSO: 28000 CW 2019-05-25 0942 GW0VSW        599  017   DJ1OJ         599  117
QSO: 28000 CW 2019-05-25 0946 GW0VSW        599  018   YU1ANO        599  181
QSO: 28000 CW 2019-05-25 0952 GW0VSW        599  019   5B/RN3QO      599  669
QSO: 28000 CW 2019-05-25 0955 GW0VSW        599  020   P33W          599  648
QSO: 28000 CW 2019-05-25 0958 GW0VSW        599  021   SN2B          599 1069
QSO: 28000 CW 2019-05-25 1002 GW0VSW        599  022   9A1A          599  288
QSO: 28000 CW 2019-05-25 1003 GW0VSW        599  023   S59AA         599  124
QSO: 28000 CW 2019-05-25 1012 GW0VSW        599  024   S53MM         599 1115
QSO: 28000 CW 2019-05-25 1110 GW0VSW        599  025   HG1R          599  133
QSO: 28000 CW 2019-05-25 1111 GW0VSW        599  026   YT7Z          599  369
QSO: 28000 CW 2019-05-25 1115 GW0VSW        599  027   OK2EA         599  298
QSO: 28000 CW 2019-05-25 1116 GW0VSW        599  028   DP5W          599  352
QSO: 28000 CW 2019-05-25 1120 GW0VSW        599  029   OM3IAG        599  122
QSO: 28000 CW 2019-05-25 1122 GW0VSW        599  030   CR6K          599  736
QSO: 28000 CW 2019-05-25 1124 GW0VSW        599  031   OH6AC         599  134
QSO: 28000 CW 2019-05-25 1130 GW0VSW        599  032   HG1S          599  156
QSO: 28000 CW 2019-05-25 1137 GW0VSW        599  033   E7DX          599 1387
QSO: 21000 CW 2019-05-25 1140 GW0VSW        599  034   IO3F          599  402
QSO: 21000 CW 2019-05-25 1141 GW0VSW        599  035   IR2Q          599  864
QSO: 21000 CW 2019-05-25 1142 GW0VSW        599  036   YT0Z          599  486
QSO: 21000 CW 2019-05-25 1147 GW0VSW        599  037   OM7M          599  375
QSO: 21000 CW 2019-05-25 1149 GW0VSW        599  038   OK5ZZ         599  413
QSO: 21000 CW 2019-05-25 1153 GW0VSW        599  039   S52C          599  766
QSO: 14000 CW 2019-05-25 1155 GW0VSW        599  040   S53EO         599  285
QSO: 14000 CW 2019-05-25 1200 GW0VSW        599  041   9A1A          599  829
QSO: 14000 CW 2019-05-25 1205 GW0VSW        599  042   DA2C          599  902
QSO: 14000 CW 2019-05-25 1212 GW0VSW        599  043   IO3X          599  336
QSO: 14000 CW 2019-05-25 1217 GW0VSW        599  044   DM6V          599  764
QSO: 21000 CW 2019-05-25 1226 GW0VSW        599  045   SP8R          599  307
QSO: 21000 CW 2019-05-25 1229 GW0VSW        599  046   HB9ARF        599  432
QSO: 21000 CW 2019-05-25 1234 GW0VSW        599  047   IK1JJM        599  211
QSO:  7000 CW 2019-05-25 1240 GW0VSW        599  048   F/E72T        599  304
QSO:  7000 CW 2019-05-25 1244 GW0VSW        599  049   LN8W          599  621
QSO: 28000 CW 2019-05-25 1253 GW0VSW        599  050   UR6IM         599  098
QSO: 28000 CW 2019-05-25 1255 GW0VSW        599  051   DD1A          599 1074
QSO: 28000 CW 2019-05-25 1256 GW0VSW        599  052   HG8C          599  269
QSO: 28000 CW 2019-05-25 1315 GW0VSW        599  053   HG72QRP       599  359
QSO: 28000 CW 2019-05-25 1317 GW0VSW        599  054   OL8M          599  841
QSO: 28000 CW 2019-05-25 1320 GW0VSW        599  055   DL1VDL        599  298
QSO: 28000 CW 2019-05-25 1335 GW0VSW        599  056   OM0R          599  822
QSO: 28000 CW 2019-05-25 1341 GW0VSW        599  057   HB90TOC       599  443
QSO: 28000 CW 2019-05-25 1345 GW0VSW        599  058   OL7C          599  918
QSO: 28000 CW 2019-05-25 1348 GW0VSW        599  059   DH8BQA        599  619
QSO: 21000 CW 2019-05-25 1350 GW0VSW        599  060   DQ0U          599  575
QSO: 21000 CW 2019-05-25 1356 GW0VSW        599  061   OR5T          599  332
QSO: 21000 CW 2019-05-25 1402 GW0VSW        599  062   OP5T          599  359
QSO: 14000 CW 2019-05-25 1408 GW0VSW        599  063   RL3A          599 2054
QSO: 14000 CW 2019-05-25 1410 GW0VSW        599  064   DL1WA         599  312
QSO: 14000 CW 2019-05-25 1412 GW0VSW        599  065   PC3T          599  687
QSO: 14000 CW 2019-05-25 1414 GW0VSW        599  066   S57K          599 1215
QSO: 14000 CW 2019-05-25 1414 GW0VSW        599  067   OP5T          599  258
QSO: 14000 CW 2019-05-25 1416 GW0VSW        599  068   OL6P          599 1010
QSO: 14000 CW 2019-05-25 1418 GW0VSW        599  069   HB90AFI       599  050
QSO: 14000 CW 2019-05-25 1427 GW0VSW        599  070   UZ0U          599  797
QSO: 14000 CW 2019-05-25 1430 GW0VSW        599  071   PA2RG         599  283
QSO: 14000 CW 2019-05-25 1432 GW0VSW        599  072   ES5RR         599 1661
QSO: 14000 CW 2019-05-25 1439 GW0VSW        599  073   YU5R          599 1286
QSO: 14000 CW 2019-05-25 1441 GW0VSW        599  074   TM6M          599 1058
QSO: 14000 CW 2019-05-25 1444 GW0VSW        599  075   S51J          599  601
QSO: 14000 CW 2019-05-25 1447 GW0VSW        599  076   OR5T          599  396
