START-OF-LOG: 3.0
CALLSIGN: JA1CRJ
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 6716
NAME: Tsutomu Nishiyama
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: CTESTWIN by JI1AQY
SOAPBOX: I was busy the week end, I had only 50 QSO.
QSO:  7000 CW 2019-05-25 0922 JA1CRJ        599 001    TI7W          599 953    0
QSO: 28000 CW 2019-05-25 0924 JA1CRJ        599 002    BA8BA         599 381    0
QSO: 21000 CW 2019-05-25 0936 JA1CRJ        599 003    BA7QT         599 242    0
QSO: 14000 CW 2019-05-25 0939 JA1CRJ        599 004    BY7KP         599 154    0
QSO: 14000 CW 2019-05-25 0940 JA1CRJ        599 005    BG4GOV        599 257    0
QSO: 14000 CW 2019-05-25 0941 JA1CRJ        599 006    RU0LL         599 406    0
QSO: 14000 CW 2019-05-25 0942 JA1CRJ        599 007    KL7RA         599 935    0
QSO: 14000 CW 2019-05-25 0947 JA1CRJ        599 008    YB1TIA        599 189    0
QSO: 14000 CW 2019-05-25 0948 JA1CRJ        599 009    NR6O          599 601    0
QSO: 14000 CW 2019-05-25 0952 JA1CRJ        599 010    YE1C          599 267    0
QSO:  7000 CW 2019-05-25 1201 JA1CRJ        599 011    KN7NV         599 783    0
QSO:  7000 CW 2019-05-25 1202 JA1CRJ        599 012    K5WA          599 806    0
QSO:  7000 CW 2019-05-25 1203 JA1CRJ        599 013    9M6NA         599 723    0
QSO:  3500 CW 2019-05-25 1212 JA1CRJ        599 014    KL7RA         599 213    0
QSO:  7000 CW 2019-05-25 1216 JA1CRJ        599 015    KU1CW         599 736    0
QSO:  7000 CW 2019-05-25 1216 JA1CRJ        599 016    BU2EO         599 307    0
QSO: 14000 CW 2019-05-25 2235 JA1CRJ        599 017    BA3MM         599 269    0
QSO: 14000 CW 2019-05-25 2237 JA1CRJ        599 018    S573G         599 1649   0
QSO: 14000 CW 2019-05-25 2239 JA1CRJ        599 019    UA0ZC         599 186    0
QSO: 14000 CW 2019-05-25 2243 JA1CRJ        599 020    DA2C          599 1490   0
QSO: 14000 CW 2019-05-25 2244 JA1CRJ        599 021    UW1M          599 1915   0
QSO: 14000 CW 2019-05-25 2247 JA1CRJ        599 022    4D3X          599 301    0
QSO: 14000 CW 2019-05-25 2249 JA1CRJ        599 023    LZ5R          599 3614   0
QSO: 14000 CW 2019-05-25 2250 JA1CRJ        599 024    S53M          599 1126   0
QSO: 14000 CW 2019-05-25 2250 JA1CRJ        599 025    BY6LY         599 712    0
QSO: 14000 CW 2019-05-25 2253 JA1CRJ        599 026    UW2M          599 2744   0
QSO: 14000 CW 2019-05-25 2259 JA1CRJ        599 027    BY3GA         599 255    0
QSO: 14000 CW 2019-05-25 2302 JA1CRJ        599 028    BH4PVP        599 318    0
QSO: 21000 CW 2019-05-25 2304 JA1CRJ        599 029    RU0LL         599 738    0
QSO: 21000 CW 2019-05-25 2306 JA1CRJ        599 030    V85T          599 041    0
QSO: 14000 CW 2019-05-26 0016 JA1CRJ        599 031    CN3A          599 2119   0
QSO: 21000 CW 2019-05-26 0815 JA1CRJ        599 032    YE1C          599 554    0
QSO: 21000 CW 2019-05-26 0816 JA1CRJ        599 033    YE1K          599 971    0
QSO: 21000 CW 2019-05-26 0818 JA1CRJ        599 034    BD7BW         599 114    0
QSO: 14000 CW 2019-05-26 0824 JA1CRJ        599 035    DS4EOI        599 932    0
QSO: 14000 CW 2019-05-26 0828 JA1CRJ        599 036    JT5DX         599 2266   0
QSO: 14000 CW 2019-05-26 0829 JA1CRJ        599 037    BU2EO         599 485    0
QSO: 14000 CW 2019-05-26 0832 JA1CRJ        599 038    9M2ZAK        599 362    0
QSO:  7000 CW 2019-05-26 0834 JA1CRJ        599 039    AH2R          599 583    0
QSO:  7000 CW 2019-05-26 0835 JA1CRJ        599 040    KW7Y          599 1863   0
QSO:  7000 CW 2019-05-26 1436 JA1CRJ        599 041    NH6V          599 1110   0
QSO:  7000 CW 2019-05-26 1437 JA1CRJ        599 042    BA1RB         599 262    0
QSO:  7000 CW 2019-05-26 1440 JA1CRJ        599 043    BY1CY         599 341    0
QSO:  7000 CW 2019-05-26 1441 JA1CRJ        599 044    KH7M          599 1956   0
QSO: 14000 CW 2019-05-26 1445 JA1CRJ        599 045    EI7M          599 3269   0
QSO: 14000 CW 2019-05-26 1448 JA1CRJ        599 046    RM5A          599 1512   0
QSO: 14000 CW 2019-05-26 1450 JA1CRJ        599 047    UT1AA         599 689    0
QSO: 14000 CW 2019-05-26 1453 JA1CRJ        599 048    RT2C          599 1831   0
QSO: 14000 CW 2019-05-26 1454 JA1CRJ        599 049    HL2BQG        599 592    0
QSO: 14000 CW 2019-05-26 1459 JA1CRJ        599 050    HA8A          599 2366   0
QSO: 14000 CW 2019-05-26 1501 JA1CRJ        599 051    YQ8T          599 1734   0
END-OF-LOG:
