START-OF-LOG: 3.0
CALLSIGN: YC3KNJ
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Kenji Sekiguchi
LOCATION: DX
OPERATORS: YC3KNJ
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7687.0
SOAPBOX: This is my first time participating in CQ WPX CW CONTEST
SOAPBOX: participate in 20m band single operator non assisted, QRP
QSO: 14000 CW 2019-05-25 0232 YC3KNJ        599 0001   E27EK         599 0046
QSO: 14000 CW 2019-05-25 0243 YC3KNJ        599 0002   YC4HQ         599 0033
QSO: 14000 CW 2019-05-25 0256 YC3KNJ        599 0003   9M2ZAK        599 0109
QSO: 14000 CW 2019-05-25 0337 YC3KNJ        599 0004   VK2IA         599 0057
QSO: 14000 CW 2019-05-25 0350 YC3KNJ        599 0005   9M4COO        599 0032
QSO: 14000 CW 2019-05-25 0425 YC3KNJ        599 0006   8J1ITU        599 0095
QSO: 14000 CW 2019-05-25 0655 YC3KNJ        599 0007   JO7KMB        599 0026
QSO: 14000 CW 2019-05-25 0714 YC3KNJ        599 0008   NU7Y          599 0565
QSO: 14000 CW 2019-05-25 0825 YC3KNJ        599 0009   YE1C          599 0221
QSO: 14000 CW 2019-05-25 0835 YC3KNJ        599 0010   NJ6G          599 0813
QSO:  7000 CW 2019-05-25 1146 YC3KNJ        599 0011   9M6NA         599 0801
QSO: 14000 CW 2019-05-26 0207 YC3KNJ        599 0012   HS5AM         599 0345
QSO: 14000 CW 2019-05-26 0743 YC3KNJ        599 0013   KW7Y          599 1813
QSO: 14000 CW 2019-05-26 0753 YC3KNJ        599 0014   NO6T          599 2774
QSO: 14000 CW 2019-05-26 0830 YC3KNJ        599 0015   KL7RA         599 3092
QSO: 14000 CW 2019-05-26 0855 YC3KNJ        599 0016   WS7R          599 0773
QSO: 14000 CW 2019-05-26 0938 YC3KNJ        599 0017   9V1XX         599 0135
QSO: 14000 CW 2019-05-26 0948 YC3KNJ        599 0018   HS5NMF        599 0464
END-OF-LOG:
