START-OF-LOG: 3.0
CALLSIGN: W8KNO
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 43641
NAME: Joseph L. Wehner
LOCATION: OH
OPERATORS: W8KNO
CLUB: Mad River Radio Club
CERTIFICATE: NO
CREATED-BY: GenLog v8.19
SOAPBOX: #s 98 & 99 were recorded on 80m and when I corrected it to 20m I messed
SOAPBOX: up the log.  Had to take advantage of the weather!
QSO: 14000 CW 2019-05-25 0036 W8KNO         599 0001   YW1K          599 0070
QSO: 14000 CW 2019-05-25 0038 W8KNO         599 0002   CN3A          599 0059
QSO: 14000 CW 2019-05-25 0041 W8KNO         599 0003   IB9A          599 0073
QSO: 14000 CW 2019-05-25 0043 W8KNO         599 0004   CN8KD         599 0058
QSO: 14000 CW 2019-05-25 0044 W8KNO         599 0005   9A1A          599 0089
QSO: 14000 CW 2019-05-25 0046 W8KNO         599 0006   NN7CW         599 0091
QSO: 14000 CW 2019-05-25 0052 W8KNO         599 0007   YT3X          599 0139
QSO: 14000 CW 2019-05-25 0054 W8KNO         599 0008   EA5K          599 0104
QSO: 14000 CW 2019-05-25 0056 W8KNO         599 0009   RU7M          599 0107
QSO: 14000 CW 2019-05-25 0057 W8KNO         599 0010   KN8U          599 0095
QSO: 14000 CW 2019-05-25 0100 W8KNO         599 0011   HG5A          599 0128
QSO: 14000 CW 2019-05-25 0107 W8KNO         599 0012   HK6K          599 0120
QSO: 14000 CW 2019-05-25 0115 W8KNO         599 0013   KG9N          599 0026
QSO: 14000 CW 2019-05-25 0122 W8KNO         599 0014   OM7M          599 0183
QSO: 14000 CW 2019-05-25 0127 W8KNO         599 0015   AA4AQ         599 0115
QSO: 14000 CW 2019-05-25 0141 W8KNO         599 0016   P40X          599 0205
QSO: 14000 CW 2019-05-25 0209 W8KNO         599 0017   ND4K          599 0207
QSO: 14000 CW 2019-05-25 0211 W8KNO         599 0018   N5CW          599 0044
QSO: 14000 CW 2019-05-25 0212 W8KNO         599 0019   NU5A          599 0324
QSO: 14000 CW 2019-05-25 0217 W8KNO         599 0020   NK7U          599 0079
QSO: 14000 CW 2019-05-25 0221 W8KNO         599 0021   AE6Y          599 0013
QSO: 14000 CW 2019-05-25 0223 W8KNO         599 0022   AK6W          599 0148
QSO: 14000 CW 2019-05-25 0224 W8KNO         599 0023   KK5I          599 0195
QSO: 14000 CW 2019-05-25 0226 W8KNO         599 0024   NO7R          599 0140
QSO: 14000 CW 2019-05-25 0228 W8KNO         599 0025   K5RM          599 0120
QSO: 14000 CW 2019-05-25 0229 W8KNO         599 0026   W7CXX         599 0062
QSO: 14000 CW 2019-05-25 0230 W8KNO         599 0027   KU7T          599 0194
QSO: 14000 CW 2019-05-25 0231 W8KNO         599 0028   N6RK          599 0079
QSO: 14000 CW 2019-05-25 0233 W8KNO         599 0029   WK5T          599 0341
QSO: 14000 CW 2019-05-25 0236 W8KNO         599 0030   NO6T          599 0333
QSO: 14000 CW 2019-05-25 0237 W8KNO         599 0031   N0KE          599 0050
QSO: 14000 CW 2019-05-25 0238 W8KNO         599 0032   W0RIC         599 0198
QSO: 14000 CW 2019-05-25 0240 W8KNO         599 0033   NX6T          599 0247
QSO: 14000 CW 2019-05-25 0242 W8KNO         599 0034   NH7A          599 0262
QSO: 14000 CW 2019-05-25 0245 W8KNO         599 0035   NF6A          599 0253
QSO: 14000 CW 2019-05-25 0248 W8KNO         599 0036   W6ZCQ         599 0060
QSO: 14000 CW 2019-05-25 0249 W8KNO         599 0037   KW1K          599 0170
QSO: 14000 CW 2019-05-25 0252 W8KNO         599 0038   CJ7DZO        599 0167
QSO: 14000 CW 2019-05-25 0254 W8KNO         599 0039   KE1B          599 0122
QSO: 14000 CW 2019-05-25 0256 W8KNO         599 0040   ZM1A          599 0239
QSO: 14000 CW 2019-05-25 0302 W8KNO         599 0041   WN1GIV        599 0091
QSO: 14000 CW 2019-05-25 0303 W8KNO         599 0042   NJ6G          599 0280
QSO:  3500 CW 2019-05-25 0307 W8KNO         599 0043   AA3B          599 0444
QSO:  3500 CW 2019-05-25 0309 W8KNO         599 0044   W3BGN         599 0142
QSO:  3500 CW 2019-05-25 0310 W8KNO         599 0045   AI0Y/9        599 0089
QSO:  3500 CW 2019-05-25 0311 W8KNO         599 0046   K2WK          599 0182
QSO:  3500 CW 2019-05-25 0316 W8KNO         599 0047   K1LZ          599 0195
QSO:  3500 CW 2019-05-25 0318 W8KNO         599 0048   NR4M          599 0126
QSO:  3500 CW 2019-05-25 0321 W8KNO         599 0049   NA3D          599 0166
QSO:  3500 CW 2019-05-25 0323 W8KNO         599 0050   K0AD          599 0228
QSO:  7000 CW 2019-05-25 0727 W8KNO         599 0051   NH6V          599 0298
QSO:  7000 CW 2019-05-25 0728 W8KNO         599 0052   K9CT          599 0607
QSO:  7000 CW 2019-05-25 0731 W8KNO         599 0053   NU7Y          599 0557
QSO:  7000 CW 2019-05-25 0734 W8KNO         599 0054   NP2R          599 0521
QSO:  7000 CW 2019-05-25 0737 W8KNO         599 0055   AC5O          599 0695
QSO:  7000 CW 2019-05-25 0739 W8KNO         599 0056   WP2Z          599 0545
QSO:  7000 CW 2019-05-25 0741 W8KNO         599 0057   KN7NV         599 0514
QSO:  7000 CW 2019-05-25 1245 W8KNO         599 0058   NY3B          599 0357
QSO:  7000 CW 2019-05-25 1248 W8KNO         599 0059   NS0R          599 0464
QSO:  7000 CW 2019-05-25 1251 W8KNO         599 0060   KE4KY         599 0235
QSO: 14000 CW 2019-05-25 1258 W8KNO         599 0061   KM9P          599 0965
QSO: 14000 CW 2019-05-25 2001 W8KNO         599 0062   N4KS          599 0705
QSO: 14000 CW 2019-05-25 2002 W8KNO         599 0063   WI0WA         599 0911
QSO: 14000 CW 2019-05-25 2004 W8KNO         599 0064   K0NM          599 0739
QSO: 21000 CW 2019-05-25 2007 W8KNO         599 0065   N5AW          599 0784
QSO: 21000 CW 2019-05-25 2017 W8KNO         599 0066   W4XO          599 0230
QSO: 14000 CW 2019-05-25 2022 W8KNO         599 0067   KP2M          599 1776
QSO: 14000 CW 2019-05-25 2023 W8KNO         599 0068   WA5ZVE        599 0404
QSO: 14000 CW 2019-05-25 2025 W8KNO         599 0069   NF4A          599 0856
QSO: 14000 CW 2019-05-25 2029 W8KNO         599 0070   T5JK          599 1491
QSO: 14000 CW 2019-05-25 2031 W8KNO         599 0071   KD5DD         599 1331
QSO: 14000 CW 2019-05-26 0053 W8KNO         599 0072   HA7GN         599 0284
QSO: 14000 CW 2019-05-26 0054 W8KNO         599 0073   YT1A          599 1392
QSO: 14000 CW 2019-05-26 0056 W8KNO         599 0074   WF9A          599 1289
QSO: 14000 CW 2019-05-26 0057 W8KNO         599 0075   HG1R          599 0833
QSO: 14000 CW 2019-05-26 0059 W8KNO         599 0076   HG1S          599 1115
QSO: 14000 CW 2019-05-26 0101 W8KNO         599 0077   W4NZ          599 0872
QSO: 14000 CW 2019-05-26 0104 W8KNO         599 0078   NA5NN         599 1366
QSO: 14000 CW 2019-05-26 0105 W8KNO         599 0079   NR3X          599 1674
QSO: 14000 CW 2019-05-26 0108 W8KNO         599 0080   WP4X          599 1940
QSO: 14000 CW 2019-05-26 0110 W8KNO         599 0081   HA1AG         599 1982
QSO: 14000 CW 2019-05-26 0112 W8KNO         599 0082   HG7T          599 1250
QSO:  7000 CW 2019-05-26 0118 W8KNO         599 0083   NB1N          599 0600
QSO:  7000 CW 2019-05-26 0125 W8KNO         599 0084   KE1S          599 0500
QSO:  3500 CW 2019-05-26 0534 W8KNO         599 0085   WW2Y          599 1827
QSO:  3500 CW 2019-05-26 0537 W8KNO         599 0086   VE3NNT        599 1252
QSO:  3500 CW 2019-05-26 0539 W8KNO         599 0087   VE3NE         599 0454
QSO:  3500 CW 2019-05-26 0541 W8KNO         599 0088   ZF1A          599 0495
QSO:  3500 CW 2019-05-26 0544 W8KNO         599 0089   KC1XX         599 0691
QSO:  3500 CW 2019-05-26 0546 W8KNO         599 0090   KE5JSN        599 1010
QSO:  3500 CW 2019-05-26 0554 W8KNO         599 0091   NB6U          599 0898
QSO:  3500 CW 2019-05-26 0609 W8KNO         599 0092   8P5A          599 1936
QSO:  3500 CW 2019-05-26 0618 W8KNO         599 0093   N9GB          599 0331
QSO: 14000 CW 2019-05-26 1308 W8KNO         599 0094   KN7NE         599 1815
QSO: 14000 CW 2019-05-26 1313 W8KNO         599 0095   DP6A          599 2169
QSO: 14000 CW 2019-05-26 1316 W8KNO         599 0096   IR4X          599 3665
QSO: 14000 CW 2019-05-26 1320 W8KNO         599 0097   KO7SS         599 1813
QSO: 14000 CW 2019-05-26 1322 W8KNO         599 0098   20M           599 1632
