START-OF-LOG: 3.0
LOCATION: DX
CONTEST: CQ-WPX-CW
CALLSIGN: JH3DMQ/QRP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 40M
CLAIMED-SCORE: 1617
OPERATORS:
CLUB:
CREATED-BY: CTESTWIN by JI1AQY
NAME: Munehiro.Mizutani
SOAPBOX: OATH :I swer using QRP5W out.
SOAPBOX: RIG: IC-7300M Power down. ANT 13mH 4el CQ (21/28MHz),7MHz 13.3mH DP.
QSO: 21000 CW 2019-05-25 0447 JH3DMQ/QRP    599 001    9M6NA         599 168    0
QSO: 21000 CW 2019-05-25 0755 JH3DMQ/QRP    599 002    YC9FAR        599 081    0
QSO: 21000 CW 2019-05-25 0800 JH3DMQ/QRP    599 003    YC9DE         599 112    0
QSO: 21000 CW 2019-05-25 0806 JH3DMQ/QRP    599 004    4F3BZ         599 097    0
QSO: 21000 CW 2019-05-25 0813 JH3DMQ/QRP    599 005    9M8YY         599 256    0
QSO: 28000 CW 2019-05-25 0823 JH3DMQ/QRP    599 006    NH2DX         599 035    0
QSO:  7000 CW 2019-05-25 0834 JH3DMQ/QRP    599 007    JE4MHL        599 148    0
QSO:  7000 CW 2019-05-25 0836 JH3DMQ/QRP    599 008    JH1EAQ        599 233    0
QSO:  7000 CW 2019-05-25 0838 JH3DMQ/QRP    599 009    JJ0JML        599 195    0
QSO:  7000 CW 2019-05-25 0841 JH3DMQ/QRP    599 010    JF1KWG        599 113    0
QSO: 21000 CW 2019-05-25 0851 JH3DMQ/QRP    599 011    JE6RPM        599 400    0
QSO: 21000 CW 2019-05-25 0954 JH3DMQ/QRP    599 012    BA7JT         599 383    0
QSO:  7000 CW 2019-05-25 1000 JH3DMQ/QRP    599 013    NR6O          599 541    0
QSO:  7000 CW 2019-05-25 1014 JH3DMQ/QRP    599 014    NF6A          599 887    0
QSO:  7000 CW 2019-05-25 1016 JH3DMQ/QRP    599 015    JH4UYB        599 432    0
QSO:  7000 CW 2019-05-25 1026 JH3DMQ/QRP    599 016    JE6REM        599 500    0
QSO:  7000 CW 2019-05-25 1029 JH3DMQ/QRP    599 017    NU7Y          599 739    0
QSO:  7000 CW 2019-05-25 1042 JH3DMQ/QRP    599 018    NO6T          599 1341   0
QSO:  7000 CW 2019-05-25 1049 JH3DMQ/QRP    599 019    WK7S          599 587    0
QSO:  7000 CW 2019-05-25 1056 JH3DMQ/QRP    599 020    KL7RA         599 389    0
QSO:  7000 CW 2019-05-25 1133 JH3DMQ/QRP    599 021    KU1CW         599 687    0
QSO:  7000 CW 2019-05-25 1139 JH3DMQ/QRP    599 022    NR5W          599 510    0
QSO:  7000 CW 2019-05-25 1142 JH3DMQ/QRP    599 023    WK5T          599 1325   0
QSO:  7000 CW 2019-05-25 1147 JH3DMQ/QRP    599 024    K5WA          599 784    0
QSO:  7000 CW 2019-05-25 2014 JH3DMQ/QRP    599 025    JI1AVY        599 028    0
QSO:  7000 CW 2019-05-25 2134 JH3DMQ/QRP    599 026    BA4II         599 631    0
QSO:  7000 CW 2019-05-25 2240 JH3DMQ/QRP    599 027    JF2FIU        599 358    0
QSO:  7000 CW 2019-05-26 1013 JH3DMQ/QRP    599 028    KN7NV         599 1047   0
QSO:  7000 CW 2019-05-26 1023 JH3DMQ/QRP    599 029    JK2VOC        599 403    0
END-OF-LOG:
