START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: RG9A
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RG9A
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2021.
QSO: 14200 PH 2021-08-21 0801 RG9A          59 CB54 DH1PAL        59 0001
QSO: 21021 CW 2021-08-21 0803 RG9A          599 CB54 9A3VM         599 0005
QSO: 21021 CW 2021-08-21 0803 RG9A          599 CB54 UR7QC         599 0003
QSO: 21022 CW 2021-08-21 0803 RG9A          599 CB54 YU5R          599 0006
QSO: 14000 CW 2021-08-21 0806 RG9A          599 CB54 EW6F          599 0005
QSO: 21021 CW 2021-08-21 0806 RG9A          599 CB54 UT4LW         599 0003
QSO: 21022 CW 2021-08-21 0810 RG9A          599 CB54 EU1FQ         599 0006
QSO: 21022 CW 2021-08-21 0810 RG9A          599 CB54 LY6A          599 0017
QSO: 21022 CW 2021-08-21 0811 RG9A          599 CB54 UX1AA         599 0016
QSO: 21022 CW 2021-08-21 0812 RG9A          599 CB54 OZ0B          599 0008
QSO: 21021 CW 2021-08-21 0813 RG9A          599 CB54 LY9A          599 0027
QSO: 21022 CW 2021-08-21 0814 RG9A          599 CB54 LA8OM         599 0013
QSO: 21021 CW 2021-08-21 0815 RG9A          599 CB54 LZ9W          599 0052
QSO: 14000 CW 2021-08-21 0818 RG9A          599 CB54 YU1YV         599 0006
QSO: 21021 CW 2021-08-21 0818 RG9A          599 CB54 UN6LN         599 0013
QSO: 21200 CW 2021-08-21 0819 RG9A          599 CB54 LA7SI         599 0008
QSO: 21021 CW 2021-08-21 0820 RG9A          599 CB54 UW1M          599 0041
QSO: 21022 CW 2021-08-21 0821 RG9A          599 CB54 PA2TA         599 0012
QSO: 21022 CW 2021-08-21 0822 RG9A          599 CB54 4Z5LY         599 0011
QSO: 21000 CW 2021-08-21 0823 RG9A          599 CB54 PA5GU         599 0002
QSO: 21022 CW 2021-08-21 0823 RG9A          599 CB54 DL4CF         599 0011
QSO: 21022 CW 2021-08-21 0824 RG9A          599 CB54 PA3ARM        599 0005
QSO: 14014 CW 2021-08-21 0826 RG9A          599 CB54 LZ5R          599 0092
QSO: 21000 CW 2021-08-21 0827 RG9A          599 CB54 SM7RYR        599 0016
QSO: 21000 CW 2021-08-21 0828 RG9A          599 CB54 SF6W          599 0006
QSO: 21021 CW 2021-08-21 0829 RG9A          599 CB54 EU6RO         599 0009
QSO: 21021 CW 2021-08-21 0829 RG9A          599 CB54 SM2LIY        599 0038
QSO: 21021 CW 2021-08-21 0830 RG9A          599 CB54 YB1BD         599 0003
QSO: 21021 CW 2021-08-21 0830 RG9A          599 CB54 YL7X          599 0023
QSO: 21021 CW 2021-08-21 0831 RG9A          599 CB54 G3P           599 0013
QSO: 21021 CW 2021-08-21 0833 RG9A          599 CB54 F6HDI         599 0020
QSO: 21021 CW 2021-08-21 0835 RG9A          599 CB54 EU4E          599 0021
QSO: 21021 CW 2021-08-21 0836 RG9A          599 CB54 IV3SKB        599 0041
QSO: 21022 CW 2021-08-21 0836 RG9A          599 CB54 EX8MJ         599 0017
QSO: 14015 CW 2021-08-21 0837 RG9A          599 CB54 HA5JI         599 0063
QSO: 21022 CW 2021-08-21 0838 RG9A          599 CB54 PA5KT         599 0002
QSO: 21022 CW 2021-08-21 0839 RG9A          599 CB54 LZ5N          599 0018
QSO: 21022 CW 2021-08-21 0839 RG9A          599 CB54 PA3DZM        599 0010
QSO: 21022 CW 2021-08-21 0839 RG9A          599 CB54 SM5CSS        599 0025
QSO: 21021 CW 2021-08-21 0840 RG9A          599 CB54 G4SGI         599 0011
QSO: 21022 CW 2021-08-21 0841 RG9A          599 CB54 DL4WG         599 0010
QSO: 21022 CW 2021-08-21 0841 RG9A          599 CB54 OH5TS         599 0003
QSO: 21021 CW 2021-08-21 0843 RG9A          599 CB54 DK8ZZ         599 0035
QSO: 21000 CW 2021-08-21 0846 RG9A          599 CB54 IZ6BXQ        599 0008
QSO: 21021 CW 2021-08-21 0846 RG9A          599 CB54 DL4WA         599 0046
QSO: 21021 CW 2021-08-21 0846 RG9A          599 CB54 IK1PMR        599 0016
QSO: 21022 CW 2021-08-21 0846 RG9A          599 CB54 DL7URH        599 0048
QSO: 21021 CW 2021-08-21 0848 RG9A          599 CB54 HB9AMO        599 0019
QSO: 21021 CW 2021-08-21 0848 RG9A          599 CB54 SM6FPC        599 0007
QSO: 21022 CW 2021-08-21 0849 RG9A          599 CB54 SP2R          599 0037
QSO: 14016 CW 2021-08-21 0850 RG9A          599 CB54 E77EA         599 0082
QSO: 21022 CW 2021-08-21 0850 RG9A          599 CB54 SN1T          599 0040
QSO: 21021 CW 2021-08-21 0853 RG9A          599 CB52 DJ9AO         599 0061
QSO: 21022 CW 2021-08-21 0853 RG9A          599 CB54 G4PVM         599 0013
QSO: 21021 CW 2021-08-21 0854 RG9A          599 CB54 IQ2CJ         599 0034
QSO: 21000 CW 2021-08-21 0855 RG9A          599 CB54 E20MDN        599 0003
QSO: 21000 CW 2021-08-21 0856 RG9A          599 CB54 EA5AR         599 0010
QSO: 21010 CW 2021-08-21 0856 RG9A          599 CB54 DH2URF        599 0007
QSO: 21015 CW 2021-08-21 0858 RG9A          599 CB54 DL5KVV        599 0017
