START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-SSB
CALLSIGN: PA0AWH
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
LOCATION: DX
CLUB:    THRACIAN ROSE CLUB
NAME:    Ad van der Wielen
SOAPBOX: RIG: FT817, 5 WATT IN SSB
SOAPBOX: ANTENNAS: SLOPING DELTA LOOP / WINDOM AS INV. VEE
QSO: 14000 PH 2018-06-23 1202 PA0AWH        599 001        HA4XH         59  003        
QSO: 14000 PH 2018-06-23 1212 PA0AWH        59  002        EF0F          59  SMR           
QSO: 14000 PH 2018-06-23 1333 PA0AWH        59  003        UT4U          59  145        
QSO: 14000 PH 2018-06-23 1340 PA0AWH        59  004        EE2W          59  BI          
QSO: 14000 PH 2018-06-23 1347 PA0AWH        59  005        ED1B          59  O           
QSO: 14000 PH 2018-06-23 1418 PA0AWH        59  006        EA1VM         59  P           
QSO: 14000 PH 2018-06-23 1422 PA0AWH        59  007        EA1BLI        59  P           
QSO: 14000 PH 2018-06-23 1500 PA0AWH        59  008        EE5T          59  V           
QSO: 14000 PH 2018-06-23 1505 PA0AWH        59  009        EA5DY         59  M           
QSO: 14000 PH 2018-06-23 1534 PA0AWH        59  010        LZ1GU         59  066        
QSO: 14000 PH 2018-06-23 1537 PA0AWH        59  011        EF9R          59  CE           
QSO: 14000 PH 2018-06-23 1743 PA0AWH        59  012        EA3HJO        59  B           
QSO: 14000 PH 2018-06-23 1747 PA0AWH        59  013        IZ0PAU        59  135        
QSO:  3500 PH 2018-06-24 0236 PA0AWH        59  014        OK4K          59  079        
QSO:  3500 PH 2018-06-24 0237 PA0AWH        59  015        HA4XH         59  658        
QSO:  7000 PH 2018-06-24 0247 PA0AWH        59  016        S51DX         59  505        
QSO:  7000 PH 2018-06-24 0258 PA0AWH        59  017        E7CW          59  047        
QSO:  3500 PH 2018-06-24 0317 PA0AWH        59  018        IZ6FXP        59  005        
QSO:  3500 PH 2018-06-24 0326 PA0AWH        59  019        GB2GP         59  090        
QSO:  3500 PH 2018-06-24 0333 PA0AWH        59  020        DM90AIW       59  173        
QSO:  7000 PH 2018-06-24 0343 PA0AWH        59  021        HA4XH         59  667        
QSO:  7000 PH 2018-06-24 0345 PA0AWH        59  022        SN2L          59  093        
QSO:  7000 PH 2018-06-24 0402 PA0AWH        59  023        YU4SSR        59  127        
QSO:  7000 PH 2018-06-24 0404 PA0AWH        59  024        RK3AW         59  129        
QSO:  7000 PH 2018-06-24 0432 PA0AWH        59  025        ED1B          59  O           
QSO:  7000 PH 2018-06-24 0439 PA0AWH        59  026        EF9R          59  CE           
QSO:  7000 PH 2018-06-24 0443 PA0AWH        59  027        EC5EA         59  A           
QSO:  7000 PH 2018-06-24 0445 PA0AWH        59  028        EE5T          59  V           
QSO: 14000 PH 2018-06-24 0718 PA0AWH        59  029        9A7T          59  438        
QSO: 14000 PH 2018-06-24 0720 PA0AWH        59  030        EA5RKO        59  V           
QSO: 14000 PH 2018-06-24 0725 PA0AWH        59  031        EC7WA         59  H           
END-OF-LOG:
