START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: S58WW
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: S58WW
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2011.
QSO: 14263 PH 2011-03-26 0539 S58WW         59 UP0L          59 771
QSO: 14236 PH 2011-03-26 0627 S58WW         59 2 RA9AE         59 273
QSO: 14210 PH 2011-03-26 0628 S58WW         59 0004 US1I          59 0234
QSO: 14181 PH 2011-03-26 0631 S58WW         59 0005 YM7KA         59 0497
QSO: 14243 PH 2011-03-26 0632 S58WW         59 006 ES5RW         59 0178
QSO: 21293 PH 2011-03-26 0646 S58WW         59 007 RF9C          59 0876
QSO: 21000 PH 2011-03-26 0944 S58WW         59 008 D4C           59 0230
QSO: 21232 PH 2011-03-26 0947 S58WW         59 0009 PQ5B          59 0726
QSO: 21189 PH 2011-03-26 0950 S58WW         59 010 HZ1FS         59 0238
QSO: 21388 PH 2011-03-26 0953 S58WW         59 011 VK6IR         59 0481
QSO: 28000 PH 2011-03-26 1004 S58WW         59 12 A65BU         59 128
QSO: 28483 PH 2011-03-26 1005 S58WW         59 013 S57AW         59 61
QSO: 28517 PH 2011-03-26 1007 S58WW         59 0014 ST2AR         59 0982
QSO: 28485 PH 2011-03-26 1037 S58WW         59 015 9K2HN         59 1145
QSO: 28440 PH 2011-03-26 1135 S58WW         59 0016 PW7T          59 0247
QSO: 28000 PH 2011-03-26 1144 S58WW         59 017 EA8TX         59 113
QSO: 28471 PH 2011-03-26 1153 S58WW         59 0018 PY7ZBK        59 0051
QSO: 21221 PH 2011-03-26 1449 S58WW         59 19 CN2R          59 1545
QSO: 21428 PH 2011-03-26 1537 S58WW         59 0020 K0SR          59 0954
QSO: 21238 PH 2011-03-26 1539 S58WW         59 0021 KM9P          59 0501
QSO: 21200 PH 2011-03-26 1541 S58WW         59 22 KQ2M          59 1040
QSO: 21197 PH 2011-03-26 1544 S58WW         59 23 XL3A          59 1790
QSO: 21268 PH 2011-03-26 1552 S58WW         59 024 5D5A          59 1539
QSO: 21348 PH 2011-03-26 1600 S58WW         59 0025 WX3B          59 0356
QSO: 21374 PH 2011-03-26 1601 S58WW         59 026 5B4KH         59 1115
QSO: 21396 PH 2011-03-26 1603 S58WW         59 0027 KC3R          59 1413
QSO: 14125 PH 2011-03-26 1707 S58WW         59 028 VE3EJ         59 1901
QSO: 14132 PH 2011-03-26 1710 S58WW         59 0029 VO1KVT        59 0554
QSO: 21000 PH 2011-03-26 1716 S58WW         59 030 9Y4W          59 0560
QSO: 21146 PH 2011-03-26 1835 S58WW         59 031 VP2EH         59 1346
QSO: 14296 PH 2011-03-26 1845 S58WW         59 0032 S55T          59 1394
QSO: 14266 PH 2011-03-27 1428 S58WW         59 033 EB8AH         59 1756
QSO: 14180 PH 2011-03-27 1459 S58WW         59 0024 BH7PAZ        59 0574
QSO: 14258 PH 2011-03-27 1535 S58WW         59 036 B7M           59 0627
QSO: 14235 PH 2011-03-27 1536 S58WW         59 0037 RW0A          59 2454
QSO: 14000 PH 2011-03-27 1537 S58WW         59 038 A61ZX         59 2107
QSO: 21312 PH 2011-03-27 1555 S58WW         59 039 K1LZ          59 3646
QSO: 28315 PH 2011-03-27 1600 S58WW         59 40 ZS9Z          59 782
QSO: 28430 PH 2011-03-27 1614 S58WW         59 0041 LP1H          59 2411
QSO: 28000 PH 2011-03-27 1620 S58WW         59 042 LU3HIP        59 781
QSO: 28513 PH 2011-03-27 1627 S58WW         59 0043 PT2CM         59 1085
QSO: 28000 PH 2011-03-27 1629 S58WW         59 0044 ZW8T          59 1278
QSO: 28391 PH 2011-03-27 1631 S58WW         59 045 D4C           59 2517
QSO: 28414 PH 2011-03-27 1632 S58WW         59 046 EB8AH         59 2368
QSO: 28000 PH 2011-03-27 1633 S58WW         59 47 AY5F          59 2581
QSO: 28000 PH 2011-03-27 1639 S58WW         59 0048 PP2EG         59 0593
QSO: 28397 PH 2011-03-27 1641 S58WW         59 0049 CE4WW         59 0230
QSO: 28426 PH 2011-03-27 1643 S58WW         59 0050 LU1MPK        59 0291
QSO: 28487 PH 2011-03-27 1651 S58WW         59 0051 LQ5H          59 1479
QSO: 28468 PH 2011-03-27 1652 S58WW         59 52 6V7D          59 3996
QSO: 28447 PH 2011-03-27 1659 S58WW         59 0053 LU1MA         59 2934
QSO: 28423 PH 2011-03-27 1704 S58WW         59 054 EA8/DL3KVR    59 519
QSO: 28418 PH 2011-03-27 1705 S58WW         59 055 LU1HF         59 2987
QSO: 28000 PH 2011-03-27 1707 S58WW         59 0056 PV7M          59 0636
QSO: 28490 PH 2011-03-27 1709 S58WW         59 057 CR3A          59 2024
QSO: 28000 PH 2011-03-27 1710 S58WW         59 058 EA8DO         59 890
QSO: 28517 PH 2011-03-27 1717 S58WW         59 0059 CE3G          59 1715
QSO: 28523 PH 2011-03-27 1718 S58WW         59 60 ZW5B          59 2418
QSO: 28544 PH 2011-03-27 1722 S58WW         59 061 CQ3L          59 2846
QSO: 28535 PH 2011-03-27 1723 S58WW         59 062 PS2T          59 4871
QSO: 28000 PH 2011-03-27 1727 S58WW         59 0063 PW5G          59 2333
QSO: 28426 PH 2011-03-27 1730 S58WW         59 0064 PU8WWW        59 0224
QSO: 28000 PH 2011-03-27 1809 S58WW         59 0065 PY2ADR        59 0886
QSO: 28150 PH 2011-03-27 1812 S58WW         59 0067 XR6T          59 1304
QSO: 28475 PH 2011-03-27 1812 S58WW         59 066 5D5A          59 1302
QSO: 28000 PH 2011-03-27 1816 S58WW         59 0068 PR5A          59 0944
QSO: 28000 PH 2011-03-27 1818 S58WW         59 0069 CE1A          59 0469
QSO: 28420 PH 2011-03-27 1820 S58WW         59 070 PT5T          59 2049
QSO: 28567 PH 2011-03-27 1824 S58WW         59 0071 CE4CT         59 2919
QSO: 28000 PH 2011-03-27 1825 S58WW         59 0072 PR7AA         59 0925
QSO: 28528 PH 2011-03-27 1827 S58WW         59 0073 LU5MT         59 0333
QSO: 28570 PH 2011-03-27 1830 S58WW         59 0074 LU3DX         59 0445
QSO: 28000 PH 2011-03-27 1836 S58WW         59 075 CA3OEV        59 856
QSO: 21000 PH 2011-03-27 1842 S58WW         59 076 W2AW          59 765
QSO: 21000 PH 2011-03-27 1843 S58WW         59 077 KB3UHN        59 1715
QSO: 21376 PH 2011-03-27 1844 S58WW         59 0078 NX9G          59 0508
QSO: 21145 PH 2011-03-27 1846 S58WW         59 0079 HI3K          59 1426
QSO: 21157 PH 2011-03-27 1846 S58WW         59 0080 PT2CM         59 1528
QSO: 21000 PH 2011-03-27 1848 S58WW         59 081 P43A          59 2025
QSO: 21208 PH 2011-03-27 1849 S58WW         59 082 NY6DX         59 2135
QSO: 21225 PH 2011-03-27 1850 S58WW         59 0083 NN5J          59 3021
QSO: 21275 PH 2011-03-27 1852 S58WW         59 0084 WF3C          59 0817
QSO:  3715 PH 2011-03-27 1915 S58WW         59 0085 S57DX         59 0559
QSO:  1891 PH 2011-03-27 1918 S58WW         59 0086 S52WW         59 0240
QSO:  3500 PH 2011-03-27 1920 S58WW         59 0087 9A40Y         59 1259
QSO:  3765 PH 2011-03-27 1921 S58WW         59 088 DR1A          59 1675
QSO:  3500 PH 2011-03-27 1922 S58WW         59 090 4L4CC         59 702
QSO:  3767 PH 2011-03-27 1922 S58WW         59 089 IR4C          59 0891
QSO:  3759 PH 2011-03-27 1923 S58WW         59 0091 LY2FN         59 0919
QSO:  3790 PH 2011-03-27 1924 S58WW         59 92 EU1A          59 887
QSO:  3783 PH 2011-03-27 1925 S58WW         59 094 OH10X         59 3663
QSO:  3777 PH 2011-03-27 1926 S58WW         59 096 LZ9W          59 1017
QSO:  3781 PH 2011-03-27 1926 S58WW         59 95 US2YW         59 1120
QSO:  3798 PH 2011-03-27 1929 S58WW         59 097 CR3A          59 0592
QSO:  3800 PH 2011-03-27 1943 S58WW         59 098 SO6V          59 734
QSO:  3784 PH 2011-03-27 1944 S58WW         59 099 9K2HN         59 4148
QSO:  3758 PH 2011-03-27 1946 S58WW         59 100 SJ2W          59 3507
QSO:  3740 PH 2011-03-27 1947 S58WW         59 101 EW7BR         59 745
QSO:  3793 PH 2011-03-27 1957 S58WW         59 102 SN3A          59 1397
QSO:  3796 PH 2011-03-27 2000 S58WW         59 0103 SV2GJV        59 0551
QSO:  3500 PH 2011-03-27 2005 S58WW         59 104 SM5DQE        59 587
QSO:  3788 PH 2011-03-27 2005 S58WW         59 0105 EM2G          59 1828
QSO:  3787 PH 2011-03-27 2006 S58WW         59 107 DP6T          59 0349
QSO:  3500 PH 2011-03-27 2007 S58WW         59 108 SM6NJK        59 157
QSO:  3787 PH 2011-03-27 2007 S58WW         59 109 SN9I          59 171
QSO:  3500 PH 2011-03-27 2008 S58WW         59 110 UX6VA         59 136
QSO:  3787 PH 2011-03-27 2008 S58WW         59 111 UX7FC         59 403
QSO:  3787 PH 2011-03-27 2009 S58WW         59 113 US5E          59 538
QSO:  3787 PH 2011-03-27 2009 S58WW         59 112 UT3UZ         59 581
QSO:  3788 PH 2011-03-27 2009 S58WW         59 0114 DG4HZ         59 0079
QSO:  3500 PH 2011-03-27 2010 S58WW         59 115 OK1KOB        59 231
QSO:  3500 PH 2011-03-27 2011 S58WW         59 117 OK1MKI        59 211
QSO:  3500 PH 2011-03-27 2012 S58WW         59 118 YT3R          59 0536
QSO:  3500 PH 2011-03-27 2013 S58WW         59 119 DO1CS         59 151
QSO:  3500 PH 2011-03-27 2014 S58WW         59 121 YO2LXW        59 233
