START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: VK3KE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: VK3KE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2011.
QSO: 14168 PH 2011-03-26 0010 VK3KE         59 AK1W          59 32
QSO: 21273 PH 2011-03-26 0020 VK3KE         59 0003 BY5CD         59 0016
QSO: 21000 PH 2011-03-26 0027 VK3KE         59 004 9M8Z          59 67
QSO: 21325 PH 2011-03-26 0028 VK3KE         59 005 VK6NC         59 0034
QSO: 28480 PH 2011-03-26 0040 VK3KE         59 0006 BH7OZG        59 0007
QSO: 21000 PH 2011-03-26 0058 VK3KE         59 8 RW0CN         59 166
QSO: 21320 PH 2011-03-26 0059 VK3KE         59 009 VK6IR         59 0069
QSO: 21000 PH 2011-03-26 0101 VK3KE         59 10 YB1AR         59 043
QSO: 21000 PH 2011-03-26 0104 VK3KE         59 11 DV1JM         59 60
QSO: 28488 PH 2011-03-26 0108 VK3KE         59 012 AH7NA         59 119
QSO: 28428 PH 2011-03-26 0109 VK3KE         59 13 KZ5MM         59 98
QSO: 21000 PH 2011-03-26 0144 VK3KE         59 0014 YE0X          59 0083
QSO: 21000 PH 2011-03-26 0148 VK3KE         59 0016 BD8ASG        59 0026
QSO: 21303 PH 2011-03-26 0149 VK3KE         59 17 VE7GL         59 267
QSO: 21333 PH 2011-03-26 0154 VK3KE         59 019 KL7RA         59 0284
QSO: 21371 PH 2011-03-26 0156 VK3KE         59 021 VK4EMM        59 0120
QSO: 21384 PH 2011-03-26 0158 VK3KE         59 021 JA0JHA        59 274
QSO: 21354 PH 2011-03-26 0220 VK3KE         59 25 K6NR          59 114
QSO: 21380 PH 2011-03-26 0221 VK3KE         59 0025 N7RQ          59 0222
QSO: 21304 PH 2011-03-26 0224 VK3KE         59 0027 HK1R          59 0268
QSO: 21000 PH 2011-03-26 0225 VK3KE         59 29 P43A          59 164
QSO: 21253 PH 2011-03-26 0228 VK3KE         59 030 KK7OO         59 219
QSO: 21190 PH 2011-03-26 0243 VK3KE         59 030 B3C           59 140
QSO: 21000 PH 2011-03-26 0245 VK3KE         59 031 4H1T          59 238
QSO: 21000 PH 2011-03-26 0246 VK3KE         59 0032 JI2ZEY        59 0126
QSO: 21000 PH 2011-03-26 0248 VK3KE         59 033 UA0UK         59 166
QSO: 28000 PH 2011-03-26 0313 VK3KE         59 034 JO3DDD        59 157
QSO: 14167 PH 2011-03-26 0336 VK3KE         59 0034 RL9AA         59 0094
QSO: 14000 PH 2011-03-26 0341 VK3KE         59 035 RI1ANC        59 270
QSO: 14220 PH 2011-03-26 0404 VK3KE         59 36 RT4RO         59 379
QSO: 14179 PH 2011-03-26 0411 VK3KE         59 0038 ZL50GH        59 0323
QSO: 14000 PH 2011-03-26 0413 VK3KE         59 39 W7WA          59 633
QSO: 14000 PH 2011-03-26 0417 VK3KE         59 40 K6HNZ         59 293
QSO: 14195 PH 2011-03-26 0420 VK3KE         59 0041 RW4PL         59 0281
QSO: 14230 PH 2011-03-26 0458 VK3KE         59 0042 R5GA          59 0291
QSO: 14263 PH 2011-03-26 0501 VK3KE         59 43 UP0L          59 694
QSO: 21000 PH 2011-03-26 0509 VK3KE         59 045 ZL4CR         59 045
QSO: 14307 PH 2011-03-26 0515 VK3KE         59 47 RM3F          59 452
QSO: 14270 PH 2011-03-26 0517 VK3KE         59 048 LZ9W          59 0151
QSO: 14255 PH 2011-03-26 0519 VK3KE         59 049 RF9C          59 0680
QSO: 14157 PH 2011-03-26 0525 VK3KE         59 0050 YO3CZW        59 0360
QSO: 14152 PH 2011-03-26 0528 VK3KE         59 051 EO4M          59 655
QSO: 28494 PH 2011-03-26 0532 VK3KE         59 52 DZ1B          59 321
QSO: 21000 PH 2011-03-26 0534 VK3KE         59 0153 YB1C          59 0194
QSO: 14141 PH 2011-03-26 0540 VK3KE         59 55 RW4W          59 444
QSO: 14167 PH 2011-03-26 0541 VK3KE         59 056 OL4A          59 0078
QSO: 21250 PH 2011-03-26 0541 VK3KE         59 54 HS0ZDG        59 177
QSO: 14247 PH 2011-03-26 0546 VK3KE         59 0057 9A7A          59 0040
QSO: 14000 PH 2011-03-26 0548 VK3KE         59 58 OL9Z          59 112
QSO: 14274 PH 2011-03-26 0550 VK3KE         59 059 IR9Y          59 383
QSO: 14295 PH 2011-03-26 0552 VK3KE         59 060 SN3R          59 0485
QSO: 21250 PH 2011-03-26 0633 VK3KE         59 0061 YT7R          59 0446
QSO: 14308 PH 2011-03-26 0638 VK3KE         59 062 OU5A          59 0079
QSO: 14296 PH 2011-03-26 0639 VK3KE         59 0063 S55T          59 0223
QSO: 14272 PH 2011-03-26 0641 VK3KE         59 064 SZ3P          59 400
QSO: 14249 PH 2011-03-26 0644 VK3KE         59 065 E7DX          59 1091
QSO: 14000 PH 2011-03-26 0645 VK3KE         59 066 YU5R          59 0079
QSO: 14236 PH 2011-03-26 0646 VK3KE         59 67 RA9AE         59 308
QSO: 14232 PH 2011-03-26 0648 VK3KE         59 068 EU5T          59 478
QSO: 14128 PH 2011-03-26 0740 VK3KE         59 069 RM5D          59 0503
QSO: 14210 PH 2011-03-26 0743 VK3KE         59 070 II9T          59 0270
QSO: 14000 PH 2011-03-26 0744 VK3KE         59 0071 EA3NT         59 0076
QSO: 14000 PH 2011-03-26 0745 VK3KE         59 073 YQ8Q          59 420
QSO: 14225 PH 2011-03-26 0745 VK3KE         59 072 9A1P          59 0148
QSO: 14279 PH 2011-03-26 0747 VK3KE         59 074 DK7MCX        59 0006
QSO: 14318 PH 2011-03-26 0750 VK3KE         59 0075 S520SLO       59 0607
QSO: 28464 PH 2011-03-26 2314 VK3KE         59 078 KH7X          59 2861
QSO: 28460 PH 2011-03-26 2315 VK3KE         59 079 K6VO          59 35
QSO: 21000 PH 2011-03-26 2323 VK3KE         59 080 JA5FBZ        59 097
QSO: 21260 PH 2011-03-26 2326 VK3KE         59 81 DZ1B          59 963
QSO: 21000 PH 2011-03-27 0044 VK3KE         59 0082 DU1AV         59 0749
QSO: 28480 PH 2011-03-27 0126 VK3KE         59 84 KZ5MM         59 554
QSO: 21336 PH 2011-03-27 0306 VK3KE         59 086 KL7RA         59 2537
QSO: 21000 PH 2011-03-27 0307 VK3KE         59 087 JO3DDD        59 1004
