START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: R5AJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: R5AJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2011.
QSO: 21130 PH 2011-03-27 1856 R5AJ          59 71 PJ2T          59 1762
QSO: 21206 PH 2011-03-27 1917 R5AJ          59 73 KU1CW         59 2836
QSO: 21209 PH 2011-03-27 1918 R5AJ          59 0074 VE9HF         59 0743
QSO: 21225 PH 2011-03-27 1920 R5AJ          59 0074 NN5J          59 3073
QSO: 21227 PH 2011-03-27 1922 R5AJ          59 0074 K0SR          59 2617
QSO: 21248 PH 2011-03-27 1933 R5AJ          59 079 AJ9C          59 2071
QSO: 21320 PH 2011-03-27 1935 R5AJ          59 090 N0MA          59 731
QSO: 21389 PH 2011-03-27 1937 R5AJ          59 0081 HK1R          59 2277
QSO: 21373 PH 2011-03-27 1943 R5AJ          59 0082 HI3K          59 1472
QSO: 21386 PH 2011-03-27 1945 R5AJ          59 0083 KM9P          59 1643
QSO: 21315 PH 2011-03-27 1952 R5AJ          59 085 KP4WW         59 1842
QSO: 21222 PH 2011-03-27 2018 R5AJ          59 087 K6ND          59 2339
QSO: 21000 PH 2011-03-27 2025 R5AJ          59 085 NN1N          59 767
END-OF-LOG:
