START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: VE3IDT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: VE3IDT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2011.
QSO: 14156 PH 2011-03-26 1345 VE3IDT        59 PJ2T          59 962
QSO: 14221 PH 2011-03-26 1353 VE3IDT        59 0002 HG7T          59 0521
QSO: 14276 PH 2011-03-26 1359 VE3IDT        59 003 DR1A          59 0910
QSO: 21000 PH 2011-03-26 1406 VE3IDT        59 0004 M9C           59 0207
QSO: 21141 PH 2011-03-26 1408 VE3IDT        59 005 P40L          59 1484
QSO: 21000 PH 2011-03-26 1417 VE3IDT        59 008 HG2011N       59 0501
QSO: 21223 PH 2011-03-26 1417 VE3IDT        59 0007 EE2K          59 0174
QSO: 21230 PH 2011-03-26 1422 VE3IDT        59 0009 EI4CF         59 0178
QSO: 21264 PH 2011-03-26 1428 VE3IDT        59 011 DR5N          59 0327
QSO: 21301 PH 2011-03-26 1430 VE3IDT        59 012 4O3A          59 1132
QSO: 21307 PH 2011-03-26 1432 VE3IDT        59 013 TM6M          59 1925
QSO: 21320 PH 2011-03-26 1434 VE3IDT        59 014 LX7I          59 0960
QSO: 21329 PH 2011-03-26 1436 VE3IDT        59 015 DR1A          59 0634
QSO: 21336 PH 2011-03-26 1436 VE3IDT        59 016 EI9E          59 1202
QSO: 21339 PH 2011-03-26 1441 VE3IDT        59 017 EA1KP         59 0370
QSO: 21361 PH 2011-03-26 1442 VE3IDT        59 018 G5O           59 0191
QSO: 21430 PH 2011-03-26 1444 VE3IDT        59 019 OG6N          59 0654
QSO: 21444 PH 2011-03-26 1449 VE3IDT        59 020 MM0TAI        59 0154
QSO: 21000 PH 2011-03-26 1509 VE3IDT        59 022 XE3N          59 178
QSO: 21146 PH 2011-03-26 1511 VE3IDT        59 021 TO5A          59 0755
QSO: 21184 PH 2011-03-26 1513 VE3IDT        59 23 VQ51V         59 1259
QSO: 21371 PH 2011-03-26 1518 VE3IDT        59 0024 ER4A          59 1924
QSO: 21375 PH 2011-03-26 1520 VE3IDT        59 25 YQ9W          59 956
QSO: 21438 PH 2011-03-26 1550 VE3IDT        59 026 CR3A          59 1120
QSO: 21440 PH 2011-03-26 1551 VE3IDT        59 027 M6T           59 0971
QSO: 21447 PH 2011-03-26 1554 VE3IDT        59 028 TM2B          59 0691
QSO: 28381 PH 2011-03-26 1556 VE3IDT        59 029 EB8AH         59 0832
QSO: 28491 PH 2011-03-26 1602 VE3IDT        59 30 PJ2T          59 308
QSO: 21000 PH 2011-03-26 1614 VE3IDT        59 0031 HD2A          59 0458
QSO: 21191 PH 2011-03-26 1615 VE3IDT        59 0032 HK1R          59 0819
QSO: 21225 PH 2011-03-26 1618 VE3IDT        59 0033 YT7R          59 0760
QSO: 21234 PH 2011-03-26 1619 VE3IDT        59 0034 S520SLO       59 1126
QSO: 21320 PH 2011-03-26 1620 VE3IDT        59 35 E74HH         59 910
QSO: 21249 PH 2011-03-26 1621 VE3IDT        59 36 S50A          59 670
QSO: 21262 PH 2011-03-26 1627 VE3IDT        59 087 GM5X          59 1424
QSO: 21270 PH 2011-03-26 1629 VE3IDT        59 038 9A5D          59 584
QSO: 21288 PH 2011-03-26 1633 VE3IDT        59 039 UU7J          59 1139
QSO: 21293 PH 2011-03-26 1636 VE3IDT        59 040 E7DX          59 1704
QSO: 21304 PH 2011-03-26 1637 VE3IDT        59 041 GW9T          59 0886
QSO: 21308 PH 2011-03-26 1643 VE3IDT        59 0042 9A7A          59 0701
QSO: 21311 PH 2011-03-26 1644 VE3IDT        59 043 IR4X          59 0992
QSO: 21322 PH 2011-03-26 1646 VE3IDT        59 0044 9A6B          59 0547
QSO: 21331 PH 2011-03-26 1647 VE3IDT        59 045 9A1P          59 0863
QSO: 21336 PH 2011-03-26 1650 VE3IDT        59 0046 PI4DX         59 0469
QSO: 21347 PH 2011-03-26 1652 VE3IDT        59 0047 WK5T          59 0803
QSO: 21363 PH 2011-03-26 1652 VE3IDT        59 048 YU1KX         59 0677
QSO: 21371 PH 2011-03-26 1654 VE3IDT        59 049 IR9Y          59 1439
QSO: 21000 PH 2011-03-26 1700 VE3IDT        59 050 E71A          59 1048
QSO: 21378 PH 2011-03-26 1702 VE3IDT        59 0051 K0DU          59 1504
