START-OF-LOG: 3.0
CALLSIGN: NC6B
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 340956
NAME: Kent Olsen
LOCATION: SB
OPERATORS: NC6B
CLUB: SOUTHERN CALIFORNIA CONTEST CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5707.0
SOAPBOX: This was my first large effort in a CW contest.
QSO: 14001 CW 2016-05-28 0002 NC6B          599 0001   K9OM          599 0006
QSO: 14002 CW 2016-05-28 0006 NC6B          599 0002   WI0WA         599 0016
QSO: 14003 CW 2016-05-28 0008 NC6B          599 0003   NK7U          599 0019
QSO: 14003 CW 2016-05-28 0009 NC6B          599 0004   NR3X          599 0018
QSO: 14004 CW 2016-05-28 0012 NC6B          599 0005   KC8R          599 0006
QSO: 14004 CW 2016-05-28 0013 NC6B          599 0006   VE7SV         599 0023
QSO: 14005 CW 2016-05-28 0013 NC6B          599 0007   VE6EX         599 0012
QSO: 14005 CW 2016-05-28 0015 NC6B          599 0008   NR5M          599 0002
QSO: 14006 CW 2016-05-28 0017 NC6B          599 0009   AB3CX         599 0048
QSO: 14008 CW 2016-05-28 0018 NC6B          599 0010   KC3R          599 0043
QSO: 14009 CW 2016-05-28 0019 NC6B          599 0011   KU7T          599 0026
QSO: 14009 CW 2016-05-28 0021 NC6B          599 0012   NR7DX         599 0048
QSO: 14010 CW 2016-05-28 0022 NC6B          599 0013   N3RD          599 0059
QSO: 14008 CW 2016-05-28 0025 NC6B          599 0014   PX2A          599 0047
QSO: 14017 CW 2016-05-28 0031 NC6B          599 0015   NE0F          599 0063
QSO: 14017 CW 2016-05-28 0031 NC6B          599 0016   WU3A          599 0165
QSO: 14018 CW 2016-05-28 0034 NC6B          599 0017   OA4SS         599 0041
QSO: 14018 CW 2016-05-28 0035 NC6B          599 0018   CW5W          599 0074
QSO: 14018 CW 2016-05-28 0037 NC6B          599 0019   NR4M          599 0165
QSO: 14019 CW 2016-05-28 0037 NC6B          599 0020   VE3DZ         599 0057
QSO: 14019 CW 2016-05-28 0038 NC6B          599 0021   NA4K          599 0065
QSO: 14019 CW 2016-05-28 0039 NC6B          599 0022   WR3O          599 0081
QSO: 14020 CW 2016-05-28 0041 NC6B          599 0023   W3FV          599 0163
QSO: 14020 CW 2016-05-28 0043 NC6B          599 0024   KH6LC         599 0155
QSO: 14022 CW 2016-05-28 0045 NC6B          599 0025   WH6R          599 0026
QSO: 14022 CW 2016-05-28 0046 NC6B          599 0026   VE3MIS        599 0066
QSO: 14023 CW 2016-05-28 0047 NC6B          599 0027   PY4YY         599 0030
QSO: 14024 CW 2016-05-28 0048 NC6B          599 0028   K0AD          599 0083
QSO: 14026 CW 2016-05-28 0053 NC6B          599 0029   KJ5Y          599 0034
QSO: 14027 CW 2016-05-28 0054 NC6B          599 0030   KD2RD         599 0107
QSO: 14028 CW 2016-05-28 0056 NC6B          599 0031   K4PV          599 0079
QSO: 14029 CW 2016-05-28 0057 NC6B          599 0032   ZF2ET         599 0138
QSO: 14030 CW 2016-05-28 0104 NC6B          599 0033   K9CT          599 0145
