START-OF-LOG: 3.0
CALLSIGN: JR1LLD
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 1848
NAME: Masanao SHINOHARA
LOCATION: DX
OPERATORS: JR1LLD
CLUB:
CERTIFICATE: YES
CREATED-BY: Handwritten
SOAPBOX: Rig The KD1JV Tri-bander (assembly kit from Hendricks QRP kits,Inc.)
SOAPBOX: Power 5 W, ANT End-fed full-size dipole on veranda at 11mH.
QSO: 21032 CW 2016-05-28 0120 JR1LLD 599  001 NH2DX    599  149
QSO: 21007 CW 2016-05-28 0155 JR1LLD 599  002 8J1ITU   599  076
QSO: 21008 CW 2016-05-28 0202 JR1LLD 599  003 B4T      599  216
QSO: 21018 CW 2016-05-28 0207 JR1LLD 599  004 RM0F     599  140
QSO: 21021 CW 2016-05-28 0213 JR1LLD 599  005 JT5DX    599  168
QSO: 21049 CW 2016-05-28 0235 JR1LLD 599  006 DS5DNO   599  148
QSO: 21047 CW 2016-05-28 0351 JR1LLD 599  007 RT0C     599  262
QSO: 21040 CW 2016-05-28 0357 JR1LLD 599  008 ZM2B     599  219
QSO: 21047 CW 2016-05-28 0425 JR1LLD 599  009 ZL4YL    599  259
QSO: 21003 CW 2016-05-28 0450 JR1LLD 599  010 A31MM    599  310
QSO: 21040 CW 2016-05-28 0632 JR1LLD 599  011 OH5Z     599  125
QSO: 21014 CW 2016-05-28 0646 JR1LLD 599  012 OE3K     599  747
QSO: 21053 CW 2016-05-28 0740 JR1LLD 599  013 OH0TA    599  531
QSO: 21050 CW 2016-05-28 1022 JR1LLD 599  014 ES2MC    599  513
QSO: 21024 CW 2016-05-28 1032 JR1LLD 599  015 9A1A     599  408
QSO: 21054 CW 2016-05-28 1103 JR1LLD 599  016 CN2AA    599 1580
QSO: 21028 CW 2016-05-28 1153 JR1LLD 599  017 SN8B     599  418
QSO: 21019 CW 2016-05-28 1207 JR1LLD 599  018 A60A     599 1079
QSO: 21043 CW 2016-05-28 2224 JR1LLD 599  019 RW0LCN   599  016
QSO: 21052 CW 2016-05-28 2346 JR1LLD 599  020 8J6VLP/6 599  151
QSO: 21016 CW 2016-05-29 0210 JR1LLD 599  021 KH6LC    599  712
QSO: 21030 CW 2016-05-29 0329 JR1LLD 599  022 9M6XRO   599  341
QSO: 21039 CW 2016-05-29 0512 JR1LLD 599  023 KH8/KC0W 599  706
QSO: 21043 CW 2016-05-29 0543 JR1LLD 599  024 5W1SA    599  716
QSO: 21006 CW 2016-05-29 0625 JR1LLD 599  025 LY2W     599  938
QSO: 21038 CW 2016-05-29 0636 JR1LLD 599  026 RU1A     599 3637
QSO: 21052 CW 2016-05-29 0727 JR1LLD 599  027 UA2F     599 1885
QSO: 21026 CW 2016-05-29 0747 JR1LLD 599  028 SM6BGG   599  334
END-OF-LOG:
