START-OF-LOG: 3.0
CALLSIGN: JI1NIK
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 1
NAME: Takashi Itoh
LOCATION: DX
OPERATORS: JI1NIK
CLUB:
CERTIFICATE: NO
CREATED-BY:
SOAPBOX: LICENSED DATE JULY 28, 2015
SOAPBOX: I hope the "CLAIMED-SCORE" will be calculated by robot.
QSO: 14000 CW 2016-05-28 0015 JI1NIK 599 001 NH2DX    599  031
QSO: 14000 CW 2016-05-28 0021 JI1NIK 599 002 BG1WNU   599  021
QSO: 14000 CW 2016-05-28 0026 JI1NIK 599 003 8J690Y/6 599  021
QSO: 21000 CW 2016-05-28 0030 JI1NIK 599 004 JA6LCJ   599  037
QSO: 21000 CW 2016-05-28 0033 JI1NIK 599 005 RM0F     599  030
QSO:  7000 CW 2016-05-28 0100 JI1NIK 599 006 8J1ITU   599  014
QSO: 14000 CW 2016-05-28 0104 JI1NIK 599 007 JF3NKA   599  034
QSO: 14000 CW 2016-05-28 0108 JI1NIK 599 008 B4W      599  070
QSO: 14000 CW 2016-05-28 0110 JI1NIK 599 009 JM1LRQ   599  029
QSO: 21000 CW 2016-05-28 0115 JI1NIK 599 010 JE6RPM   599  130
QSO: 21000 CW 2016-05-28 0119 JI1NIK 599 011 B1W      599  081
QSO: 21000 CW 2016-05-28 0123 JI1NIK 599 012 BA4DL    599  026
QSO: 21000 CW 2016-05-28 0125 JI1NIK 599 013 NH2DX    599  165
QSO: 21000 CW 2016-05-28 0131 JI1NIK 599 014 RT0C     599  142
QSO: 21000 CW 2016-05-28 0220 JI1NIK 599 015 BA7QT    599  150
QSO: 21000 CW 2016-05-28 0224 JI1NIK 599 016 DS4EOI   599  221
QSO: 21000 CW 2016-05-28 0228 JI1NIK 599 017 JE4MHL   599  085
QSO: 21000 CW 2016-05-28 0231 JI1NIK 599 018 JA1IAZ   599  056
QSO: 21000 CW 2016-05-28 0233 JI1NIK 599 019 JF3BFS   599  084
QSO: 21000 CW 2016-05-28 0236 JI1NIK 599 020 DS5DNO   599  151
QSO: 14000 CW 2016-05-28 0242 JI1NIK 599 021 B4T      599  275
QSO: 21000 CW 2016-05-28 0352 JI1NIK 599 022 BG4FRZ   599  087
QSO: 14000 CW 2016-05-28 0548 JI1NIK 599 023 JH1GTV   599  026
QSO:  7000 CW 2016-05-28 0554 JI1NIK 599 024 JJ5GMJ   599  004
QSO: 21000 CW 2016-05-28 0626 JI1NIK 599 025 JH4UYB   599  244
QSO: 21000 CW 2016-05-28 0633 JI1NIK 599 026 E2X      599  257
QSO: 21000 CW 2016-05-28 0635 JI1NIK 599 027 VK3JA    599  690
QSO: 21000 CW 2016-05-28 0639 JI1NIK 599 028 OL4A     599  149
QSO: 21000 CW 2016-05-28 0645 JI1NIK 599 029 LY2W     599  140
QSO: 14000 CW 2016-05-28 0658 JI1NIK 599 030 YB8RW    599  176
QSO: 14000 CW 2016-05-28 0703 JI1NIK 599 031 JF3IYW   599  103
QSO: 14000 CW 2016-05-28 0707 JI1NIK 599 032 JJ1RXC   599  116
QSO: 14000 CW 2016-05-28 0709 JI1NIK 599 033 KR7O     599  727
QSO:  7000 CW 2016-05-28 1249 JI1NIK 599 034 JA7BME   599  280
QSO: 14000 CW 2016-05-28 1342 JI1NIK 599 035 JE6RPM   599  785
QSO: 14000 CW 2016-05-28 2156 JI1NIK 599 036 UA0IDZ   599  629
QSO: 14000 CW 2016-05-28 2211 JI1NIK 599 037 RT0C     599  627
QSO: 14000 CW 2016-05-28 2216 JI1NIK 599 038 BY4AA    599  845
QSO: 14000 CW 2016-05-28 2220 JI1NIK 599 039 JA1ZGP   599  086
QSO: 14000 CW 2016-05-28 2228 JI1NIK 599 040 BY5CD    599 1495
QSO: 21000 CW 2016-05-28 2239 JI1NIK 599 041 BG4AHK   599  121
QSO: 14000 CW 2016-05-28 2311 JI1NIK 599 042 JA6LCJ   599  880
QSO: 14000 CW 2016-05-28 2315 JI1NIK 599 043 BV0WPX   599  704
END-OF-LOG:
