START-OF-LOG: 3.0
CALLSIGN: JN3DMJ
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 5124
NAME: Koichi Matsumoto
LOCATION: DX
OPERATORS: JN3DMJ
CLUB:
CERTIFICATE: YES
CREATED-BY:
SOAPBOX: The actual maximum power output used is 5 watts.
QSO:  7003 CW 2016-05-28 1218 JN3DMJ        599 0001   NK7U          599 1096
QSO:  7005 CW 2016-05-28 1239 JN3DMJ        599 0003   NF6A          599 0805
QSO:  7007 CW 2016-05-28 1250 JN3DMJ        599 0004   WF6C          599 0793
QSO:  7008 CW 2016-05-28 1255 JN3DMJ        599 0005   VC7G          599 0454
QSO:  7009 CW 2016-05-28 1303 JN3DMJ        599 0006   NR7DX         599 1018
QSO:  7010 CW 2016-05-28 1316 JN3DMJ        599 0007   RM0F          599 0364
QSO:  7016 CW 2016-05-28 1337 JN3DMJ        599 0008   WR6Y          599 1063
QSO:  7016 CW 2016-05-28 1345 JN3DMJ        599 0009   JN2AMD        599 0543
QSO:  7019 CW 2016-05-28 1349 JN3DMJ        599 0010   JF7FHY        599 0064
QSO:  7024 CW 2016-05-28 1418 JN3DMJ        599 0011   JJ5GMJ        599 0345
QSO:  7028 CW 2016-05-28 1436 JN3DMJ        599 0012   JA3YBK        599 0975
QSO: 21018 CW 2016-05-29 0141 JN3DMJ        599 0013   JH7IXX        599 0257
QSO: 21033 CW 2016-05-29 0147 JN3DMJ        599 0014   BH4RQU        599 0079
QSO: 21005 CW 2016-05-29 0300 JN3DMJ        599 0016   JA1ZGP        599 0159
QSO: 21030 CW 2016-05-29 0322 JN3DMJ        599 0017   9M6XRO        599 0332
QSO: 21037 CW 2016-05-29 0409 JN3DMJ        599 0018   HS5NMF        599 0630
QSO: 28034 CW 2016-05-29 0429 JN3DMJ        599 0019   9M6XRO        599 0399
QSO: 28025 CW 2016-05-29 0434 JN3DMJ        599 0020   BY4AA         599 1035
QSO: 28020 CW 2016-05-29 0437 JN3DMJ        599 0021   VR2ZQZ        599 0272
QSO: 28015 CW 2016-05-29 0449 JN3DMJ        599 0022   BV0WPX        599 0909
QSO: 14017 CW 2016-05-29 0545 JN3DMJ        599 0023   NG7A          599 1711
QSO: 14028 CW 2016-05-29 0553 JN3DMJ        599 0024   VE7SZ         599 1090
QSO: 14043 CW 2016-05-29 0559 JN3DMJ        599 0025   WC6H          599 0216
QSO: 14048 CW 2016-05-29 0605 JN3DMJ        599 0026   7N2JZT/6      599 0525
QSO: 14052 CW 2016-05-29 0610 JN3DMJ        599 0027   JQ1ABC        599 0434
QSO: 14058 CW 2016-05-29 0620 JN3DMJ        599 0028   9M8K          599 0753
QSO: 21003 CW 2016-05-29 0633 JN3DMJ        599 0029   A31MM         599 0644
QSO: 21055 CW 2016-05-29 0711 JN3DMJ        599 0030   JH7XGN        599 0643
QSO: 21037 CW 2016-05-29 0717 JN3DMJ        599 0031   9M6YBG        599 0146
QSO: 21024 CW 2016-05-29 0724 JN3DMJ        599 0032   RT0C          599 0960
QSO: 21009 CW 2016-05-29 0735 JN3DMJ        599 0033   RK0UT         599 0477
QSO: 21014 CW 2016-05-29 0742 JN3DMJ        599 0034   BG3IAY        599 0461
QSO: 21032 CW 2016-05-29 0802 JN3DMJ        599 0035   RW0LBM        599 0342
QSO: 21034 CW 2016-05-29 0813 JN3DMJ        599 0036   ES5Q          599 1425
QSO: 14029 CW 2016-05-29 0829 JN3DMJ        599 0037   WR6Y          599 1930
QSO:  7008 CW 2016-05-29 0839 JN3DMJ        599 0038   JF1UOX        599 0517
QSO:  7014 CW 2016-05-29 0847 JN3DMJ        599 0039   JA1GQC        599 0376
QSO:  7018 CW 2016-05-29 0852 JN3DMJ        599 0040   JF1DIR        599 0153
QSO:  7027 CW 2016-05-29 0858 JN3DMJ        599 0041   JG1FKT        599 0120
QSO:  7027 CW 2016-05-29 0902 JN3DMJ        599 0042   JH3HGI        599 0068
QSO:  7028 CW 2016-05-29 0906 JN3DMJ        599 0043   JH7IXX        599 0361
QSO:  7036 CW 2016-05-29 0911 JN3DMJ        599 0044   KH6LC         599 0772
QSO:  7044 CW 2016-05-29 0916 JN3DMJ        599 0045   JR2SCJ        599 0309
QSO: 21039 CW 2016-05-29 0931 JN3DMJ        599 0046   WH6R          599 0933
QSO:  7003 CW 2016-05-29 1024 JN3DMJ        599 0047   N5RZ          599 1076
QSO:  3512 CW 2016-05-29 1321 JN3DMJ        599 0048   JH1FNU        599 0232
QSO:  7001 CW 2016-05-29 1327 JN3DMJ        599 0049   JN4MMO        599 0602
QSO:  7002 CW 2016-05-29 1339 JN3DMJ        599 0050   VK6LW         599 1766
QSO:  7017 CW 2016-05-29 1357 JN3DMJ        599 0051   NA6O          599 0979
END-OF-LOG:
