START-OF-LOG: 3.0
CALLSIGN: K9GY
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 43080
NAME: Eric Hall
LOCATION: IL
OPERATORS: K9GY
CLUB: Society of Midwest Contesters
CERTIFICATE: NO
CREATED-BY: WriteLog V11.27H
SOAPBOX: Got to use my new Icom IC-7300 bought at Dayton!
QSO: 14009 CW 2016-05-29 0213 K9GY          599    1 OM2VL         599 2172
QSO: 14021 CW 2016-05-29 0241 K9GY          599    2 XR0YS         599 928
QSO: 14026 CW 2016-05-29 0242 K9GY          599    3 CR2X          599 2920
QSO: 14031 CW 2016-05-29 0242 K9GY          599    4 CE3CT         599 1027
QSO: 14041 CW 2016-05-29 0243 K9GY          599    5 ZL1AM         599 699
QSO: 14049 CW 2016-05-29 0246 K9GY          599    6 CS2C          599 2106
QSO: 14054 CW 2016-05-29 0247 K9GY          599    7 N7DD          599 292
QSO: 14066 CW 2016-05-29 0248 K9GY          599    8 SO9Q          599 872
QSO: 14052 CW 2016-05-29 0249 K9GY          599    9 DD0CC         599 1933
QSO: 14049 CW 2016-05-29 0249 K9GY          599   10 KH6TU         599 1243
QSO: 14031 CW 2016-05-29 0252 K9GY          599   11 9A1A          599 1729
QSO: 14030 CW 2016-05-29 0255 K9GY          599   12 OA4SS         599 1116
QSO: 14030 CW 2016-05-29 0256 K9GY          599   13 KH6LC         599 985
QSO: 14029 CW 2016-05-29 0257 K9GY          599   14 N0OJ          599 111
QSO: 14027 CW 2016-05-29 0259 K9GY          599   15 D41CV         599 2176
QSO: 14013 CW 2016-05-29 0301 K9GY          599   16 YL2SM         599 1677
QSO: 14010 CW 2016-05-29 0302 K9GY          599   17 UW1M          599 2242
QSO: 14007 CW 2016-05-29 0303 K9GY          599   18 WA7NB         599 436
QSO: 14007 CW 2016-05-29 0304 K9GY          599   19 KQ2M          599 1893
QSO: 14005 CW 2016-05-29 0306 K9GY          599   20 OL4A          599 1865
QSO: 14002 CW 2016-05-29 0306 K9GY          599   21 NK7U          599 1724
QSO: 14003 CW 2016-05-29 0308 K9GY          599   22 YW4D          599 1695
QSO: 14005 CW 2016-05-29 0309 K9GY          599   23 P33W          599 1780
QSO: 14009 CW 2016-05-29 0311 K9GY          599   24 VE7GL         599 875
QSO: 14011 CW 2016-05-29 0315 K9GY          599   25 AG1RL         599 331
QSO: 14013 CW 2016-05-29 0317 K9GY          599   26 NC7J          599 670
QSO: 14020 CW 2016-05-29 0324 K9GY          599   27 KM3T          599 1506
QSO: 14024 CW 2016-05-29 0326 K9GY          599   28 W6YX          599 731
QSO: 14024 CW 2016-05-29 0329 K9GY          599   29 ZM4T          599 687
QSO: 14025 CW 2016-05-29 0331 K9GY          599   30 CW5W          599 1608
QSO: 14051 CW 2016-05-29 0342 K9GY          599   31 AG6AU         599 467
QSO:  7001 CW 2016-05-29 0347 K9GY          599   32 VY2ZM         599 1729
QSO:  7001 CW 2016-05-29 0348 K9GY          599   33 AJ9C          599 734
QSO:  7006 CW 2016-05-29 0350 K9GY          599   34 K9NW          599 463
QSO:  7012 CW 2016-05-29 0351 K9GY          599   35 D4C           599 2952
QSO:  7014 CW 2016-05-29 0351 K9GY          599   36 ED8X          599 2936
QSO:  7023 CW 2016-05-29 0353 K9GY          599   37 TM6X          599 1368
QSO:  7004 CW 2016-05-29 0355 K9GY          599   38 CN2AA         599 3944
QSO:  7003 CW 2016-05-29 0357 K9GY          599   39 PX2A          599 619
QSO:  7021 CW 2016-05-29 0358 K9GY          599   40 LX7I          599 2607
QSO:  7025 CW 2016-05-29 0401 K9GY          599   41 PJ4LS         599 1254
QSO:  7027 CW 2016-05-29 0402 K9GY          599   42 KC7V          599 784
QSO:  7040 CW 2016-05-29 0404 K9GY          599   43 KE3X          599 1878
QSO:  7042 CW 2016-05-29 0405 K9GY          599   44 ZF1A          599 2124
QSO:  7031 CW 2016-05-29 0407 K9GY          599   45 EG8RM         599 1395
QSO:  7024 CW 2016-05-29 0409 K9GY          599   46 SN7Q          599 2372
QSO:  7015 CW 2016-05-29 0410 K9GY          599   47 G5W           599 1969
QSO:  7005 CW 2016-05-29 0901 K9GY          599   48 NA6O          599 844
QSO:  7012 CW 2016-05-29 0902 K9GY          599   49 NR5M          599 873
QSO:  7013 CW 2016-05-29 0902 K9GY          599   50 K5RX          599 734
QSO:  7020 CW 2016-05-29 0904 K9GY          599   51 PZ50X         599 2255
QSO:  7022 CW 2016-05-29 0904 K9GY          599   52 WQ6X          599 1513
QSO:  7026 CW 2016-05-29 0905 K9GY          599   53 K9CT          599 735
QSO:  7029 CW 2016-05-29 0906 K9GY          599   54 ZF2ET         599 2122
QSO:  7031 CW 2016-05-29 0907 K9GY          599   55 WP4X          599 1422
QSO:  7032 CW 2016-05-29 0908 K9GY          599   56 HC2AO         599 1148
QSO:  7036 CW 2016-05-29 0909 K9GY          599   57 N2ED          599 121
QSO:  7037 CW 2016-05-29 0912 K9GY          599   58 NO6T          599 1863
QSO:  7038 CW 2016-05-29 0915 K9GY          599   59 T42CT         599 660
QSO:  7039 CW 2016-05-29 0915 K9GY          599   60 WF6C          599 1764
QSO:  7041 CW 2016-05-29 0916 K9GY          599   61 N4WW          599 1344
QSO:  7037 CW 2016-05-29 1003 K9GY          599   62 P4/N4QS       599 2554
QSO:  7028 CW 2016-05-29 1007 K9GY          599   63 VC7G          599 719
QSO:  7027 CW 2016-05-29 1008 K9GY          599   64 P40L          599 2414
QSO:  7023 CW 2016-05-29 1012 K9GY          599   65 NG7A          599 1910
QSO:  7032 CW 2016-05-29 1013 K9GY          599   66 WR6Y          599 2012
QSO:  7034 CW 2016-05-29 1013 K9GY          599   67 K8MP          599 227
QSO: 21002 CW 2016-05-29 1405 K9GY          599   68 NA3D          599 450
QSO: 21035 CW 2016-05-29 1411 K9GY          599   69 DP65HSC       599 1060
QSO: 21070 CW 2016-05-29 1415 K9GY          599   70 CN2AA         599 5095
QSO: 21076 CW 2016-05-29 1417 K9GY          599   71 YV4YC         599 970
QSO: 21078 CW 2016-05-29 1417 K9GY          599   72 KC2VVZ        599 301
QSO: 21080 CW 2016-05-29 1418 K9GY          599   73 AE0EE         599 198
QSO: 21005 CW 2016-05-29 1419 K9GY          599   74 AC1U          599 2196
QSO: 21006 CW 2016-05-29 1421 K9GY          599   75 NR3X          599 2219
QSO: 21011 CW 2016-05-29 1423 K9GY          599   76 WS9M          599 502
QSO: 21012 CW 2016-05-29 1424 K9GY          599   77 PI4DX         599 2910
QSO: 21015 CW 2016-05-29 1424 K9GY          599   78 PX2A          599 1448
QSO: 14001 CW 2016-05-29 1428 K9GY          599   79 VE3MGY        599 715
QSO: 14017 CW 2016-05-29 1430 K9GY          599   80 6Y6N          599 2428
QSO: 14025 CW 2016-05-29 1431 K9GY          599   81 PJ4LS         599 1514
QSO: 14025 CW 2016-05-29 1432 K9GY          599   82 TF3CW         599 1240
QSO: 14028 CW 2016-05-29 1433 K9GY          599   83 KJ5Y          599 1098
QSO: 14031 CW 2016-05-29 1434 K9GY          599   84 VE7SZ         599 1197
QSO: 14037 CW 2016-05-29 1435 K9GY          599   85 VE9CB         599 2076
QSO: 14053 CW 2016-05-29 1437 K9GY          599   86 NR7DX         599 2371
QSO: 14054 CW 2016-05-29 1438 K9GY          599   87 JR2GRX        599 1598
QSO: 14062 CW 2016-05-29 1439 K9GY          599   88 K6AR          599 886
QSO: 14065 CW 2016-05-29 1440 K9GY          599   89 N6AA          599 876
QSO: 14068 CW 2016-05-29 1440 K9GY          599   90 VE2FK         599 686
QSO: 14004 CW 2016-05-29 1442 K9GY          599   91 NR4M          599 1577
QSO: 14010 CW 2016-05-29 1444 K9GY          599   92 K3WJV         599 1038
QSO: 14017 CW 2016-05-29 1446 K9GY          599   93 VE3YAA        599 982
QSO: 14025 CW 2016-05-29 1447 K9GY          599   94 WK2G          599 755
QSO: 14042 CW 2016-05-29 1448 K9GY          599   95 NO5W          599 287
QSO: 14043 CW 2016-05-29 1448 K9GY          599   96 KZ1M          599 533
QSO: 14050 CW 2016-05-29 1451 K9GY          599   97 VE3MIS        599 1308
QSO: 14062 CW 2016-05-29 1452 K9GY          599   98 KN5A          599 1608
QSO: 14067 CW 2016-05-29 1453 K9GY          599   99 KD5QAQ        599 337
QSO: 21004 CW 2016-05-29 1458 K9GY          599  100 KU1CW         599 747
QSO: 21008 CW 2016-05-29 1459 K9GY          599  101 TM6M          599 2882
QSO: 21013 CW 2016-05-29 1505 K9GY          599  102 PS2T          599 2913
QSO: 21021 CW 2016-05-29 1507 K9GY          599  103 WX3B          599 835
QSO: 21024 CW 2016-05-29 1507 K9GY          599  104 NR4M          599 664
QSO: 21083 CW 2016-05-29 1510 K9GY          599  105 NN1N          599 8
QSO: 21001 CW 2016-05-29 1513 K9GY          599  106 WO4O          599 1913
QSO: 21005 CW 2016-05-29 1514 K9GY          599  107 W3FV          599 1363
QSO: 21005 CW 2016-05-29 1514 K9GY          599  108 WC1M          599 2221
QSO: 21033 CW 2016-05-29 1541 K9GY          599  109 D41CV         599 2902
QSO: 21043 CW 2016-05-29 1559 K9GY          599  110 P4/N4QS       599 2776
QSO: 21056 CW 2016-05-29 1600 K9GY          599  111 AD4TR         599 1791
QSO: 21065 CW 2016-05-29 1600 K9GY          599  112 N4WW          599 702
QSO: 28032 CW 2016-05-29 1606 K9GY          599  113 K9CT          599 13
QSO: 14005 CW 2016-05-29 1609 K9GY          599  114 KU1CW         599 832
QSO: 14009 CW 2016-05-29 1609 K9GY          599  115 WX3B          599 923
QSO: 14015 CW 2016-05-29 1612 K9GY          599  116 WF3T          599 541
QSO: 14028 CW 2016-05-29 1613 K9GY          599  117 AD4Z          599 1676
QSO: 14045 CW 2016-05-29 1616 K9GY          599  118 VE6EX         599 729
QSO: 14049 CW 2016-05-29 1617 K9GY          599  119 VE3RZ         599 943
QSO: 14051 CW 2016-05-29 1619 K9GY          599  120 W5RYA         599 393
QSO: 28034 CW 2016-05-29 1647 K9GY          599  121 KZ1M          599 569
QSO: 28029 CW 2016-05-29 1700 K9GY          599  122 NZ1U          599 1011
QSO: 21004 CW 2016-05-29 1702 K9GY          599  123 NN5J          599 2868
QSO: 21010 CW 2016-05-29 1703 K9GY          599  124 K1GQ          599 716
QSO: 21014 CW 2016-05-29 1704 K9GY          599  125 VC7G          599 482
QSO: 21016 CW 2016-05-29 1705 K9GY          599  126 WQ6X          599 1786
QSO: 21021 CW 2016-05-29 1712 K9GY          599  127 WU3A          599 2416
QSO: 21025 CW 2016-05-29 1714 K9GY          599  128 VB7A          599 230
QSO: 21032 CW 2016-05-29 1717 K9GY          599  129 WR6Y          599 2296
QSO: 14006 CW 2016-05-29 1718 K9GY          599  130 KM9P          599 1530
QSO: 14003 CW 2016-05-29 2238 K9GY          599  131 VE7SV         599 1749
QSO: 14004 CW 2016-05-29 2239 K9GY          599  132 NR5M          599 1836
QSO: 14011 CW 2016-05-29 2253 K9GY          599  133 P40L          599 3223
QSO: 14013 CW 2016-05-29 2253 K9GY          599  134 K5KU          599 1417
QSO: 14019 CW 2016-05-29 2257 K9GY          599  135 ZF2ET         599 2663
QSO: 14026 CW 2016-05-29 2258 K9GY          599  136 SN7Q          599 3362
QSO: 14041 CW 2016-05-29 2314 K9GY          599  137 ED8X          599 4240
QSO: 14057 CW 2016-05-29 2317 K9GY          599  138 K3ZO          599 1975
QSO: 14049 CW 2016-05-29 2318 K9GY          599  139 WP2Z          599 2353
QSO: 21009 CW 2016-05-29 2320 K9GY          599  140 LU1ICX        599 823
QSO: 21015 CW 2016-05-29 2322 K9GY          599  141 PP5KR         599 1776
QSO: 21021 CW 2016-05-29 2324 K9GY          599  142 ZL3PAH        599 254
QSO: 21025 CW 2016-05-29 2326 K9GY          599  143 HR5/F2JD      599 232
QSO: 21058 CW 2016-05-29 2328 K9GY          599  144 WP3C          599 1192
QSO: 21024 CW 2016-05-29 2332 K9GY          599  145 ZM4T          599 1076
QSO: 21026 CW 2016-05-29 2334 K9GY          599  146 AA3B          599 3114
QSO: 21034 CW 2016-05-29 2335 K9GY          599  147 CR2X          599 4331
QSO: 21035 CW 2016-05-29 2336 K9GY          599  148 OA4SS         599 1651
QSO: 21040 CW 2016-05-29 2337 K9GY          599  149 KH6LC         599 950
QSO: 21050 CW 2016-05-29 2341 K9GY          599  150 WH6R          599 1128
QSO: 14006 CW 2016-05-29 2348 K9GY          599  151 SZ1A          599 1873
QSO: 14014 CW 2016-05-29 2350 K9GY          599  152 KZ5D          599 1791
QSO: 14022 CW 2016-05-29 2351 K9GY          599  153 VE5SDH        599 484
QSO: 14026 CW 2016-05-29 2352 K9GY          599  154 PS2T          599 3747
QSO: 14028 CW 2016-05-29 2353 K9GY          599  155 WH6R          599 1324
QSO: 14035 CW 2016-05-29 2355 K9GY          599  156 DR5N          599 2871
QSO: 14054 CW 2016-05-29 2357 K9GY          599  157 CN2AA         599 6431
END-OF-LOG:
