START-OF-LOG: 3.0
CALLSIGN: WO9B
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 4653
NAME: Michael Johnson
LOCATION: WI
OPERATORS: WO9B
CLUB: West Allis RAC
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5707.0
SOAPBOX: QRP for a few hours.  Really enjoyed the event.
QSO: 21020 CW 2016-05-28 0217 WO9B          599 0001   XE1X          599 0157
QSO: 21021 CW 2016-05-28 0218 WO9B          599 0002   PY4YY         599 0130
QSO: 21025 CW 2016-05-28 0221 WO9B          599 0003   ZL1AM         599 0185
QSO: 21025 CW 2016-05-28 0225 WO9B          599 0004   ZM1A          599 0253
QSO: 21032 CW 2016-05-28 0228 WO9B          599 0005   VB7A          599 0043
QSO: 21022 CW 2016-05-28 0231 WO9B          599 0006   KC7V          599 0211
QSO: 21009 CW 2016-05-28 0234 WO9B          599 0007   WN6K          599 0104
QSO: 14005 CW 2016-05-28 0240 WO9B          599 0008   KR7O          599 0269
QSO: 14007 CW 2016-05-28 0247 WO9B          599 0009   NG7A          599 0200
QSO: 14008 CW 2016-05-28 0250 WO9B          599 0010   PX2A          599 0264
QSO: 14010 CW 2016-05-28 0252 WO9B          599 0011   W6SX          599 0238
QSO: 14011 CW 2016-05-28 0254 WO9B          599 0012   6Y6N          599 0437
QSO: 14014 CW 2016-05-28 0255 WO9B          599 0013   WR6Y          599 0287
QSO: 14017 CW 2016-05-28 0301 WO9B          599 0014   NE0F          599 0365
QSO: 14024 CW 2016-05-28 0303 WO9B          599 0015   ND2T          599 0227
QSO: 14024 CW 2016-05-28 0305 WO9B          599 0016   KC7V          599 0296
QSO: 14026 CW 2016-05-28 0308 WO9B          599 0017   PJ4LS         599 0329
QSO: 14028 CW 2016-05-28 0315 WO9B          599 0018   WP2Z          599 0359
QSO: 14031 CW 2016-05-28 0319 WO9B          599 0019   AE5GT         599 0069
QSO:  7005 CW 2016-05-28 0420 WO9B          599 0020   K1LZ          599 0578
QSO:  7006 CW 2016-05-28 0422 WO9B          599 0021   N5AW          599 0440
QSO:  7005 CW 2016-05-28 0425 WO9B          599 0022   K3WW          599 0569
QSO: 21014 CW 2016-05-28 1251 WO9B          599 0023   6Y6N          599 1223
QSO: 14030 CW 2016-05-28 1408 WO9B          599 0024   NR7DX         599 1113
QSO: 14022 CW 2016-05-28 1415 WO9B          599 0025   K0NM          599 0155
QSO: 21007 CW 2016-05-28 1514 WO9B          599 0026   YW3D          599 0717
QSO: 21008 CW 2016-05-28 1515 WO9B          599 0027   PS2T          599 1243
QSO: 14019 CW 2016-05-28 1521 WO9B          599 0028   KN5A          599 0890
QSO: 14003 CW 2016-05-28 1541 WO9B          599 0029   VY2TT         599 1366
QSO: 14010 CW 2016-05-28 1544 WO9B          599 0030   WA7NB         599 0241
QSO: 14017 CW 2016-05-28 1549 WO9B          599 0031   AC4CA         599 0771
QSO: 14021 CW 2016-05-28 1550 WO9B          599 0032   NG7A          599 1036
QSO: 14025 CW 2016-05-28 1552 WO9B          599 0033   NR5M          599 0839
QSO: 14026 CW 2016-05-28 1556 WO9B          599 0034   DR5N          599 1082
QSO: 14026 CW 2016-05-28 1558 WO9B          599 0035   KD2RD         599 0767
QSO: 21025 CW 2016-05-28 1609 WO9B          599 0036   PJ4LS         599 0629
QSO: 21037 CW 2016-05-28 1613 WO9B          599 0037   P4/N4QS       599 1201
QSO: 21040 CW 2016-05-28 1616 WO9B          599 0038   PX2A          599 0698
QSO: 14039 CW 2016-05-28 1645 WO9B          599 0039   F5IN          599 1046
QSO: 14038 CW 2016-05-28 1655 WO9B          599 0040   AF4RK         599 0156
QSO: 14041 CW 2016-05-28 1657 WO9B          599 0041   NR3X          599 1033
QSO: 14042 CW 2016-05-28 1700 WO9B          599 0042   IR2C          599 1117
QSO: 21007 CW 2016-05-28 1744 WO9B          599 0043   CU4DX         599 1576
QSO: 21013 CW 2016-05-28 1749 WO9B          599 0044   P44W          599 0976
QSO: 21015 CW 2016-05-28 1752 WO9B          599 0045   D4C           599 2114
QSO: 21020 CW 2016-05-28 1802 WO9B          599 0046   PZ50X         599 1215
QSO: 21045 CW 2016-05-28 1816 WO9B          599 0047   NP2P          599 0897
QSO: 21050 CW 2016-05-28 1819 WO9B          599 0048   HI3TT         599 1012
QSO: 21063 CW 2016-05-28 1825 WO9B          599 0049   PY2MC         599 0329
QSO: 21057 CW 2016-05-28 1827 WO9B          599 0050   YW4D          599 0957
QSO: 14042 CW 2016-05-28 1831 WO9B          599 0051   VC2A          599 1357
QSO: 14047 CW 2016-05-28 1840 WO9B          599 0052   SO4R          599 1464
END-OF-LOG:
