START-OF-LOG: 3.0
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
LOCATION: DX
CONTEST: CQ-WPX-CW
CALLSIGN: DG8KAD
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 125550
OPERATORS:
CLUB: RHEIN RUHR DX ASSOCIATION
NAME: Alexander Derichs
SPECIFIC:
SOAPBOX: I not so good in CW, sorry for the errors
QSO:  7000 CW 2016-05-28 0009 DG8KAD        599 001    EF5Y          599 101    0
QSO:  7000 CW 2016-05-28 0014 DG8KAD        599 002    NE4SA         599 020    0
QSO:  1800 CW 2016-05-28 0027 DG8KAD        599 003    9A1A          599 049    0
QSO:  1800 CW 2016-05-28 0028 DG8KAD        599 004    PI4DX         599 035    0
QSO:  1800 CW 2016-05-28 0031 DG8KAD        599 005    OG55W         599 026    0
QSO:  1800 CW 2016-05-28 0032 DG8KAD        599 006    LY7M          599 046    0
QSO:  1800 CW 2016-05-28 0033 DG8KAD        599 007    F6CE          599 028    0
QSO:  1800 CW 2016-05-28 0034 DG8KAD        599 008    LY7A          599 043    0
QSO:  7000 CW 2016-05-28 0036 DG8KAD        599 009    ES7GM         599 045    0
QSO:  7000 CW 2016-05-28 0038 DG8KAD        599 010    4O3A          599 061    0
QSO:  7000 CW 2016-05-28 0042 DG8KAD        599 011    Z60A          599 046    0
QSO:  7000 CW 2016-05-28 0044 DG8KAD        599 012    SW9AA         599 087    0
QSO:  7000 CW 2016-05-28 0047 DG8KAD        599 013    KP4/W2HUV     599 042    0
QSO:  7000 CW 2016-05-28 0051 DG8KAD        599 014    OG73X         599 044    0
QSO:  3500 CW 2016-05-28 0054 DG8KAD        599 015    OL4W          599 099    0
QSO:  3500 CW 2016-05-28 0100 DG8KAD        599 016    9A1AA         599 071    0
QSO:  3500 CW 2016-05-28 0101 DG8KAD        599 017    EW5Z          599 069    0
