START-OF-LOG: 3.0
CALLSIGN: YM2KK
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 2668936
CLUB:
CONTEST: CQ-WW-CW
CREATED-BY: WriteLog V10.76H
NAME: Emin Bora Demirel
OPERATORS: TA1BJ  TA2DA TA2FE  TA2BD  TA2SE  TA2DS  TA2AD
SOAPBOX:
QSO:  7000 CW 2013-11-23 0007 YM2KK         599     20 HB9CA         599     14
QSO:  7000 CW 2013-11-23 0011 YM2KK         599     20 NR4M          599      5
QSO:  7000 CW 2013-11-23 0013 YM2KK         599     20 OU4X          599     14
QSO:  7000 CW 2013-11-23 0017 YM2KK         599     20 EI7M          599     14
QSO:  7000 CW 2013-11-23 0018 YM2KK         599     20 PI4CC         599     14
QSO:  7000 CW 2013-11-23 0019 YM2KK         599     20 EW1IP         599     16
QSO:  7000 CW 2013-11-23 0021 YM2KK         599     20 W2FU          599      5
QSO:  7000 CW 2013-11-23 0023 YM2KK         599     20 SP9CGU        599     15
QSO:  7000 CW 2013-11-23 0023 YM2KK         599     20 IK4EWX        599     15
QSO:  7000 CW 2013-11-23 0024 YM2KK         599     20 G4MKR         599     14
QSO:  7000 CW 2013-11-23 0025 YM2KK         599     20 RA3FD         599     16
QSO:  7000 CW 2013-11-23 0026 YM2KK         599     20 SP4JCQ        599     15
QSO:  7000 CW 2013-11-23 0027 YM2KK         599     20 RN3F          599     16
QSO:  7000 CW 2013-11-23 0029 YM2KK         599     20 W9ZR          599      4
QSO:  7000 CW 2013-11-23 0030 YM2KK         599     20 OL4W          599     15
QSO:  7000 CW 2013-11-23 0030 YM2KK         599     20 K9OM          599      5
QSO:  7000 CW 2013-11-23 0031 YM2KK         599     20 DL1NKS        599     14
QSO:  7000 CW 2013-11-23 0033 YM2KK         599     20 LY2F          599     15
QSO:  7000 CW 2013-11-23 0034 YM2KK         599     20 RQ4N          599     16
QSO:  7000 CW 2013-11-23 0035 YM2KK         599     20 UT3UZ         599     16
QSO:  7000 CW 2013-11-23 0036 YM2KK         599     20 SM0THU        599     14
QSO:  7000 CW 2013-11-23 0037 YM2KK         599     20 UX8ML         599     16
QSO:  7000 CW 2013-11-23 0038 YM2KK         599     20 W9GE          599      4
QSO:  7000 CW 2013-11-23 0038 YM2KK         599     20 F5UL          599     14
QSO:  7000 CW 2013-11-23 0040 YM2KK         599     20 OM3YCA        599     15
QSO:  7000 CW 2013-11-23 0040 YM2KK         599     20 WC1M          599      5
QSO:  7000 CW 2013-11-23 0043 YM2KK         599     20 OM3LU         599     15
QSO:  7000 CW 2013-11-23 0043 YM2KK         599     20 OE1SZW        599     15
QSO:  7000 CW 2013-11-23 0044 YM2KK         599     20 RU3PY         599     16
QSO:  7000 CW 2013-11-23 0045 YM2KK         599     20 S52AW         599     15
QSO:  7000 CW 2013-11-23 0046 YM2KK         599     20 UX5UW         599     16
QSO:  7000 CW 2013-11-23 0048 YM2KK         599     20 UT5CY         599     16
QSO:  7000 CW 2013-11-23 0050 YM2KK         599     20 WK2PEX        599      5
QSO:  7000 CW 2013-11-23 0051 YM2KK         599     20 OM5WW         599     15
QSO:  7000 CW 2013-11-23 0053 YM2KK         599     20 R8US          599     18
QSO:  7000 CW 2013-11-23 0056 YM2KK         599     20 NE0UN         599      4
QSO:  7000 CW 2013-11-23 0057 YM2KK         599     20 W3KB          599      5
QSO:  7000 CW 2013-11-23 0058 YM2KK         599     20 N9NB          599      4
QSO:  7000 CW 2013-11-23 0101 YM2KK         599     20 N2GC          599      5
QSO:  7000 CW 2013-11-23 0102 YM2KK         599     20 N1YX          599      5
QSO:  7000 CW 2013-11-23 0103 YM2KK         599     20 K3ZM          599      5
QSO:  7000 CW 2013-11-23 0104 YM2KK         599     20 K3CR          599      5
QSO:  7000 CW 2013-11-23 0108 YM2KK         599     20 UW1M          599     16
QSO:  7000 CW 2013-11-23 0108 YM2KK         599     20 UR5MD         599     16
QSO:  7000 CW 2013-11-23 0111 YM2KK         599     20 RM1Q          599     16
QSO:  7000 CW 2013-11-23 0111 YM2KK         599     20 OM3RP         599     15
